attribute,status,count
releaseDate,some,10873
country,some,30305
language,some,30343
runtime,some,28053
budget,some,5770
boxOffice,some,6903
basedOn,some,2
IMDbID,some,5565
plot,some,32050
franchise,none,0
depiction,none,0
wikiPageWikiLink,some,32539
primaryTopic,none,0
wasDerivedFrom,some,32552
RottenTomatoesID,some,182
genres,some,841
actors,some,25644
directors,some,25556
distributors,some,20146
writer,some,19381
producers,some,16797
composers,some,15134
cinematographers,some,13822
filmingLocations,none,0
productionCompanies,some,19649
mainSubjects,some,32052
series,some,15
