Country,Values
United States,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Morocco,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Morocco'), 'Morocco')]"
Canada,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada')]"
"Spain, United Kingdom, Sweden","[(rdflib.term.URIRef('http://dbpedia.org/resource/Spain'), 'Spain'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom'), (rdflib.term.URIRef('http://dbpedia.org/resource/Sweden'), 'Sweden')]"
Switzerland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Switzerland'), 'Switzerland')]"
http://dbpedia.org/resource/Australia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Australia'), 'Australia')]"
Australia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Australia'), 'Australia')]"
India,"[(rdflib.term.URIRef('http://dbpedia.org/resource/INDIA'), 'INDIA')]"
United Kingdom,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom')]"
Argentina,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Argentina'), 'Argentina')]"
http://dbpedia.org/resource/United_States,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
France,"[(rdflib.term.URIRef('http://dbpedia.org/resource/FRANCE'), 'FRANCE')]"
http://dbpedia.org/resource/Philippines,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Philippines'), 'Philippines')]"
Algeria,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Algeria'), 'Algeria')]"
http://dbpedia.org/resource/Poland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Poland'), 'Poland')]"
West Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
USA,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Italy,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Italy'), 'Italy')]"
http://dbpedia.org/resource/United_Kingdom,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom')]"
Hong Kong,"[(rdflib.term.URIRef('http://dbpedia.org/resource/China'), 'China')]"
United States/,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Portugal,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Portugal'), 'Portugal')]"
Greece,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Greece'), 'Greece')]"
http://dbpedia.org/resource/Italy,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Italy'), 'Italy')]"
Japan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Japan'), 'Japan')]"
Russia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Russia'), 'Russia')]"
http://dbpedia.org/resource/Hong_Kong,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Hong_Kong'), 'Hong Kong')]"
http://dbpedia.org/resource/Japan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Japan'), 'Japan')]"
English,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Finland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Finland'), 'Finland')]"
Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
http://dbpedia.org/resource/New_Zealand,"[(rdflib.term.URIRef('http://dbpedia.org/resource/New_Zealand'), 'New Zealand')]"
Soviet Union,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Soviet_Union'), 'Soviet Union')]"
Austria,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Austria'), 'Austria')]"
Philippines,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Philippines'), 'Philippines')]"
German Empire,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
Hungary,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Hungary'), 'Hungary')]"
http://dbpedia.org/resource/Sweden,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Sweden'), 'Sweden')]"
http://dbpedia.org/resource/Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
Romania,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Romania'), 'Romania')]"
Spain,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Spain'), 'Spain')]"
http://dbpedia.org/resource/Russia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Russia'), 'Russia')]"
http://dbpedia.org/resource/Turkey,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Turkey'), 'Turkey')]"
Ireland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Ireland'), 'Ireland')]"
http://dbpedia.org/resource/Mexico,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Mexico'), 'Mexico')]"
"United Statesref|Fight Club, a film by the American studio 20th Century Fox, is often found in databases and related summaries to have the countries US and Germany, the latter being ascribable to the role of international funding.|group=""nb""","[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
South Korea,"[(rdflib.term.URIRef('http://dbpedia.org/resource/South_Korea'), 'South Korea')]"
Brazil,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Brazil'), 'Brazil')]"
http://dbpedia.org/resource/Indonesia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Indonesia'), 'Indonesia')]"
Austro-Hungarian Empire,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Austria_Hungary'), 'Austria Hungary'), (rdflib.term.URIRef('http://dbpedia.org/resource/Hungary'), 'Hungary')]"
"Canada, United Kingdom","[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom')]"
Sweden,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Sweden'), 'Sweden')]"
http://dbpedia.org/resource/Azerbaijan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Azerbaijan'), 'Azerbaijan')]"
Poland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Poland'), 'Poland')]"
http://dbpedia.org/resource/India,"[(rdflib.term.URIRef('http://dbpedia.org/resource/India'), 'India')]"
Mexico,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Mexico'), 'Mexico')]"
Bolivia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Bolivia'), 'Bolivia')]"
http://dbpedia.org/resource/South_Korea,"[(rdflib.term.URIRef('http://dbpedia.org/resource/South_Korea'), 'South Korea')]"
http://dbpedia.org/resource/Morocco,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Morocco'), 'Morocco')]"
Netherlands,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Netherlands'), 'Netherlands')]"
Umited States,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Russian Empire,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Russian_Empire'), 'Russian Empire')]"
http://dbpedia.org/resource/China,"[(rdflib.term.URIRef('http://dbpedia.org/resource/China'), 'China')]"
http://dbpedia.org/resource/Venezuela,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Venezuela'), 'Venezuela')]"
"Canada, UK, US","[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom'), (rdflib.term.URIRef('http://dbpedia.org/resource/US'), 'US')]"
http://dbpedia.org/resource/Soviet_Union,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Soviet_Union'), 'Soviet Union')]"
Denmark,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Denmark'), 'Denmark')]"
http://dbpedia.org/resource/Denmark,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Denmark'), 'Denmark')]"
China,"[(rdflib.term.URIRef('http://dbpedia.org/resource/China'), 'China')]"
US,"[(rdflib.term.URIRef('http://dbpedia.org/resource/US'), 'US')]"
Afghanistan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Afghanistan'), 'Afghanistan')]"
East Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
Bangladesh,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Bangladesh'), 'Bangladesh')]"
Georgia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Georgia_(Country)'), 'Georgia (Country)')]"
http://dbpedia.org/resource/Lebanon,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Lebanon'), 'Lebanon')]"
http://dbpedia.org/resource/France,"[(rdflib.term.URIRef('http://dbpedia.org/resource/France'), 'France')]"
http://dbpedia.org/resource/Bangladesh,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Bangladesh'), 'Bangladesh')]"
http://dbpedia.org/resource/Thailand,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Thailand'), 'Thailand')]"
"Canada, United Kingdom, United States, France","[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States'), (rdflib.term.URIRef('http://dbpedia.org/resource/FRANCE'), 'FRANCE')]"
UK,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_Kingdom'), 'United Kingdom')]"
Panama,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Panama'), 'Panama')]"
Vietnam,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Vietnam'), 'Vietnam')]"
http://dbpedia.org/resource/United_Arab_Emirates,"[(rdflib.term.URIRef('http://dbpedia.org/resource/United_Arab_Emirates'), 'United Arab Emirates')]"
"Germany, Ireland","[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany'), (rdflib.term.URIRef('http://dbpedia.org/resource/Ireland'), 'Ireland')]"
http://dbpedia.org/resource/Canada,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada')]"
Weimar Republic,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Weimar_Republic'), 'Weimar Republic')]"
Nazi Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany')]"
http://dbpedia.org/resource/Belgium,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Belgium'), 'Belgium')]"
Yugoslavia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Yugoslavia'), 'Yugoslavia')]"
http://dbpedia.org/resource/Hungary,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Hungary'), 'Hungary')]"
Taiwan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Taiwan'), 'Taiwan')]"
http://dbpedia.org/resource/Sri_Lanka,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Sri_Lanka'), 'Sri Lanka')]"
http://dbpedia.org/resource/West_Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/West_Germany'), 'West Germany')]"
http://dbpedia.org/resource/Iran,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Iran'), 'Iran')]"
Ukraine,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Ukraine'), 'Ukraine')]"
http://dbpedia.org/resource/North_Korea,"[(rdflib.term.URIRef('http://dbpedia.org/resource/North_Korea'), 'North Korea')]"
Maldives,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Maldives'), 'Maldives')]"
Czechoslovakia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Czechoslovakia'), 'Czechoslovakia')]"
Indonesia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Indonesia'), 'Indonesia')]"
Peru,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Peru'), 'Peru')]"
Luxembourg,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Luxembourg'), 'Luxembourg')]"
http://dbpedia.org/resource/East_Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/East_Germany'), 'East Germany')]"
Israel,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Israel'), 'Israel')]"
Ghana,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Ghana'), 'Ghana')]"
The Netherlands,"[(rdflib.term.URIRef('http://dbpedia.org/resource/The_Netherlands'), 'The Netherlands')]"
http://dbpedia.org/resource/Pakistan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Pakistan'), 'Pakistan')]"
"United States, Japan","[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States'), (rdflib.term.URIRef('http://dbpedia.org/resource/Japan'), 'Japan')]"
"Israel, United States, South Africa, Germany, Congo","[(rdflib.term.URIRef('http://dbpedia.org/resource/Israel'), 'Israel'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States'), (rdflib.term.URIRef('http://dbpedia.org/resource/South_Africa'), 'South Africa'), (rdflib.term.URIRef('http://dbpedia.org/resource/Germany'), 'Germany'), (rdflib.term.URIRef('http://dbpedia.org/resource/Republic_of_the_Congo'), 'Republic of the Congo')]"
Slovakia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Slovakia'), 'Slovakia')]"
