Genre,Values
Syfy,['Science Fiction']
Drama film,['Drama']
Documentary; TV special,"['Documentary', 'TV special']"
Docudrama,['Documentary Drama']
Action film,['Action']
Alternate history; Science fiction,"['Alternate history', 'Science fiction']"
Animation; Comedy; Mystery fiction,"['Animation', 'Comedy', 'Mystery fiction']"
Comedy drama,['Comedy drama']
Sitcom,['Sitcom']
Situation comedy,['Situation comedy']
Telenovela,['Telenovela']
Crime drama,['Crime drama']
Talk show,['Talk show']
Musical film,['Musical']
Nature documentary,['Nature documentary']
Dramatic programming,['Dramatic programming']
Drama,['Drama']
Action fiction; Television comedy,"['Action fiction', 'Television comedy']"
Anthology; Comedy; Slapstick,"['Anthology', 'Comedy', 'Slapstick']"
Variety show,['Variety show']
Musical theatre,['Musical theatre']
Documentary,['Documentary']
Drama (film and television),['Drama ( and television)']
Mockumentary,['Mockumentary']
Crime drama; Psychological thriller; Serial drama,"['Crime drama', 'Psychological thriller', 'Serial drama']"
Science fiction,['Science fiction']
Fantasy; Science fiction,"['Fantasy', 'Science fiction']"
Digital collectible card game,['Digital collectible card game']
War film,['War']
Comedy horror,['Comedy horror']
Biographical film,['Biographical']
Dramatic programming; Romance film,"['Dramatic programming', 'Romance']"
Alternate history; Historical drama,"['Alternate history', 'Historical drama']"
Biography film; Drama film,"['Biography', 'Drama']"
Animated series,['Animated series']
Thriller film,['Thriller']
Documentary film,['Documentary']
Fantasy comedy,['Fantasy comedy']
Action fiction; Drama (film and television); Thriller (genre),"['Action fiction', 'Drama ( and television)', 'Thriller']"
Sketch comedy,['Sketch comedy']
Western (genre),['Western']
Historical drama,['Historical drama']
True crime,['True crime']
Romance film; Telenovela,"['Romance', 'Telenovela']"
Comedy,['Comedy']
Medical drama; Serial (radio and television),"['Medical drama', 'Serial (radio and television)']"
Legal drama,['Legal drama']
Television special,['Television special']
Adventure (genre); Comedy-drama; Urban fantasy,"['Adventure', 'Comedy-drama', 'Urban fantasy']"
Superhero film,['Superhero']
Action film; Science fiction; Superhero film,"['Action', 'Science fiction', 'Superhero']"
Comedy; News; Satire,"['Comedy', 'News', 'Satire']"
Action-adventure game,['Action-adventure game']
Sketch comedy; Variety show,"['Sketch comedy', 'Variety show']"
Biographical film; Drama (film and television),"['Biographical', 'Drama ( and television)']"
Comedy (drama),['Comedy (drama)']
Comedy film,['Comedy']
Horror film; Slasher film,"['Horror', 'Slasher']"
Comedy drama; Crime film,"['Comedy drama', 'Crime']"
Family film; Television special,"['Family', 'Television special']"
Action film; Adventure film; Drama (film and television); Science fiction; Superhero fiction,"['Action', 'Adventure', 'Drama ( and television)', 'Science fiction', 'Superhero fiction']"
Drama (film and television); Romance film; Science fiction film,"['Drama ( and television)', 'Romance', 'Science fiction']"
Sports,['Sports']
Film score,['score']
Reality television,['Reality television']
Entertainment; Parody; Reality television; Talent show,"['Entertainment', 'Parody', 'Reality television', 'Talent show']"
Platform game,['Platform game']
Professional wrestling,['Professional wrestling']
Horror fiction; Science fiction; Young adult fiction,"['Horror fiction', 'Science fiction', 'Young adult fiction']"
Romantic comedy,['Romantic comedy']
Action film; Adventure film; Drama (film and television); Superhero fiction,"['Action', 'Adventure', 'Drama ( and television)', 'Superhero fiction']"
Action fiction; Adventure fiction; Drama (film and television); Superhero fiction,"['Action fiction', 'Adventure fiction', 'Drama ( and television)', 'Superhero fiction']"
Action film; Adventure fiction; Drama (film and television); Superhero fiction,"['Action', 'Adventure fiction', 'Drama ( and television)', 'Superhero fiction']"
Action fiction; Adventure; Fantasy; Science fiction; Superhero fiction; Tokusatsu,"['Action fiction', 'Adventure', 'Fantasy', 'Science fiction', 'Superhero fiction', 'Tokusatsu']"
Disaster film,['Disaster']
Superhero fiction; Tokusatsu,"['Superhero fiction', 'Tokusatsu']"
Fantasy film,['Fantasy']
