Genre,Resolved URI
Syfy,[rdflib.term.Literal('Syfy')]
Drama film,[rdflib.term.Literal('Drama')]
Documentary; TV special,"[rdflib.term.Literal('Documentary'), rdflib.term.Literal('TV special')]"
Docudrama,[rdflib.term.Literal('Docudrama')]
Action film,[rdflib.term.Literal('Action')]
Alternate history; Science fiction,"[rdflib.term.Literal('Alternate history'), rdflib.term.Literal('Science fiction')]"
Animation; Comedy; Mystery fiction,"[rdflib.term.Literal('Animation'), rdflib.term.Literal('Comedy'), rdflib.term.Literal('Mystery fiction')]"
Comedy drama,[rdflib.term.Literal('Comedy drama')]
Sitcom,[rdflib.term.Literal('Sitcom')]
Situation comedy,[rdflib.term.Literal('Situation comedy')]
Telenovela,[rdflib.term.Literal('Telenovela')]
Crime drama,[rdflib.term.Literal('Crime drama')]
Talk show,[rdflib.term.Literal('Talk show')]
Musical film,[rdflib.term.Literal('Musical')]
Nature documentary,[rdflib.term.Literal('Nature documentary')]
Dramatic programming,[rdflib.term.Literal('Dramatic programming')]
Drama,[rdflib.term.Literal('Drama')]
Action fiction; Television comedy,"[rdflib.term.Literal('Action fiction'), rdflib.term.Literal('Television comedy')]"
Anthology; Comedy; Slapstick,"[rdflib.term.Literal('Anthology'), rdflib.term.Literal('Comedy'), rdflib.term.Literal('Slapstick')]"
Variety show,[rdflib.term.Literal('Variety show')]
Musical theatre,[rdflib.term.Literal('Musical theatre')]
Documentary,[rdflib.term.Literal('Documentary')]
Drama (film and television),[rdflib.term.Literal('Drama ( and television)')]
Mockumentary,[rdflib.term.Literal('Mockumentary')]
Crime drama; Psychological thriller; Serial drama,"[rdflib.term.Literal('Crime drama'), rdflib.term.Literal('Psychological thriller'), rdflib.term.Literal('Serial drama')]"
Science fiction,[rdflib.term.Literal('Science fiction')]
Fantasy; Science fiction,"[rdflib.term.Literal('Fantasy'), rdflib.term.Literal('Science fiction')]"
Digital collectible card game,[rdflib.term.Literal('Digital collectible card game')]
War film,[rdflib.term.Literal('War')]
Comedy horror,[rdflib.term.Literal('Comedy horror')]
Biographical film,[rdflib.term.Literal('Biographical')]
Dramatic programming; Romance film,"[rdflib.term.Literal('Dramatic programming'), rdflib.term.Literal('Romance')]"
Alternate history; Historical drama,"[rdflib.term.Literal('Alternate history'), rdflib.term.Literal('Historical drama')]"
Biography film; Drama film,"[rdflib.term.Literal('Biography'), rdflib.term.Literal('Drama')]"
Animated series,[rdflib.term.Literal('Animated series')]
Thriller film,[rdflib.term.Literal('Thriller')]
Documentary film,[rdflib.term.Literal('Documentary')]
Fantasy comedy,[rdflib.term.Literal('Fantasy comedy')]
Action fiction; Drama (film and television); Thriller (genre),"[rdflib.term.Literal('Action fiction'), rdflib.term.Literal('Drama ( and television)'), rdflib.term.Literal('Thriller (genre)')]"
Sketch comedy,[rdflib.term.Literal('Sketch comedy')]
Western (genre),[rdflib.term.Literal('Western (genre)')]
Historical drama,[rdflib.term.Literal('Historical drama')]
True crime,[rdflib.term.Literal('True crime')]
Romance film; Telenovela,"[rdflib.term.Literal('Romance'), rdflib.term.Literal('Telenovela')]"
Comedy,[rdflib.term.Literal('Comedy')]
Medical drama; Serial (radio and television),"[rdflib.term.Literal('Medical drama'), rdflib.term.Literal('Serial (radio and television)')]"
Legal drama,[rdflib.term.Literal('Legal drama')]
Television special,[rdflib.term.Literal('Television special')]
Adventure (genre); Comedy-drama; Urban fantasy,"[rdflib.term.Literal('Adventure (genre)'), rdflib.term.Literal('Comedy'), rdflib.term.Literal('drama'), rdflib.term.Literal('Urban fantasy')]"
Superhero film,[rdflib.term.Literal('Superhero')]
Action film; Science fiction; Superhero film,"[rdflib.term.Literal('Action'), rdflib.term.Literal('Science fiction'), rdflib.term.Literal('Superhero')]"
Comedy; News; Satire,"[rdflib.term.Literal('Comedy'), rdflib.term.Literal('News'), rdflib.term.Literal('Satire')]"
Action-adventure game,"[rdflib.term.Literal('Action'), rdflib.term.Literal('adventure game')]"
Sketch comedy; Variety show,"[rdflib.term.Literal('Sketch comedy'), rdflib.term.Literal('Variety show')]"
Biographical film; Drama (film and television),"[rdflib.term.Literal('Biographical'), rdflib.term.Literal('Drama ( and television)')]"
Comedy (drama),[rdflib.term.Literal('Comedy (drama)')]
Comedy film,[rdflib.term.Literal('Comedy')]
Horror film; Slasher film,"[rdflib.term.Literal('Horror'), rdflib.term.Literal('Slasher')]"
Comedy drama; Crime film,"[rdflib.term.Literal('Comedy drama'), rdflib.term.Literal('Crime')]"
Family film; Television special,"[rdflib.term.Literal('Family'), rdflib.term.Literal('Television special')]"
Action film; Adventure film; Drama (film and television); Science fiction; Superhero fiction,"[rdflib.term.Literal('Action'), rdflib.term.Literal('Adventure'), rdflib.term.Literal('Drama ( and television)'), rdflib.term.Literal('Science fiction'), rdflib.term.Literal('Superhero fiction')]"
Drama (film and television); Romance film; Science fiction film,"[rdflib.term.Literal('Drama ( and television)'), rdflib.term.Literal('Romance'), rdflib.term.Literal('Science fiction')]"
Sports,[rdflib.term.Literal('Sports')]
Film score,[rdflib.term.Literal('score')]
Reality television,[rdflib.term.Literal('Reality television')]
Entertainment; Parody; Reality television; Talent show,"[rdflib.term.Literal('Entertainment'), rdflib.term.Literal('Parody'), rdflib.term.Literal('Reality television'), rdflib.term.Literal('Talent show')]"
Platform game,[rdflib.term.Literal('Platform game')]
Professional wrestling,[rdflib.term.Literal('Professional wrestling')]
Horror fiction; Science fiction; Young adult fiction,"[rdflib.term.Literal('Horror fiction'), rdflib.term.Literal('Science fiction'), rdflib.term.Literal('Young adult fiction')]"
Romantic comedy,[rdflib.term.Literal('Romantic comedy')]
Action film; Adventure film; Drama (film and television); Superhero fiction,"[rdflib.term.Literal('Action'), rdflib.term.Literal('Adventure'), rdflib.term.Literal('Drama ( and television)'), rdflib.term.Literal('Superhero fiction')]"
Action fiction; Adventure fiction; Drama (film and television); Superhero fiction,"[rdflib.term.Literal('Action fiction'), rdflib.term.Literal('Adventure fiction'), rdflib.term.Literal('Drama ( and television)'), rdflib.term.Literal('Superhero fiction')]"
