subject,predicate,object
http://www.wikidata.org/entity/Q117130193,IMDbID,tt21057800
http://www.wikidata.org/entity/Q124708001,IMDbID,tt28055078
http://www.wikidata.org/entity/Q127763750,IMDbID,tt21330032
http://www.wikidata.org/entity/Q123758925,IMDbID,tt23638614
http://www.wikidata.org/entity/Q123783550,IMDbID,tt30319516
http://www.wikidata.org/entity/Q111941144,IMDbID,tt19244260
http://www.wikidata.org/entity/Q122203155,IMDbID,tt22893404
http://www.wikidata.org/entity/Q123259395,IMDbID,tt28528526
http://www.wikidata.org/entity/Q124370507,IMDbID,tt10442352
http://www.wikidata.org/entity/Q117287129,IMDbID,tt15551346
http://www.wikidata.org/entity/Q127628439,IMDbID,tt32874249
http://www.wikidata.org/entity/Q124246343,IMDbID,tt23711262
http://www.wikidata.org/entity/Q122723743,IMDbID,tt15422224
http://www.wikidata.org/entity/Q112054623,IMDbID,tt15782690
http://www.wikidata.org/entity/Q130477367,IMDbID,tt29544253
http://www.wikidata.org/entity/Q125693182,IMDbID,tt22863968
http://www.wikidata.org/entity/Q122703295,IMDbID,tt24082520
http://www.wikidata.org/entity/Q117014906,IMDbID,tt11762114
http://www.wikidata.org/entity/Q116361132,IMDbID,tt5040012
http://www.wikidata.org/entity/Q124285697,IMDbID,tt19984386
http://www.wikidata.org/entity/Q129652261,IMDbID,tt14872806
http://www.wikidata.org/entity/Q125858197,IMDbID,tt29794647
http://www.wikidata.org/entity/Q120188885,IMDbID,tt28277817
http://www.wikidata.org/entity/Q124335954,IMDbID,tt31015344
http://www.wikidata.org/entity/Q121091587,IMDbID,tt0327785
http://www.wikidata.org/entity/Q129255850,IMDbID,tt31448377
http://www.wikidata.org/entity/Q122964827,IMDbID,tt13940818
http://www.wikidata.org/entity/Q127869960,IMDbID,tt11724920
http://www.wikidata.org/entity/Q121076570,IMDbID,tt5822536
http://www.wikidata.org/entity/Q116692764,IMDbID,tt15078804
http://www.wikidata.org/entity/Q113012523,IMDbID,tt14858658
http://www.wikidata.org/entity/Q125485552,IMDbID,tt15399686
http://www.wikidata.org/entity/Q125295777,IMDbID,tt21958136
http://www.wikidata.org/entity/Q130616239,IMDbID,tt32916093
http://www.wikidata.org/entity/Q116141854,IMDbID,tt23782634
http://www.wikidata.org/entity/Q124547601,IMDbID,tt31193791
http://www.wikidata.org/entity/Q130641055,IMDbID,tt27811009
http://www.wikidata.org/entity/Q115993222,IMDbID,tt7160372
http://www.wikidata.org/entity/Q125935870,IMDbID,tt14260566
http://www.wikidata.org/entity/Q125504091,IMDbID,tt25052668
http://www.wikidata.org/entity/Q128694739,IMDbID,tt20236622
http://www.wikidata.org/entity/Q129757759,IMDbID,tt27179628
http://www.wikidata.org/entity/Q112865585,IMDbID,tt14371860
http://www.wikidata.org/entity/Q130261793,IMDbID,tt29424284
http://www.wikidata.org/entity/Q127402346,IMDbID,tt14034294
http://www.wikidata.org/entity/Q116701124,IMDbID,tt20215234
http://www.wikidata.org/entity/Q123784984,IMDbID,tt24805832
http://www.wikidata.org/entity/Q117774966,IMDbID,tt27722061
http://www.wikidata.org/entity/Q118414983,IMDbID,tt10850264
http://www.wikidata.org/entity/Q120986976,IMDbID,tt26658104
http://www.wikidata.org/entity/Q131320483,IMDbID,tt3546464
http://www.wikidata.org/entity/Q116178692,IMDbID,tt11540468
http://www.wikidata.org/entity/Q28719777,IMDbID,tt6233946
http://www.wikidata.org/entity/Q115367024,IMDbID,tt13651794
http://www.wikidata.org/entity/Q125507012,IMDbID,tt31371971
http://www.wikidata.org/entity/Q123185886,IMDbID,tt6300910
http://www.wikidata.org/entity/Q127784078,IMDbID,tt32404928
http://www.wikidata.org/entity/Q114073140,IMDbID,tt22050754
http://www.wikidata.org/entity/Q61989802,IMDbID,tt9298612
http://www.wikidata.org/entity/Q104144784,IMDbID,tt1723808
http://www.wikidata.org/entity/Q124844671,IMDbID,tt31365768
http://www.wikidata.org/entity/Q123976167,IMDbID,tt28090065
http://www.wikidata.org/entity/Q125256467,IMDbID,tt26434746
http://www.wikidata.org/entity/Q124416533,IMDbID,tt16253418
http://www.wikidata.org/entity/Q73537958,IMDbID,tt10767052
http://www.wikidata.org/entity/Q113371337,IMDbID,tt16366836
http://www.wikidata.org/entity/Q128307093,IMDbID,tt28142896
http://www.wikidata.org/entity/Q124460441,IMDbID,tt27902121
http://www.wikidata.org/entity/Q125830099,IMDbID,tt31551124
http://www.wikidata.org/entity/Q124847978,IMDbID,tt23732034
http://www.wikidata.org/entity/Q109228976,IMDbID,tt1462759
http://www.wikidata.org/entity/Q125716975,IMDbID,tt27752111
http://www.wikidata.org/entity/Q124098360,IMDbID,tt30743549
http://www.wikidata.org/entity/Q124250971,IMDbID,tt22868094
http://www.wikidata.org/entity/Q126326956,IMDbID,tt16233642
http://www.wikidata.org/entity/Q4177246,IMDbID,tt1130088
http://www.wikidata.org/entity/Q124537941,IMDbID,tt27623406
http://www.wikidata.org/entity/Q123169098,IMDbID,tt12908150
http://www.wikidata.org/entity/Q121767976,IMDbID,tt28639049
http://www.wikidata.org/entity/Q131312961,IMDbID,tt31592092
http://www.wikidata.org/entity/Q124153295,IMDbID,tt23468836
http://www.wikidata.org/entity/Q116771236,IMDbID,tt14097206
http://www.wikidata.org/entity/Q112114745,IMDbID,tt14849194
http://www.wikidata.org/entity/Q129456972,IMDbID,tt33084872
http://www.wikidata.org/entity/Q123861757,IMDbID,tt30057084
http://www.wikidata.org/entity/Q118384190,IMDbID,tt18161082
http://www.wikidata.org/entity/Q126165460,IMDbID,tt18573650
http://www.wikidata.org/entity/Q116771180,IMDbID,tt11908172
http://www.wikidata.org/entity/Q113650759,IMDbID,tt3083016
http://www.wikidata.org/entity/Q114703286,IMDbID,tt22964884
http://www.wikidata.org/entity/Q125448417,IMDbID,tt7884368
http://www.wikidata.org/entity/Q116431968,IMDbID,tt14371878
http://www.wikidata.org/entity/Q113488690,IMDbID,tt19637052
http://www.wikidata.org/entity/Q111458251,IMDbID,tt16426418
http://www.wikidata.org/entity/Q130381565,IMDbID,tt7983904
http://www.wikidata.org/entity/Q125925221,IMDbID,tt27760132
http://www.wikidata.org/entity/Q115405596,IMDbID,tt17677434
http://www.wikidata.org/entity/Q120900212,IMDbID,tt14225838
http://www.wikidata.org/entity/Q112183404,IMDbID,tt13433802
http://www.wikidata.org/entity/Q116246102,IMDbID,tt12965010
http://www.wikidata.org/entity/Q115860236,IMDbID,tt5177120
http://www.wikidata.org/entity/Q124814758,IMDbID,tt28943278
http://www.wikidata.org/entity/Q112054671,IMDbID,tt2963262
http://www.wikidata.org/entity/Q118175825,IMDbID,tt11563598
http://www.wikidata.org/entity/Q117816797,IMDbID,tt20102596
http://www.wikidata.org/entity/Q129583272,IMDbID,tt26774341
http://www.wikidata.org/entity/Q116394284,IMDbID,tt21376908
http://www.wikidata.org/entity/Q116675851,IMDbID,tt16431966
http://www.wikidata.org/entity/Q126734843,IMDbID,tt14539318
http://www.wikidata.org/entity/Q125897105,IMDbID,tt21053652
http://www.wikidata.org/entity/Q120487741,IMDbID,tt12930350
http://www.wikidata.org/entity/Q125501249,IMDbID,tt31868785
http://www.wikidata.org/entity/Q24797403,IMDbID,tt1262426
http://www.wikidata.org/entity/Q125400788,IMDbID,tt31747163
http://www.wikidata.org/entity/Q116025865,IMDbID,tt13238346
http://www.wikidata.org/entity/Q124257357,IMDbID,tt26861992
http://www.wikidata.org/entity/Q117945866,IMDbID,tt19862722
http://www.wikidata.org/entity/Q127386034,IMDbID,tt28523931
http://www.wikidata.org/entity/Q85847274,IMDbID,tt7599146
http://www.wikidata.org/entity/Q123223028,IMDbID,tt23183578
http://www.wikidata.org/entity/Q124365154,IMDbID,tt30319555
http://www.wikidata.org/entity/Q124848151,IMDbID,tt31189868
http://www.wikidata.org/entity/Q123353613,IMDbID,tt10078772
http://www.wikidata.org/entity/Q124320665,IMDbID,tt3468380
http://www.wikidata.org/entity/Q116027468,IMDbID,tt8310486
http://www.wikidata.org/entity/Q116745152,IMDbID,tt13321244
http://www.wikidata.org/entity/Q118309891,IMDbID,tt5519506
http://www.wikidata.org/entity/Q124255913,IMDbID,tt16431330
http://www.wikidata.org/entity/Q117425181,IMDbID,tt27131358
http://www.wikidata.org/entity/Q115859045,IMDbID,tt24577462
http://www.wikidata.org/entity/Q131137159,IMDbID,tt27816891
http://www.wikidata.org/entity/Q131154650,IMDbID,tt24249072
http://www.wikidata.org/entity/Q127727208,IMDbID,tt14303268
http://www.wikidata.org/entity/Q123139679,IMDbID,tt22175098
http://www.wikidata.org/entity/Q113677881,IMDbID,tt21188080
http://www.wikidata.org/entity/Q105952623,IMDbID,tt9214772
http://www.wikidata.org/entity/Q115478286,IMDbID,tt14637386
http://www.wikidata.org/entity/Q112683565,IMDbID,tt7215232
http://www.wikidata.org/entity/Q128796709,IMDbID,tt32907397
