subject,predicate,object
http://www.wikidata.org/entity/Q117130193,cinematographers,Kristen Correlll
http://www.wikidata.org/entity/Q124708001,cinematographers,nan
http://www.wikidata.org/entity/Q127763750,cinematographers,nan
http://www.wikidata.org/entity/Q123758925,cinematographers,nan
http://www.wikidata.org/entity/Q123783550,cinematographers,nan
http://www.wikidata.org/entity/Q111941144,cinematographers,nan
http://www.wikidata.org/entity/Q122203155,cinematographers,Edward Lachman
http://www.wikidata.org/entity/Q123259395,cinematographers,Esa Jussila
http://www.wikidata.org/entity/Q124370507,cinematographers,nan
http://www.wikidata.org/entity/Q117287129,cinematographers,nan
http://www.wikidata.org/entity/Q127628439,cinematographers,nan
http://www.wikidata.org/entity/Q124246343,cinematographers,nan
http://www.wikidata.org/entity/Q122723743,cinematographers,Mark David
http://www.wikidata.org/entity/Q112054623,cinematographers,Tom Stern
http://www.wikidata.org/entity/Q130477367,cinematographers,nan
http://www.wikidata.org/entity/Q125693182,cinematographers,nan
http://www.wikidata.org/entity/Q122703295,cinematographers,Axel Danielson
http://www.wikidata.org/entity/Q122703295,cinematographers,Maximilien van Aertryck
http://www.wikidata.org/entity/Q117014906,cinematographers,nan
http://www.wikidata.org/entity/Q116361132,cinematographers,Jarin Blaschke
http://www.wikidata.org/entity/Q124285697,cinematographers,José David Montero
http://www.wikidata.org/entity/Q129652261,cinematographers,nan
http://www.wikidata.org/entity/Q125858197,cinematographers,nan
http://www.wikidata.org/entity/Q120188885,cinematographers,nan
http://www.wikidata.org/entity/Q124335954,cinematographers,Hong Sang-soo
http://www.wikidata.org/entity/Q121091587,cinematographers,Flavio Martínez Labiano
http://www.wikidata.org/entity/Q129255850,cinematographers,nan
http://www.wikidata.org/entity/Q122964827,cinematographers,nan
http://www.wikidata.org/entity/Q127869960,cinematographers,nan
http://www.wikidata.org/entity/Q121076570,cinematographers,nan
http://www.wikidata.org/entity/Q116692764,cinematographers,Fredrik Wenzel
http://www.wikidata.org/entity/Q113012523,cinematographers,nan
http://www.wikidata.org/entity/Q125485552,cinematographers,nan
http://www.wikidata.org/entity/Q125295777,cinematographers,nan
http://www.wikidata.org/entity/Q130616239,cinematographers,nan
http://www.wikidata.org/entity/Q116141854,cinematographers,nan
http://www.wikidata.org/entity/Q124547601,cinematographers,Autumn Durald
http://www.wikidata.org/entity/Q130641055,cinematographers,Ezra Tsegaye
http://www.wikidata.org/entity/Q130641055,cinematographers,Kristina Schippling
http://www.wikidata.org/entity/Q115993222,cinematographers,Łukasz Żal
http://www.wikidata.org/entity/Q125935870,cinematographers,nan
http://www.wikidata.org/entity/Q125504091,cinematographers,nan
http://www.wikidata.org/entity/Q128694739,cinematographers,nan
http://www.wikidata.org/entity/Q129757759,cinematographers,nan
http://www.wikidata.org/entity/Q112865585,cinematographers,Arnau Valls Colomer
http://www.wikidata.org/entity/Q130261793,cinematographers,nan
http://www.wikidata.org/entity/Q127402346,cinematographers,nan
http://www.wikidata.org/entity/Q116701124,cinematographers,Stéphane Fontaine
http://www.wikidata.org/entity/Q123784984,cinematographers,nan
http://www.wikidata.org/entity/Q117774966,cinematographers,nan
http://www.wikidata.org/entity/Q118414983,cinematographers,Martijn van Broekhuizen
http://www.wikidata.org/entity/Q118414983,cinematographers,Stuart Luck
http://www.wikidata.org/entity/Q120986976,cinematographers,nan
http://www.wikidata.org/entity/Q131320483,cinematographers,Sabine Lidl
http://www.wikidata.org/entity/Q116178692,cinematographers,nan
http://www.wikidata.org/entity/Q28719777,cinematographers,Phil Grabsky
http://www.wikidata.org/entity/Q115367024,cinematographers,Christopher Blauvelt
http://www.wikidata.org/entity/Q125507012,cinematographers,nan
http://www.wikidata.org/entity/Q123185886,cinematographers,nan
http://www.wikidata.org/entity/Q127784078,cinematographers,Martin Langner
http://www.wikidata.org/entity/Q127784078,cinematographers,Nils Dettmann
http://www.wikidata.org/entity/Q114073140,cinematographers,José David Montero
http://www.wikidata.org/entity/Q61989802,cinematographers,nan
http://www.wikidata.org/entity/Q104144784,cinematographers,Christian Sebaldt
http://www.wikidata.org/entity/Q124844671,cinematographers,nan
http://www.wikidata.org/entity/Q123976167,cinematographers,Libuše Jarcovjáková
http://www.wikidata.org/entity/Q125256467,cinematographers,nan
http://www.wikidata.org/entity/Q124416533,cinematographers,nan
http://www.wikidata.org/entity/Q73537958,cinematographers,Lachlan Milne
http://www.wikidata.org/entity/Q113371337,cinematographers,Fabian Wagner
http://www.wikidata.org/entity/Q128307093,cinematographers,nan
http://www.wikidata.org/entity/Q124460441,cinematographers,Brett Wiley
http://www.wikidata.org/entity/Q125830099,cinematographers,nan
http://www.wikidata.org/entity/Q124847978,cinematographers,nan
http://www.wikidata.org/entity/Q109228976,cinematographers,nan
http://www.wikidata.org/entity/Q125716975,cinematographers,nan
http://www.wikidata.org/entity/Q124098360,cinematographers,nan
http://www.wikidata.org/entity/Q124250971,cinematographers,Morgan Schmidt
http://www.wikidata.org/entity/Q126326956,cinematographers,nan
http://www.wikidata.org/entity/Q4177246,cinematographers,Rob Hardy
http://www.wikidata.org/entity/Q124537941,cinematographers,nan
http://www.wikidata.org/entity/Q123169098,cinematographers,nan
http://www.wikidata.org/entity/Q121767976,cinematographers,Pat Scola
http://www.wikidata.org/entity/Q131312961,cinematographers,nan
http://www.wikidata.org/entity/Q124153295,cinematographers,Bergsteinn Björgúlfsson
http://www.wikidata.org/entity/Q116771236,cinematographers,Kate McCullough
http://www.wikidata.org/entity/Q112114745,cinematographers,Eigil Bryld
http://www.wikidata.org/entity/Q129456972,cinematographers,nan
http://www.wikidata.org/entity/Q123861757,cinematographers,nan
http://www.wikidata.org/entity/Q118384190,cinematographers,nan
http://www.wikidata.org/entity/Q126165460,cinematographers,nan
http://www.wikidata.org/entity/Q116771180,cinematographers,nan
http://www.wikidata.org/entity/Q113650759,cinematographers,nan
http://www.wikidata.org/entity/Q114703286,cinematographers,Juan Sebastián Vásquez
http://www.wikidata.org/entity/Q125448417,cinematographers,nan
http://www.wikidata.org/entity/Q116431968,cinematographers,Bernhard Jasper
http://www.wikidata.org/entity/Q113488690,cinematographers,Ben Fordesman
http://www.wikidata.org/entity/Q111458251,cinematographers,Sayombhu Mukdeeprom
http://www.wikidata.org/entity/Q130381565,cinematographers,nan
http://www.wikidata.org/entity/Q125925221,cinematographers,Wolfgang Held
http://www.wikidata.org/entity/Q115405596,cinematographers,Jon D. Domínguez
http://www.wikidata.org/entity/Q120900212,cinematographers,Paolo Carnera
http://www.wikidata.org/entity/Q112183404,cinematographers,Pat Scola
http://www.wikidata.org/entity/Q116246102,cinematographers,Timo Salminen
http://www.wikidata.org/entity/Q115860236,cinematographers,Ed Wild
http://www.wikidata.org/entity/Q124814758,cinematographers,nan
http://www.wikidata.org/entity/Q112054671,cinematographers,nan
http://www.wikidata.org/entity/Q118175825,cinematographers,Phedon Papamichael
http://www.wikidata.org/entity/Q117816797,cinematographers,nan
http://www.wikidata.org/entity/Q129583272,cinematographers,nan
http://www.wikidata.org/entity/Q116394284,cinematographers,nan
http://www.wikidata.org/entity/Q116675851,cinematographers,Dustin Lane
http://www.wikidata.org/entity/Q126734843,cinematographers,nan
http://www.wikidata.org/entity/Q125897105,cinematographers,nan
http://www.wikidata.org/entity/Q120487741,cinematographers,nan
http://www.wikidata.org/entity/Q125501249,cinematographers,nan
http://www.wikidata.org/entity/Q24797403,cinematographers,Alice Brooks
http://www.wikidata.org/entity/Q125400788,cinematographers,nan
http://www.wikidata.org/entity/Q116025865,cinematographers,Shabier Kirchner
http://www.wikidata.org/entity/Q124257357,cinematographers,nan
http://www.wikidata.org/entity/Q117945866,cinematographers,nan
http://www.wikidata.org/entity/Q127386034,cinematographers,nan
http://www.wikidata.org/entity/Q85847274,cinematographers,nan
http://www.wikidata.org/entity/Q123223028,cinematographers,nan
http://www.wikidata.org/entity/Q124365154,cinematographers,nan
http://www.wikidata.org/entity/Q124848151,cinematographers,nan
http://www.wikidata.org/entity/Q123353613,cinematographers,nan
http://www.wikidata.org/entity/Q124320665,cinematographers,Karina Silva
http://www.wikidata.org/entity/Q116027468,cinematographers,Daniel Brothers
http://www.wikidata.org/entity/Q116745152,cinematographers,Matthew J. Lloyd
http://www.wikidata.org/entity/Q118309891,cinematographers,Nicola Pecorini
http://www.wikidata.org/entity/Q118309891,cinematographers,Dariusz Wolski
http://www.wikidata.org/entity/Q124255913,cinematographers,Amy Vincent
http://www.wikidata.org/entity/Q117425181,cinematographers,Stuart Bentley
http://www.wikidata.org/entity/Q115859045,cinematographers,Javier Aguirresarobe
http://www.wikidata.org/entity/Q131137159,cinematographers,Narayan Van Maele
http://www.wikidata.org/entity/Q131154650,cinematographers,nan
http://www.wikidata.org/entity/Q127727208,cinematographers,nan
http://www.wikidata.org/entity/Q123139679,cinematographers,nan
http://www.wikidata.org/entity/Q113677881,cinematographers,Paula Huidobro
http://www.wikidata.org/entity/Q105952623,cinematographers,Sharone Meir
http://www.wikidata.org/entity/Q115478286,cinematographers,nan
http://www.wikidata.org/entity/Q112683565,cinematographers,nan
http://www.wikidata.org/entity/Q128796709,cinematographers,nan
http://www.wikidata.org/entity/Q124337178,cinematographers,nan
http://www.wikidata.org/entity/Q107299023,cinematographers,Alexis Zabe
