subject,predicate,object
http://www.wikidata.org/entity/Q117130193,distributors_URIs,http://www.wikidata.org/entity/Q18395323
http://www.wikidata.org/entity/Q124708001,distributors_URIs,nan
http://www.wikidata.org/entity/Q127763750,distributors_URIs,nan
http://www.wikidata.org/entity/Q123758925,distributors_URIs,http://www.wikidata.org/entity/Q515869
http://www.wikidata.org/entity/Q123783550,distributors_URIs,nan
http://www.wikidata.org/entity/Q111941144,distributors_URIs,nan
http://www.wikidata.org/entity/Q122203155,distributors_URIs,http://www.wikidata.org/entity/Q907311
http://www.wikidata.org/entity/Q122203155,distributors_URIs,http://www.wikidata.org/entity/Q1554656
http://www.wikidata.org/entity/Q122203155,distributors_URIs,http://www.wikidata.org/entity/Q2450848
http://www.wikidata.org/entity/Q123259395,distributors_URIs,http://www.wikidata.org/entity/Q97341083
http://www.wikidata.org/entity/Q124370507,distributors_URIs,http://www.wikidata.org/entity/Q907311
http://www.wikidata.org/entity/Q117287129,distributors_URIs,http://www.wikidata.org/entity/Q30603559
http://www.wikidata.org/entity/Q127628439,distributors_URIs,nan
http://www.wikidata.org/entity/Q124246343,distributors_URIs,nan
http://www.wikidata.org/entity/Q122723743,distributors_URIs,http://www.wikidata.org/entity/Q5597985
http://www.wikidata.org/entity/Q122723743,distributors_URIs,http://www.wikidata.org/entity/Q16516296
http://www.wikidata.org/entity/Q112054623,distributors_URIs,http://www.wikidata.org/entity/Q907311
http://www.wikidata.org/entity/Q130477367,distributors_URIs,nan
http://www.wikidata.org/entity/Q125693182,distributors_URIs,nan
http://www.wikidata.org/entity/Q122703295,distributors_URIs,http://www.wikidata.org/entity/Q28871047
http://www.wikidata.org/entity/Q117014906,distributors_URIs,http://www.wikidata.org/entity/Q159846
http://www.wikidata.org/entity/Q117014906,distributors_URIs,http://www.wikidata.org/entity/Q1329615
http://www.wikidata.org/entity/Q116361132,distributors_URIs,http://www.wikidata.org/entity/Q649649
http://www.wikidata.org/entity/Q116361132,distributors_URIs,http://www.wikidata.org/entity/Q121126773
http://www.wikidata.org/entity/Q116361132,distributors_URIs,http://www.wikidata.org/entity/Q1329615
http://www.wikidata.org/entity/Q124285697,distributors_URIs,http://www.wikidata.org/entity/Q4010298
http://www.wikidata.org/entity/Q124285697,distributors_URIs,http://www.wikidata.org/entity/Q2910457
http://www.wikidata.org/entity/Q129652261,distributors_URIs,nan
http://www.wikidata.org/entity/Q125858197,distributors_URIs,nan
http://www.wikidata.org/entity/Q120188885,distributors_URIs,http://www.wikidata.org/entity/Q21511428
http://www.wikidata.org/entity/Q120188885,distributors_URIs,http://www.wikidata.org/entity/Q693730
http://www.wikidata.org/entity/Q124335954,distributors_URIs,nan
http://www.wikidata.org/entity/Q121091587,distributors_URIs,http://www.wikidata.org/entity/Q515869
http://www.wikidata.org/entity/Q129255850,distributors_URIs,nan
http://www.wikidata.org/entity/Q122964827,distributors_URIs,nan
http://www.wikidata.org/entity/Q127869960,distributors_URIs,nan
http://www.wikidata.org/entity/Q121076570,distributors_URIs,http://www.wikidata.org/entity/Q186941
http://www.wikidata.org/entity/Q121076570,distributors_URIs,http://www.wikidata.org/entity/Q907311
http://www.wikidata.org/entity/Q121076570,distributors_URIs,http://www.wikidata.org/entity/Q2450848
http://www.wikidata.org/entity/Q116692764,distributors_URIs,http://www.wikidata.org/entity/Q16248298
