subject,predicate,object
http://www.wikidata.org/entity/Q117130193,filmingLocations,nan
http://www.wikidata.org/entity/Q124708001,filmingLocations,nan
http://www.wikidata.org/entity/Q127763750,filmingLocations,nan
http://www.wikidata.org/entity/Q123758925,filmingLocations,nan
http://www.wikidata.org/entity/Q123783550,filmingLocations,nan
http://www.wikidata.org/entity/Q111941144,filmingLocations,Lexington
http://www.wikidata.org/entity/Q111941144,filmingLocations,Shepherdsville
http://www.wikidata.org/entity/Q111941144,filmingLocations,Campbellsburg
http://www.wikidata.org/entity/Q111941144,filmingLocations,New Castle
http://www.wikidata.org/entity/Q122203155,filmingLocations,nan
http://www.wikidata.org/entity/Q123259395,filmingLocations,nan
http://www.wikidata.org/entity/Q124370507,filmingLocations,nan
http://www.wikidata.org/entity/Q117287129,filmingLocations,nan
http://www.wikidata.org/entity/Q127628439,filmingLocations,nan
http://www.wikidata.org/entity/Q124246343,filmingLocations,nan
http://www.wikidata.org/entity/Q122723743,filmingLocations,nan
http://www.wikidata.org/entity/Q112054623,filmingLocations,Ardara
http://www.wikidata.org/entity/Q130477367,filmingLocations,nan
http://www.wikidata.org/entity/Q125693182,filmingLocations,nan
http://www.wikidata.org/entity/Q122703295,filmingLocations,nan
http://www.wikidata.org/entity/Q117014906,filmingLocations,nan
http://www.wikidata.org/entity/Q116361132,filmingLocations,Prague
http://www.wikidata.org/entity/Q124285697,filmingLocations,nan
http://www.wikidata.org/entity/Q129652261,filmingLocations,nan
http://www.wikidata.org/entity/Q125858197,filmingLocations,nan
http://www.wikidata.org/entity/Q120188885,filmingLocations,nan
http://www.wikidata.org/entity/Q124335954,filmingLocations,nan
http://www.wikidata.org/entity/Q121091587,filmingLocations,nan
http://www.wikidata.org/entity/Q129255850,filmingLocations,nan
http://www.wikidata.org/entity/Q122964827,filmingLocations,nan
http://www.wikidata.org/entity/Q127869960,filmingLocations,nan
http://www.wikidata.org/entity/Q121076570,filmingLocations,nan
http://www.wikidata.org/entity/Q116692764,filmingLocations,New York City
http://www.wikidata.org/entity/Q113012523,filmingLocations,nan
http://www.wikidata.org/entity/Q125485552,filmingLocations,nan
http://www.wikidata.org/entity/Q125295777,filmingLocations,nan
http://www.wikidata.org/entity/Q130616239,filmingLocations,nan
http://www.wikidata.org/entity/Q116141854,filmingLocations,nan
http://www.wikidata.org/entity/Q124547601,filmingLocations,nan
http://www.wikidata.org/entity/Q130641055,filmingLocations,nan
http://www.wikidata.org/entity/Q115993222,filmingLocations,Oświęcim
http://www.wikidata.org/entity/Q115993222,filmingLocations,Książ Castle and park complex
http://www.wikidata.org/entity/Q115993222,filmingLocations,Katowice
http://www.wikidata.org/entity/Q115993222,filmingLocations,Jelenia Góra
http://www.wikidata.org/entity/Q125935870,filmingLocations,nan
http://www.wikidata.org/entity/Q125504091,filmingLocations,nan
http://www.wikidata.org/entity/Q128694739,filmingLocations,nan
http://www.wikidata.org/entity/Q129757759,filmingLocations,nan
http://www.wikidata.org/entity/Q112865585,filmingLocations,London
http://www.wikidata.org/entity/Q130261793,filmingLocations,York
http://www.wikidata.org/entity/Q127402346,filmingLocations,nan
http://www.wikidata.org/entity/Q116701124,filmingLocations,Cinecittà
http://www.wikidata.org/entity/Q123784984,filmingLocations,nan
http://www.wikidata.org/entity/Q117774966,filmingLocations,nan
http://www.wikidata.org/entity/Q118414983,filmingLocations,nan
http://www.wikidata.org/entity/Q120986976,filmingLocations,New Orleans
http://www.wikidata.org/entity/Q131320483,filmingLocations,nan
http://www.wikidata.org/entity/Q116178692,filmingLocations,nan
http://www.wikidata.org/entity/Q28719777,filmingLocations,nan
http://www.wikidata.org/entity/Q115367024,filmingLocations,nan
http://www.wikidata.org/entity/Q125507012,filmingLocations,nan
http://www.wikidata.org/entity/Q123185886,filmingLocations,nan
http://www.wikidata.org/entity/Q127784078,filmingLocations,nan
http://www.wikidata.org/entity/Q114073140,filmingLocations,nan
http://www.wikidata.org/entity/Q61989802,filmingLocations,nan
http://www.wikidata.org/entity/Q104144784,filmingLocations,Guthrie
http://www.wikidata.org/entity/Q124844671,filmingLocations,nan
http://www.wikidata.org/entity/Q123976167,filmingLocations,nan
http://www.wikidata.org/entity/Q125256467,filmingLocations,nan
http://www.wikidata.org/entity/Q124416533,filmingLocations,nan
http://www.wikidata.org/entity/Q73537958,filmingLocations,Honolulu
http://www.wikidata.org/entity/Q113371337,filmingLocations,Cartagena
http://www.wikidata.org/entity/Q113371337,filmingLocations,Parque Regional de Calblanque
http://www.wikidata.org/entity/Q128307093,filmingLocations,nan
http://www.wikidata.org/entity/Q124460441,filmingLocations,nan
http://www.wikidata.org/entity/Q125830099,filmingLocations,nan
http://www.wikidata.org/entity/Q124847978,filmingLocations,nan
http://www.wikidata.org/entity/Q109228976,filmingLocations,Montana
http://www.wikidata.org/entity/Q125716975,filmingLocations,Mount Taranaki
http://www.wikidata.org/entity/Q124098360,filmingLocations,nan
http://www.wikidata.org/entity/Q124250971,filmingLocations,nan
http://www.wikidata.org/entity/Q126326956,filmingLocations,nan
http://www.wikidata.org/entity/Q4177246,filmingLocations,nan
http://www.wikidata.org/entity/Q124537941,filmingLocations,nan
