subject,predicate,object
http://www.wikidata.org/entity/Q117130193,genres,drama film
http://www.wikidata.org/entity/Q124708001,genres,nan
http://www.wikidata.org/entity/Q127763750,genres,drama film
http://www.wikidata.org/entity/Q127763750,genres,comedy film
http://www.wikidata.org/entity/Q123758925,genres,drama film
http://www.wikidata.org/entity/Q123758925,genres,Christian film
http://www.wikidata.org/entity/Q123783550,genres,nan
http://www.wikidata.org/entity/Q111941144,genres,action film
http://www.wikidata.org/entity/Q111941144,genres,thriller film
http://www.wikidata.org/entity/Q122203155,genres,drama film
http://www.wikidata.org/entity/Q122203155,genres,biographical film
http://www.wikidata.org/entity/Q122203155,genres,psychological drama film
http://www.wikidata.org/entity/Q123259395,genres,action film
http://www.wikidata.org/entity/Q123259395,genres,thriller film
http://www.wikidata.org/entity/Q123259395,genres,crime film
http://www.wikidata.org/entity/Q124370507,genres,comedy film
http://www.wikidata.org/entity/Q124370507,genres,adventure film
http://www.wikidata.org/entity/Q124370507,genres,musical film
http://www.wikidata.org/entity/Q117287129,genres,nan
http://www.wikidata.org/entity/Q127628439,genres,pornographic parody film
http://www.wikidata.org/entity/Q124246343,genres,nan
http://www.wikidata.org/entity/Q122723743,genres,comedy horror
http://www.wikidata.org/entity/Q112054623,genres,action film
http://www.wikidata.org/entity/Q112054623,genres,thriller film
http://www.wikidata.org/entity/Q130477367,genres,comedy film
http://www.wikidata.org/entity/Q125693182,genres,thriller film
http://www.wikidata.org/entity/Q122703295,genres,documentary film
http://www.wikidata.org/entity/Q117014906,genres,comedy film
http://www.wikidata.org/entity/Q117014906,genres,musical film
http://www.wikidata.org/entity/Q116361132,genres,drama film
http://www.wikidata.org/entity/Q116361132,genres,fantasy film
http://www.wikidata.org/entity/Q116361132,genres,horror film
http://www.wikidata.org/entity/Q116361132,genres,vampire film
http://www.wikidata.org/entity/Q124285697,genres,thriller film
http://www.wikidata.org/entity/Q129652261,genres,nan
http://www.wikidata.org/entity/Q125858197,genres,pop music
http://www.wikidata.org/entity/Q125858197,genres,concert film
http://www.wikidata.org/entity/Q120188885,genres,drama film
http://www.wikidata.org/entity/Q124335954,genres,drama film
http://www.wikidata.org/entity/Q121091587,genres,comedy film
http://www.wikidata.org/entity/Q121091587,genres,action film
http://www.wikidata.org/entity/Q121091587,genres,film based on a novel
http://www.wikidata.org/entity/Q129255850,genres,nan
http://www.wikidata.org/entity/Q122964827,genres,documentary film
http://www.wikidata.org/entity/Q127869960,genres,nan
http://www.wikidata.org/entity/Q121076570,genres,comedy film
http://www.wikidata.org/entity/Q121076570,genres,adventure film
http://www.wikidata.org/entity/Q121076570,genres,family film
http://www.wikidata.org/entity/Q121076570,genres,live-action animated film
http://www.wikidata.org/entity/Q116692764,genres,comedy film
http://www.wikidata.org/entity/Q116692764,genres,surrealist cinema
http://www.wikidata.org/entity/Q113012523,genres,action film
http://www.wikidata.org/entity/Q113012523,genres,thriller film
http://www.wikidata.org/entity/Q125485552,genres,documentary film
http://www.wikidata.org/entity/Q125295777,genres,psychological thriller
http://www.wikidata.org/entity/Q130616239,genres,supernatural horror film
http://www.wikidata.org/entity/Q116141854,genres,drama film
http://www.wikidata.org/entity/Q124547601,genres,drama film
http://www.wikidata.org/entity/Q130641055,genres,nan
http://www.wikidata.org/entity/Q115993222,genres,drama film
http://www.wikidata.org/entity/Q115993222,genres,war film
http://www.wikidata.org/entity/Q115993222,genres,historical film
http://www.wikidata.org/entity/Q115993222,genres,film based on a novel
http://www.wikidata.org/entity/Q115993222,genres,historical drama
http://www.wikidata.org/entity/Q125935870,genres,drama film
http://www.wikidata.org/entity/Q125504091,genres,comedy drama
http://www.wikidata.org/entity/Q128694739,genres,comedy film
http://www.wikidata.org/entity/Q128694739,genres,musical film
http://www.wikidata.org/entity/Q129757759,genres,nan
http://www.wikidata.org/entity/Q112865585,genres,horror film
