subject,predicate,object
http://www.wikidata.org/entity/Q117130193,language,English
http://www.wikidata.org/entity/Q124708001,language,English
http://www.wikidata.org/entity/Q127763750,language,English
http://www.wikidata.org/entity/Q123758925,language,English
http://www.wikidata.org/entity/Q123783550,language,English
http://www.wikidata.org/entity/Q111941144,language,English
http://www.wikidata.org/entity/Q122203155,language,English
http://www.wikidata.org/entity/Q123259395,language,English
http://www.wikidata.org/entity/Q124370507,language,English
http://www.wikidata.org/entity/Q117287129,language,English
http://www.wikidata.org/entity/Q127628439,language,English
http://www.wikidata.org/entity/Q124246343,language,English
http://www.wikidata.org/entity/Q122723743,language,English
http://www.wikidata.org/entity/Q112054623,language,English
http://www.wikidata.org/entity/Q130477367,language,English
http://www.wikidata.org/entity/Q125693182,language,English
http://www.wikidata.org/entity/Q122703295,language,English
http://www.wikidata.org/entity/Q117014906,language,English
http://www.wikidata.org/entity/Q116361132,language,English
http://www.wikidata.org/entity/Q124285697,language,English
http://www.wikidata.org/entity/Q129652261,language,English
http://www.wikidata.org/entity/Q125858197,language,English
http://www.wikidata.org/entity/Q120188885,language,English
http://www.wikidata.org/entity/Q124335954,language,English
http://www.wikidata.org/entity/Q121091587,language,English
http://www.wikidata.org/entity/Q129255850,language,English
http://www.wikidata.org/entity/Q122964827,language,English
http://www.wikidata.org/entity/Q127869960,language,English
http://www.wikidata.org/entity/Q121076570,language,English
http://www.wikidata.org/entity/Q116692764,language,English
http://www.wikidata.org/entity/Q113012523,language,English
http://www.wikidata.org/entity/Q125485552,language,English
http://www.wikidata.org/entity/Q125295777,language,English
http://www.wikidata.org/entity/Q130616239,language,English
http://www.wikidata.org/entity/Q116141854,language,English
http://www.wikidata.org/entity/Q124547601,language,English
http://www.wikidata.org/entity/Q130641055,language,English
http://www.wikidata.org/entity/Q115993222,language,English
http://www.wikidata.org/entity/Q125935870,language,English
http://www.wikidata.org/entity/Q125504091,language,English
http://www.wikidata.org/entity/Q128694739,language,English
http://www.wikidata.org/entity/Q129757759,language,English
http://www.wikidata.org/entity/Q112865585,language,English
http://www.wikidata.org/entity/Q130261793,language,English
http://www.wikidata.org/entity/Q127402346,language,English
http://www.wikidata.org/entity/Q116701124,language,English
http://www.wikidata.org/entity/Q123784984,language,English
http://www.wikidata.org/entity/Q117774966,language,English
http://www.wikidata.org/entity/Q118414983,language,English
http://www.wikidata.org/entity/Q120986976,language,English
http://www.wikidata.org/entity/Q131320483,language,English
http://www.wikidata.org/entity/Q116178692,language,English
http://www.wikidata.org/entity/Q28719777,language,English
http://www.wikidata.org/entity/Q115367024,language,English
http://www.wikidata.org/entity/Q125507012,language,English
http://www.wikidata.org/entity/Q123185886,language,English
http://www.wikidata.org/entity/Q127784078,language,English
http://www.wikidata.org/entity/Q114073140,language,English
http://www.wikidata.org/entity/Q61989802,language,English
http://www.wikidata.org/entity/Q104144784,language,English
http://www.wikidata.org/entity/Q124844671,language,English
http://www.wikidata.org/entity/Q123976167,language,English
http://www.wikidata.org/entity/Q125256467,language,English
http://www.wikidata.org/entity/Q124416533,language,English
http://www.wikidata.org/entity/Q73537958,language,English
http://www.wikidata.org/entity/Q113371337,language,English
http://www.wikidata.org/entity/Q128307093,language,English
http://www.wikidata.org/entity/Q124460441,language,English
http://www.wikidata.org/entity/Q125830099,language,English
http://www.wikidata.org/entity/Q124847978,language,English
http://www.wikidata.org/entity/Q109228976,language,English
http://www.wikidata.org/entity/Q125716975,language,English
http://www.wikidata.org/entity/Q124098360,language,English
http://www.wikidata.org/entity/Q124250971,language,English
http://www.wikidata.org/entity/Q126326956,language,English
http://www.wikidata.org/entity/Q4177246,language,English
http://www.wikidata.org/entity/Q124537941,language,English
http://www.wikidata.org/entity/Q123169098,language,English
http://www.wikidata.org/entity/Q121767976,language,English
http://www.wikidata.org/entity/Q131312961,language,English
http://www.wikidata.org/entity/Q124153295,language,English
http://www.wikidata.org/entity/Q116771236,language,English
http://www.wikidata.org/entity/Q112114745,language,English
http://www.wikidata.org/entity/Q129456972,language,English
http://www.wikidata.org/entity/Q123861757,language,English
http://www.wikidata.org/entity/Q118384190,language,English
http://www.wikidata.org/entity/Q126165460,language,English
http://www.wikidata.org/entity/Q116771180,language,English
http://www.wikidata.org/entity/Q113650759,language,English
http://www.wikidata.org/entity/Q114703286,language,English
http://www.wikidata.org/entity/Q125448417,language,English
http://www.wikidata.org/entity/Q116431968,language,English
http://www.wikidata.org/entity/Q113488690,language,English
http://www.wikidata.org/entity/Q111458251,language,English
http://www.wikidata.org/entity/Q130381565,language,English
http://www.wikidata.org/entity/Q125925221,language,English
http://www.wikidata.org/entity/Q115405596,language,English
http://www.wikidata.org/entity/Q120900212,language,English
http://www.wikidata.org/entity/Q112183404,language,English
http://www.wikidata.org/entity/Q116246102,language,English
http://www.wikidata.org/entity/Q115860236,language,English
http://www.wikidata.org/entity/Q124814758,language,English
http://www.wikidata.org/entity/Q112054671,language,English
http://www.wikidata.org/entity/Q118175825,language,English
http://www.wikidata.org/entity/Q117816797,language,English
http://www.wikidata.org/entity/Q129583272,language,English
http://www.wikidata.org/entity/Q116394284,language,English
http://www.wikidata.org/entity/Q116675851,language,English
http://www.wikidata.org/entity/Q126734843,language,English
http://www.wikidata.org/entity/Q125897105,language,English
http://www.wikidata.org/entity/Q120487741,language,English
http://www.wikidata.org/entity/Q125501249,language,English
http://www.wikidata.org/entity/Q24797403,language,English
http://www.wikidata.org/entity/Q125400788,language,English
http://www.wikidata.org/entity/Q116025865,language,English
http://www.wikidata.org/entity/Q124257357,language,English
http://www.wikidata.org/entity/Q117945866,language,English
http://www.wikidata.org/entity/Q127386034,language,English
http://www.wikidata.org/entity/Q85847274,language,English
http://www.wikidata.org/entity/Q123223028,language,English
http://www.wikidata.org/entity/Q124365154,language,English
http://www.wikidata.org/entity/Q124848151,language,English
http://www.wikidata.org/entity/Q123353613,language,English
http://www.wikidata.org/entity/Q124320665,language,English
http://www.wikidata.org/entity/Q116027468,language,English
http://www.wikidata.org/entity/Q116745152,language,English
http://www.wikidata.org/entity/Q118309891,language,English
http://www.wikidata.org/entity/Q124255913,language,English
http://www.wikidata.org/entity/Q117425181,language,English
http://www.wikidata.org/entity/Q115859045,language,English
http://www.wikidata.org/entity/Q131137159,language,English
http://www.wikidata.org/entity/Q131154650,language,English
http://www.wikidata.org/entity/Q127727208,language,English
http://www.wikidata.org/entity/Q123139679,language,English
http://www.wikidata.org/entity/Q113677881,language,English
http://www.wikidata.org/entity/Q105952623,language,English
http://www.wikidata.org/entity/Q115478286,language,English
http://www.wikidata.org/entity/Q112683565,language,English
http://www.wikidata.org/entity/Q128796709,language,English
http://www.wikidata.org/entity/Q124337178,language,English
http://www.wikidata.org/entity/Q107299023,language,English
http://www.wikidata.org/entity/Q101245261,language,English
http://www.wikidata.org/entity/Q124847512,language,English
http://www.wikidata.org/entity/Q124850164,language,English
http://www.wikidata.org/entity/Q112054990,language,English
http://www.wikidata.org/entity/Q129836719,language,English
http://www.wikidata.org/entity/Q124968969,language,English
http://www.wikidata.org/entity/Q123582987,language,English
http://www.wikidata.org/entity/Q125814469,language,English
http://www.wikidata.org/entity/Q124610204,language,English
http://www.wikidata.org/entity/Q116678683,language,English
http://www.wikidata.org/entity/Q125473287,language,English
http://www.wikidata.org/entity/Q124736440,language,English
http://www.wikidata.org/entity/Q129675920,language,English
http://www.wikidata.org/entity/Q119882908,language,English
http://www.wikidata.org/entity/Q125968859,language,English
http://www.wikidata.org/entity/Q101093410,language,English
http://www.wikidata.org/entity/Q117769481,language,English
http://www.wikidata.org/entity/Q124152247,language,English
http://www.wikidata.org/entity/Q124841933,language,English
http://www.wikidata.org/entity/Q125948108,language,English
http://www.wikidata.org/entity/Q113380226,language,English
http://www.wikidata.org/entity/Q124850759,language,English
http://www.wikidata.org/entity/Q124642832,language,English
http://www.wikidata.org/entity/Q124077893,language,English
http://www.wikidata.org/entity/Q113212962,language,English
http://www.wikidata.org/entity/Q114314695,language,English
http://www.wikidata.org/entity/Q126184078,language,English
http://www.wikidata.org/entity/Q100361125,language,English
http://www.wikidata.org/entity/Q126184471,language,English
http://www.wikidata.org/entity/Q115474889,language,English
http://www.wikidata.org/entity/Q123944616,language,English
http://www.wikidata.org/entity/Q117037697,language,English
http://www.wikidata.org/entity/Q115175910,language,English
http://www.wikidata.org/entity/Q123690382,language,English
http://www.wikidata.org/entity/Q119718080,language,English
http://www.wikidata.org/entity/Q121482803,language,English
http://www.wikidata.org/entity/Q124843645,language,English
http://www.wikidata.org/entity/Q116470610,language,English
http://www.wikidata.org/entity/Q130298069,language,English
http://www.wikidata.org/entity/Q123345219,language,English
http://www.wikidata.org/entity/Q124249583,language,English
http://www.wikidata.org/entity/Q113572020,language,English
http://www.wikidata.org/entity/Q130164694,language,English
http://www.wikidata.org/entity/Q120001910,language,English
http://www.wikidata.org/entity/Q123185887,language,English
http://www.wikidata.org/entity/Q130304875,language,English
http://www.wikidata.org/entity/Q118214971,language,English
http://www.wikidata.org/entity/Q124844804,language,English
http://www.wikidata.org/entity/Q124844877,language,English
http://www.wikidata.org/entity/Q130392693,language,English
http://www.wikidata.org/entity/Q73792046,language,English
http://www.wikidata.org/entity/Q124844963,language,English
http://www.wikidata.org/entity/Q124845026,language,English
http://www.wikidata.org/entity/Q115577183,language,English
http://www.wikidata.org/entity/Q116470707,language,English
http://www.wikidata.org/entity/Q125213955,language,English
http://www.wikidata.org/entity/Q115932556,language,English
http://www.wikidata.org/entity/Q124845098,language,English
http://www.wikidata.org/entity/Q117272474,language,English
http://www.wikidata.org/entity/Q118323603,language,English
http://www.wikidata.org/entity/Q125448412,language,English
http://www.wikidata.org/entity/Q124214428,language,English
http://www.wikidata.org/entity/Q123701240,language,English
http://www.wikidata.org/entity/Q122888679,language,English
http://www.wikidata.org/entity/Q129255501,language,English
http://www.wikidata.org/entity/Q116638627,language,English
http://www.wikidata.org/entity/Q124151798,language,English
http://www.wikidata.org/entity/Q121572304,language,English
http://www.wikidata.org/entity/Q130297667,language,English
http://www.wikidata.org/entity/Q113300899,language,English
http://www.wikidata.org/entity/Q123784770,language,English
http://www.wikidata.org/entity/Q102180106,language,English
http://www.wikidata.org/entity/Q127688495,language,English
http://www.wikidata.org/entity/Q126280812,language,English
http://www.wikidata.org/entity/Q130531369,language,English
http://www.wikidata.org/entity/Q124340422,language,English
http://www.wikidata.org/entity/Q131180961,language,English
http://www.wikidata.org/entity/Q121273737,language,English
http://www.wikidata.org/entity/Q124334456,language,English
http://www.wikidata.org/entity/Q115766625,language,English
http://www.wikidata.org/entity/Q126393406,language,English
http://www.wikidata.org/entity/Q116032682,language,English
http://www.wikidata.org/entity/Q124848124,language,English
http://www.wikidata.org/entity/Q124848219,language,English
http://www.wikidata.org/entity/Q113043714,language,English
