subject,predicate,object
http://www.wikidata.org/entity/Q117130193,mainSubjects,nan
http://www.wikidata.org/entity/Q124708001,mainSubjects,nan
http://www.wikidata.org/entity/Q127763750,mainSubjects,nan
http://www.wikidata.org/entity/Q123758925,mainSubjects,nan
http://www.wikidata.org/entity/Q123783550,mainSubjects,nan
http://www.wikidata.org/entity/Q111941144,mainSubjects,nan
http://www.wikidata.org/entity/Q122203155,mainSubjects,nan
http://www.wikidata.org/entity/Q123259395,mainSubjects,nan
http://www.wikidata.org/entity/Q124370507,mainSubjects,nan
http://www.wikidata.org/entity/Q117287129,mainSubjects,nan
http://www.wikidata.org/entity/Q127628439,mainSubjects,nan
http://www.wikidata.org/entity/Q124246343,mainSubjects,nan
http://www.wikidata.org/entity/Q122723743,mainSubjects,nan
http://www.wikidata.org/entity/Q112054623,mainSubjects,nan
http://www.wikidata.org/entity/Q130477367,mainSubjects,nan
http://www.wikidata.org/entity/Q125693182,mainSubjects,nan
http://www.wikidata.org/entity/Q122703295,mainSubjects,nan
http://www.wikidata.org/entity/Q117014906,mainSubjects,nan
http://www.wikidata.org/entity/Q116361132,mainSubjects,nan
http://www.wikidata.org/entity/Q124285697,mainSubjects,nan
http://www.wikidata.org/entity/Q129652261,mainSubjects,nan
http://www.wikidata.org/entity/Q125858197,mainSubjects,nan
http://www.wikidata.org/entity/Q120188885,mainSubjects,nan
http://www.wikidata.org/entity/Q124335954,mainSubjects,nan
http://www.wikidata.org/entity/Q121091587,mainSubjects,nan
http://www.wikidata.org/entity/Q129255850,mainSubjects,nan
http://www.wikidata.org/entity/Q122964827,mainSubjects,Nasubi
http://www.wikidata.org/entity/Q122964827,mainSubjects,reality television
http://www.wikidata.org/entity/Q127869960,mainSubjects,nan
http://www.wikidata.org/entity/Q121076570,mainSubjects,nan
http://www.wikidata.org/entity/Q116692764,mainSubjects,nan
http://www.wikidata.org/entity/Q113012523,mainSubjects,nan
http://www.wikidata.org/entity/Q125485552,mainSubjects,nan
http://www.wikidata.org/entity/Q125295777,mainSubjects,nan
http://www.wikidata.org/entity/Q130616239,mainSubjects,nan
http://www.wikidata.org/entity/Q116141854,mainSubjects,nan
http://www.wikidata.org/entity/Q124547601,mainSubjects,nan
http://www.wikidata.org/entity/Q130641055,mainSubjects,nan
http://www.wikidata.org/entity/Q115993222,mainSubjects,The Holocaust
http://www.wikidata.org/entity/Q115993222,mainSubjects,banality of evil
http://www.wikidata.org/entity/Q125935870,mainSubjects,nan
http://www.wikidata.org/entity/Q125504091,mainSubjects,nan
http://www.wikidata.org/entity/Q128694739,mainSubjects,nan
http://www.wikidata.org/entity/Q129757759,mainSubjects,nan
http://www.wikidata.org/entity/Q112865585,mainSubjects,nan
http://www.wikidata.org/entity/Q130261793,mainSubjects,nan
http://www.wikidata.org/entity/Q127402346,mainSubjects,nan
http://www.wikidata.org/entity/Q116701124,mainSubjects,nan
http://www.wikidata.org/entity/Q123784984,mainSubjects,nan
http://www.wikidata.org/entity/Q117774966,mainSubjects,deference
http://www.wikidata.org/entity/Q118414983,mainSubjects,Hipgnosis
http://www.wikidata.org/entity/Q120986976,mainSubjects,nan
http://www.wikidata.org/entity/Q131320483,mainSubjects,nan
http://www.wikidata.org/entity/Q116178692,mainSubjects,nan
http://www.wikidata.org/entity/Q28719777,mainSubjects,nan
http://www.wikidata.org/entity/Q115367024,mainSubjects,nan
http://www.wikidata.org/entity/Q125507012,mainSubjects,nan
http://www.wikidata.org/entity/Q123185886,mainSubjects,nan
http://www.wikidata.org/entity/Q127784078,mainSubjects,nan
http://www.wikidata.org/entity/Q114073140,mainSubjects,nan
http://www.wikidata.org/entity/Q61989802,mainSubjects,nan
http://www.wikidata.org/entity/Q104144784,mainSubjects,Ronald Reagan
http://www.wikidata.org/entity/Q124844671,mainSubjects,nan
http://www.wikidata.org/entity/Q123976167,mainSubjects,nan
http://www.wikidata.org/entity/Q125256467,mainSubjects,nan
http://www.wikidata.org/entity/Q124416533,mainSubjects,nan
http://www.wikidata.org/entity/Q73537958,mainSubjects,association football
http://www.wikidata.org/entity/Q113371337,mainSubjects,nan
http://www.wikidata.org/entity/Q128307093,mainSubjects,nan
http://www.wikidata.org/entity/Q124460441,mainSubjects,nan
http://www.wikidata.org/entity/Q125830099,mainSubjects,nan
http://www.wikidata.org/entity/Q124847978,mainSubjects,nan
http://www.wikidata.org/entity/Q109228976,mainSubjects,nan
http://www.wikidata.org/entity/Q125716975,mainSubjects,nan
http://www.wikidata.org/entity/Q124098360,mainSubjects,nan
http://www.wikidata.org/entity/Q124250971,mainSubjects,nan
http://www.wikidata.org/entity/Q126326956,mainSubjects,nan
http://www.wikidata.org/entity/Q4177246,mainSubjects,nan
http://www.wikidata.org/entity/Q124537941,mainSubjects,nan
http://www.wikidata.org/entity/Q123169098,mainSubjects,nan
http://www.wikidata.org/entity/Q121767976,mainSubjects,nan
http://www.wikidata.org/entity/Q131312961,mainSubjects,nan
http://www.wikidata.org/entity/Q124153295,mainSubjects,nan
http://www.wikidata.org/entity/Q116771236,mainSubjects,nan
http://www.wikidata.org/entity/Q112114745,mainSubjects,nan
http://www.wikidata.org/entity/Q129456972,mainSubjects,nan
http://www.wikidata.org/entity/Q123861757,mainSubjects,nan
http://www.wikidata.org/entity/Q118384190,mainSubjects,nan
http://www.wikidata.org/entity/Q126165460,mainSubjects,nan
http://www.wikidata.org/entity/Q116771180,mainSubjects,nan
http://www.wikidata.org/entity/Q113650759,mainSubjects,nan
http://www.wikidata.org/entity/Q114703286,mainSubjects,immigration to the United States
http://www.wikidata.org/entity/Q125448417,mainSubjects,nan
http://www.wikidata.org/entity/Q116431968,mainSubjects,nan
http://www.wikidata.org/entity/Q113488690,mainSubjects,nan
http://www.wikidata.org/entity/Q111458251,mainSubjects,nan
http://www.wikidata.org/entity/Q130381565,mainSubjects,nan
http://www.wikidata.org/entity/Q125925221,mainSubjects,nan
http://www.wikidata.org/entity/Q115405596,mainSubjects,nan
http://www.wikidata.org/entity/Q120900212,mainSubjects,nan
http://www.wikidata.org/entity/Q112183404,mainSubjects,silence
http://www.wikidata.org/entity/Q112183404,mainSubjects,alien invasion
http://www.wikidata.org/entity/Q116246102,mainSubjects,nan
http://www.wikidata.org/entity/Q115860236,mainSubjects,Special Operations Executive
http://www.wikidata.org/entity/Q115860236,mainSubjects,Operation Postmaster
http://www.wikidata.org/entity/Q124814758,mainSubjects,nan
http://www.wikidata.org/entity/Q112054671,mainSubjects,nan
http://www.wikidata.org/entity/Q118175825,mainSubjects,nan
http://www.wikidata.org/entity/Q117816797,mainSubjects,nan
http://www.wikidata.org/entity/Q129583272,mainSubjects,nan
http://www.wikidata.org/entity/Q116394284,mainSubjects,nan
http://www.wikidata.org/entity/Q116675851,mainSubjects,nan
http://www.wikidata.org/entity/Q126734843,mainSubjects,nan
http://www.wikidata.org/entity/Q125897105,mainSubjects,nan
http://www.wikidata.org/entity/Q120487741,mainSubjects,nan
http://www.wikidata.org/entity/Q125501249,mainSubjects,Oklahoma City bombing
http://www.wikidata.org/entity/Q24797403,mainSubjects,nan
http://www.wikidata.org/entity/Q125400788,mainSubjects,Jennifer Pan
http://www.wikidata.org/entity/Q116025865,mainSubjects,Nidana
http://www.wikidata.org/entity/Q124257357,mainSubjects,nan
http://www.wikidata.org/entity/Q117945866,mainSubjects,nan
http://www.wikidata.org/entity/Q127386034,mainSubjects,nan
http://www.wikidata.org/entity/Q85847274,mainSubjects,human trafficking
http://www.wikidata.org/entity/Q85847274,mainSubjects,Tim Ballard
http://www.wikidata.org/entity/Q123223028,mainSubjects,nan
http://www.wikidata.org/entity/Q124365154,mainSubjects,Frida Kahlo
http://www.wikidata.org/entity/Q124848151,mainSubjects,nan
http://www.wikidata.org/entity/Q123353613,mainSubjects,nan
http://www.wikidata.org/entity/Q124320665,mainSubjects,nan
http://www.wikidata.org/entity/Q116027468,mainSubjects,nan
http://www.wikidata.org/entity/Q116745152,mainSubjects,nan
http://www.wikidata.org/entity/Q118309891,mainSubjects,nan
http://www.wikidata.org/entity/Q124255913,mainSubjects,nan
http://www.wikidata.org/entity/Q117425181,mainSubjects,nan
http://www.wikidata.org/entity/Q115859045,mainSubjects,nan
http://www.wikidata.org/entity/Q131137159,mainSubjects,nan
http://www.wikidata.org/entity/Q131154650,mainSubjects,nan
http://www.wikidata.org/entity/Q127727208,mainSubjects,nan
http://www.wikidata.org/entity/Q123139679,mainSubjects,nan
http://www.wikidata.org/entity/Q113677881,mainSubjects,nan
http://www.wikidata.org/entity/Q105952623,mainSubjects,nan
http://www.wikidata.org/entity/Q115478286,mainSubjects,nan
http://www.wikidata.org/entity/Q112683565,mainSubjects,nan
http://www.wikidata.org/entity/Q128796709,mainSubjects,nan
http://www.wikidata.org/entity/Q124337178,mainSubjects,nan
http://www.wikidata.org/entity/Q107299023,mainSubjects,nan
http://www.wikidata.org/entity/Q101245261,mainSubjects,nan
http://www.wikidata.org/entity/Q124847512,mainSubjects,nan
http://www.wikidata.org/entity/Q124850164,mainSubjects,nan
http://www.wikidata.org/entity/Q112054990,mainSubjects,nan
http://www.wikidata.org/entity/Q129836719,mainSubjects,nan
http://www.wikidata.org/entity/Q124968969,mainSubjects,nan
http://www.wikidata.org/entity/Q123582987,mainSubjects,Donald Trump's business career
http://www.wikidata.org/entity/Q125814469,mainSubjects,nan
http://www.wikidata.org/entity/Q124610204,mainSubjects,nan
http://www.wikidata.org/entity/Q116678683,mainSubjects,nan
http://www.wikidata.org/entity/Q125473287,mainSubjects,nan
http://www.wikidata.org/entity/Q124736440,mainSubjects,nan
http://www.wikidata.org/entity/Q129675920,mainSubjects,Lost
http://www.wikidata.org/entity/Q119882908,mainSubjects,nan
http://www.wikidata.org/entity/Q125968859,mainSubjects,Anita Pallenberg
http://www.wikidata.org/entity/Q101093410,mainSubjects,nan
http://www.wikidata.org/entity/Q117769481,mainSubjects,nan
http://www.wikidata.org/entity/Q124152247,mainSubjects,nan
http://www.wikidata.org/entity/Q124841933,mainSubjects,nan
http://www.wikidata.org/entity/Q125948108,mainSubjects,nan
