subject,predicate,object
http://www.wikidata.org/entity/Q117130193,budget,nan
http://www.wikidata.org/entity/Q124708001,budget,nan
http://www.wikidata.org/entity/Q127763750,budget,nan
http://www.wikidata.org/entity/Q123758925,budget,nan
http://www.wikidata.org/entity/Q123783550,budget,nan
http://www.wikidata.org/entity/Q111941144,budget,nan
http://www.wikidata.org/entity/Q122203155,budget,nan
http://www.wikidata.org/entity/Q123259395,budget,nan
http://www.wikidata.org/entity/Q124370507,budget,nan
http://www.wikidata.org/entity/Q117287129,budget,nan
http://www.wikidata.org/entity/Q127628439,budget,nan
http://www.wikidata.org/entity/Q124246343,budget,nan
http://www.wikidata.org/entity/Q122723743,budget,nan
http://www.wikidata.org/entity/Q112054623,budget,nan
http://www.wikidata.org/entity/Q130477367,budget,nan
http://www.wikidata.org/entity/Q125693182,budget,nan
http://www.wikidata.org/entity/Q122703295,budget,nan
http://www.wikidata.org/entity/Q117014906,budget,nan
http://www.wikidata.org/entity/Q116361132,budget,nan
http://www.wikidata.org/entity/Q124285697,budget,nan
http://www.wikidata.org/entity/Q129652261,budget,nan
http://www.wikidata.org/entity/Q125858197,budget,nan
http://www.wikidata.org/entity/Q120188885,budget,nan
http://www.wikidata.org/entity/Q124335954,budget,nan
http://www.wikidata.org/entity/Q121091587,budget,nan
http://www.wikidata.org/entity/Q129255850,budget,nan
http://www.wikidata.org/entity/Q122964827,budget,nan
http://www.wikidata.org/entity/Q127869960,budget,nan
http://www.wikidata.org/entity/Q121076570,budget,nan
http://www.wikidata.org/entity/Q116692764,budget,nan
http://www.wikidata.org/entity/Q113012523,budget,nan
http://www.wikidata.org/entity/Q125485552,budget,nan
http://www.wikidata.org/entity/Q125295777,budget,nan
http://www.wikidata.org/entity/Q130616239,budget,nan
http://www.wikidata.org/entity/Q116141854,budget,nan
http://www.wikidata.org/entity/Q124547601,budget,nan
http://www.wikidata.org/entity/Q130641055,budget,nan
http://www.wikidata.org/entity/Q115993222,budget,nan
http://www.wikidata.org/entity/Q125935870,budget,nan
http://www.wikidata.org/entity/Q125504091,budget,nan
http://www.wikidata.org/entity/Q128694739,budget,nan
http://www.wikidata.org/entity/Q129757759,budget,nan
http://www.wikidata.org/entity/Q112865585,budget,nan
http://www.wikidata.org/entity/Q130261793,budget,nan
http://www.wikidata.org/entity/Q127402346,budget,nan
http://www.wikidata.org/entity/Q116701124,budget,20000000.0
http://www.wikidata.org/entity/Q123784984,budget,nan
http://www.wikidata.org/entity/Q117774966,budget,nan
http://www.wikidata.org/entity/Q118414983,budget,nan
http://www.wikidata.org/entity/Q120986976,budget,13000000.0
http://www.wikidata.org/entity/Q131320483,budget,nan
http://www.wikidata.org/entity/Q116178692,budget,nan
http://www.wikidata.org/entity/Q28719777,budget,nan
http://www.wikidata.org/entity/Q115367024,budget,20000000.0
http://www.wikidata.org/entity/Q125507012,budget,nan
http://www.wikidata.org/entity/Q123185886,budget,nan
http://www.wikidata.org/entity/Q127784078,budget,nan
http://www.wikidata.org/entity/Q114073140,budget,nan
http://www.wikidata.org/entity/Q61989802,budget,nan
http://www.wikidata.org/entity/Q104144784,budget,nan
http://www.wikidata.org/entity/Q124844671,budget,nan
http://www.wikidata.org/entity/Q123976167,budget,nan
http://www.wikidata.org/entity/Q125256467,budget,nan
http://www.wikidata.org/entity/Q124416533,budget,nan
http://www.wikidata.org/entity/Q73537958,budget,nan
http://www.wikidata.org/entity/Q113371337,budget,120000000.0
http://www.wikidata.org/entity/Q128307093,budget,nan
http://www.wikidata.org/entity/Q124460441,budget,nan
http://www.wikidata.org/entity/Q125830099,budget,nan
http://www.wikidata.org/entity/Q124847978,budget,nan
http://www.wikidata.org/entity/Q109228976,budget,nan
http://www.wikidata.org/entity/Q125716975,budget,nan
http://www.wikidata.org/entity/Q124098360,budget,nan
http://www.wikidata.org/entity/Q124250971,budget,nan
http://www.wikidata.org/entity/Q126326956,budget,nan
http://www.wikidata.org/entity/Q4177246,budget,nan
http://www.wikidata.org/entity/Q124537941,budget,nan
http://www.wikidata.org/entity/Q123169098,budget,nan
http://www.wikidata.org/entity/Q121767976,budget,nan
http://www.wikidata.org/entity/Q131312961,budget,nan
http://www.wikidata.org/entity/Q124153295,budget,nan
http://www.wikidata.org/entity/Q116771236,budget,nan
http://www.wikidata.org/entity/Q112114745,budget,nan
http://www.wikidata.org/entity/Q129456972,budget,nan
http://www.wikidata.org/entity/Q123861757,budget,nan
http://www.wikidata.org/entity/Q118384190,budget,nan
http://www.wikidata.org/entity/Q126165460,budget,nan
http://www.wikidata.org/entity/Q116771180,budget,nan
http://www.wikidata.org/entity/Q113650759,budget,nan
http://www.wikidata.org/entity/Q114703286,budget,nan
http://www.wikidata.org/entity/Q125448417,budget,nan
http://www.wikidata.org/entity/Q116431968,budget,nan
http://www.wikidata.org/entity/Q113488690,budget,nan
http://www.wikidata.org/entity/Q111458251,budget,55000000.0
http://www.wikidata.org/entity/Q130381565,budget,nan
http://www.wikidata.org/entity/Q125925221,budget,nan
http://www.wikidata.org/entity/Q115405596,budget,nan
http://www.wikidata.org/entity/Q120900212,budget,nan
http://www.wikidata.org/entity/Q112183404,budget,nan
http://www.wikidata.org/entity/Q116246102,budget,nan
http://www.wikidata.org/entity/Q115860236,budget,nan
http://www.wikidata.org/entity/Q124814758,budget,nan
http://www.wikidata.org/entity/Q112054671,budget,nan
http://www.wikidata.org/entity/Q118175825,budget,nan
http://www.wikidata.org/entity/Q117816797,budget,nan
http://www.wikidata.org/entity/Q129583272,budget,nan
http://www.wikidata.org/entity/Q116394284,budget,nan
http://www.wikidata.org/entity/Q116675851,budget,nan
http://www.wikidata.org/entity/Q126734843,budget,nan
http://www.wikidata.org/entity/Q125897105,budget,nan
http://www.wikidata.org/entity/Q120487741,budget,nan
http://www.wikidata.org/entity/Q125501249,budget,nan
http://www.wikidata.org/entity/Q24797403,budget,145000000.0
http://www.wikidata.org/entity/Q125400788,budget,nan
http://www.wikidata.org/entity/Q116025865,budget,nan
http://www.wikidata.org/entity/Q124257357,budget,nan
http://www.wikidata.org/entity/Q117945866,budget,nan
http://www.wikidata.org/entity/Q127386034,budget,nan
http://www.wikidata.org/entity/Q85847274,budget,14500000.0
http://www.wikidata.org/entity/Q123223028,budget,nan
http://www.wikidata.org/entity/Q124365154,budget,nan
http://www.wikidata.org/entity/Q124848151,budget,nan
http://www.wikidata.org/entity/Q123353613,budget,nan
http://www.wikidata.org/entity/Q124320665,budget,nan
http://www.wikidata.org/entity/Q116027468,budget,nan
http://www.wikidata.org/entity/Q116745152,budget,nan
http://www.wikidata.org/entity/Q118309891,budget,nan
http://www.wikidata.org/entity/Q124255913,budget,nan
http://www.wikidata.org/entity/Q117425181,budget,nan
http://www.wikidata.org/entity/Q115859045,budget,nan
http://www.wikidata.org/entity/Q131137159,budget,nan
http://www.wikidata.org/entity/Q131154650,budget,nan
http://www.wikidata.org/entity/Q127727208,budget,nan
http://www.wikidata.org/entity/Q123139679,budget,nan
http://www.wikidata.org/entity/Q113677881,budget,13000000.0
http://www.wikidata.org/entity/Q105952623,budget,10000000.0
http://www.wikidata.org/entity/Q115478286,budget,nan
http://www.wikidata.org/entity/Q112683565,budget,nan
http://www.wikidata.org/entity/Q128796709,budget,nan
http://www.wikidata.org/entity/Q124337178,budget,nan
http://www.wikidata.org/entity/Q107299023,budget,nan
http://www.wikidata.org/entity/Q101245261,budget,nan
http://www.wikidata.org/entity/Q124847512,budget,nan
http://www.wikidata.org/entity/Q124850164,budget,nan
http://www.wikidata.org/entity/Q112054990,budget,nan
http://www.wikidata.org/entity/Q129836719,budget,nan
http://www.wikidata.org/entity/Q124968969,budget,nan
http://www.wikidata.org/entity/Q123582987,budget,16000000.0
http://www.wikidata.org/entity/Q125814469,budget,nan
http://www.wikidata.org/entity/Q124610204,budget,nan
http://www.wikidata.org/entity/Q116678683,budget,nan
http://www.wikidata.org/entity/Q125473287,budget,nan
http://www.wikidata.org/entity/Q124736440,budget,nan
http://www.wikidata.org/entity/Q129675920,budget,nan
http://www.wikidata.org/entity/Q119882908,budget,nan
http://www.wikidata.org/entity/Q125968859,budget,nan
http://www.wikidata.org/entity/Q101093410,budget,nan
http://www.wikidata.org/entity/Q117769481,budget,nan
http://www.wikidata.org/entity/Q124152247,budget,nan
http://www.wikidata.org/entity/Q124841933,budget,nan
http://www.wikidata.org/entity/Q125948108,budget,nan
http://www.wikidata.org/entity/Q113380226,budget,17500000.0
http://www.wikidata.org/entity/Q124850759,budget,nan
http://www.wikidata.org/entity/Q124642832,budget,nan
http://www.wikidata.org/entity/Q124077893,budget,nan
http://www.wikidata.org/entity/Q113212962,budget,nan
http://www.wikidata.org/entity/Q114314695,budget,160000000.0
http://www.wikidata.org/entity/Q126184078,budget,nan
http://www.wikidata.org/entity/Q100361125,budget,168000000.0
http://www.wikidata.org/entity/Q126184471,budget,nan
http://www.wikidata.org/entity/Q115474889,budget,nan
http://www.wikidata.org/entity/Q123944616,budget,nan
http://www.wikidata.org/entity/Q117037697,budget,6200000.0
http://www.wikidata.org/entity/Q115175910,budget,nan
http://www.wikidata.org/entity/Q123690382,budget,nan
http://www.wikidata.org/entity/Q119718080,budget,nan
http://www.wikidata.org/entity/Q121482803,budget,nan
http://www.wikidata.org/entity/Q124843645,budget,nan
http://www.wikidata.org/entity/Q116470610,budget,10000000.0
http://www.wikidata.org/entity/Q130298069,budget,nan
http://www.wikidata.org/entity/Q123345219,budget,nan
http://www.wikidata.org/entity/Q124249583,budget,nan
http://www.wikidata.org/entity/Q113572020,budget,nan
http://www.wikidata.org/entity/Q130164694,budget,nan
http://www.wikidata.org/entity/Q120001910,budget,nan
