subject,predicate,object
http://www.wikidata.org/entity/Q117130193,composers,Keegan DeWitt
http://www.wikidata.org/entity/Q124708001,composers,nan
http://www.wikidata.org/entity/Q127763750,composers,nan
http://www.wikidata.org/entity/Q123758925,composers,Brent McCorkle
http://www.wikidata.org/entity/Q123783550,composers,nan
http://www.wikidata.org/entity/Q111941144,composers,nan
http://www.wikidata.org/entity/Q122203155,composers,nan
http://www.wikidata.org/entity/Q123259395,composers,Jussi Huhtala
http://www.wikidata.org/entity/Q124370507,composers,John Powell
http://www.wikidata.org/entity/Q117287129,composers,nan
http://www.wikidata.org/entity/Q127628439,composers,nan
http://www.wikidata.org/entity/Q124246343,composers,nan
http://www.wikidata.org/entity/Q122723743,composers,Sam Ewing
http://www.wikidata.org/entity/Q112054623,composers,Great Garbo
http://www.wikidata.org/entity/Q130477367,composers,Dan Levy
http://www.wikidata.org/entity/Q125693182,composers,nan
http://www.wikidata.org/entity/Q122703295,composers,nan
http://www.wikidata.org/entity/Q117014906,composers,Jeff Richmond
http://www.wikidata.org/entity/Q116361132,composers,Robin Carolan
http://www.wikidata.org/entity/Q124285697,composers,Remate
http://www.wikidata.org/entity/Q129652261,composers,nan
http://www.wikidata.org/entity/Q125858197,composers,nan
http://www.wikidata.org/entity/Q120188885,composers,nan
http://www.wikidata.org/entity/Q124335954,composers,Hong Sang-soo
http://www.wikidata.org/entity/Q121091587,composers,Roque Baños
http://www.wikidata.org/entity/Q129255850,composers,nan
http://www.wikidata.org/entity/Q122964827,composers,nan
http://www.wikidata.org/entity/Q127869960,composers,nan
http://www.wikidata.org/entity/Q121076570,composers,Dario Marianelli
http://www.wikidata.org/entity/Q116692764,composers,Robert Ouyang Rusli
http://www.wikidata.org/entity/Q113012523,composers,Chanda Dancy
http://www.wikidata.org/entity/Q125485552,composers,nan
http://www.wikidata.org/entity/Q125295777,composers,nan
http://www.wikidata.org/entity/Q130616239,composers,nan
http://www.wikidata.org/entity/Q116141854,composers,nan
http://www.wikidata.org/entity/Q124547601,composers,Andrew Wyatt
http://www.wikidata.org/entity/Q130641055,composers,nan
http://www.wikidata.org/entity/Q115993222,composers,Mica Levi
http://www.wikidata.org/entity/Q125935870,composers,nan
http://www.wikidata.org/entity/Q125504091,composers,Sebastien Pan
http://www.wikidata.org/entity/Q128694739,composers,nan
http://www.wikidata.org/entity/Q129757759,composers,nan
http://www.wikidata.org/entity/Q112865585,composers,Isobel Waller-Bridge
http://www.wikidata.org/entity/Q130261793,composers,nan
http://www.wikidata.org/entity/Q127402346,composers,nan
http://www.wikidata.org/entity/Q116701124,composers,Hauschka
http://www.wikidata.org/entity/Q123784984,composers,nan
http://www.wikidata.org/entity/Q117774966,composers,nan
http://www.wikidata.org/entity/Q118414983,composers,nan
http://www.wikidata.org/entity/Q120986976,composers,Bear McCreary
http://www.wikidata.org/entity/Q131320483,composers,nan
http://www.wikidata.org/entity/Q116178692,composers,Isabella Summers
http://www.wikidata.org/entity/Q28719777,composers,nan
http://www.wikidata.org/entity/Q115367024,composers,nan
http://www.wikidata.org/entity/Q125507012,composers,nan
http://www.wikidata.org/entity/Q123185886,composers,Marco Beltrami
http://www.wikidata.org/entity/Q127784078,composers,nan
http://www.wikidata.org/entity/Q114073140,composers,Justin Burnett
http://www.wikidata.org/entity/Q61989802,composers,nan
http://www.wikidata.org/entity/Q104144784,composers,nan
http://www.wikidata.org/entity/Q124844671,composers,nan
http://www.wikidata.org/entity/Q123976167,composers,nan
http://www.wikidata.org/entity/Q125256467,composers,nan
http://www.wikidata.org/entity/Q124416533,composers,Andy Gray
http://www.wikidata.org/entity/Q73537958,composers,Michael Giacchino
http://www.wikidata.org/entity/Q113371337,composers,Dan Deacon
http://www.wikidata.org/entity/Q128307093,composers,nan
http://www.wikidata.org/entity/Q124460441,composers,nan
http://www.wikidata.org/entity/Q125830099,composers,nan
http://www.wikidata.org/entity/Q124847978,composers,nan
http://www.wikidata.org/entity/Q109228976,composers,nan
http://www.wikidata.org/entity/Q125716975,composers,Troy Kingi
http://www.wikidata.org/entity/Q125716975,composers,Arli Liberman
http://www.wikidata.org/entity/Q124098360,composers,nan
http://www.wikidata.org/entity/Q124250971,composers,Rahm Khat
http://www.wikidata.org/entity/Q126326956,composers,nan
http://www.wikidata.org/entity/Q4177246,composers,Joby Talbot
http://www.wikidata.org/entity/Q124537941,composers,nan
http://www.wikidata.org/entity/Q123169098,composers,nan
http://www.wikidata.org/entity/Q121767976,composers,Jay Wadley
http://www.wikidata.org/entity/Q131312961,composers,nan
http://www.wikidata.org/entity/Q124153295,composers,Högni Egilsson
http://www.wikidata.org/entity/Q116771236,composers,Ilan Eshkeri
http://www.wikidata.org/entity/Q112114745,composers,Mark Orton
http://www.wikidata.org/entity/Q129456972,composers,nan
http://www.wikidata.org/entity/Q123861757,composers,nan
http://www.wikidata.org/entity/Q118384190,composers,nan
http://www.wikidata.org/entity/Q126165460,composers,James Everingham
http://www.wikidata.org/entity/Q116771180,composers,nan
http://www.wikidata.org/entity/Q113650759,composers,Lorne Balfe
http://www.wikidata.org/entity/Q114703286,composers,nan
http://www.wikidata.org/entity/Q125448417,composers,nan
http://www.wikidata.org/entity/Q116431968,composers,Dominic Lewis
http://www.wikidata.org/entity/Q113488690,composers,Clint Mansell
http://www.wikidata.org/entity/Q111458251,composers,Trent Reznor
http://www.wikidata.org/entity/Q111458251,composers,Atticus Ross
http://www.wikidata.org/entity/Q130381565,composers,nan
http://www.wikidata.org/entity/Q125925221,composers,nan
http://www.wikidata.org/entity/Q115405596,composers,nan
http://www.wikidata.org/entity/Q120900212,composers,Andrea Farri
http://www.wikidata.org/entity/Q112183404,composers,nan
http://www.wikidata.org/entity/Q116246102,composers,nan
http://www.wikidata.org/entity/Q115860236,composers,Christopher Benstead
http://www.wikidata.org/entity/Q124814758,composers,nan
http://www.wikidata.org/entity/Q112054671,composers,nan
http://www.wikidata.org/entity/Q118175825,composers,nan
http://www.wikidata.org/entity/Q117816797,composers,nan
http://www.wikidata.org/entity/Q129583272,composers,nan
http://www.wikidata.org/entity/Q116394284,composers,Vangelis
http://www.wikidata.org/entity/Q116675851,composers,Dabney Morris
http://www.wikidata.org/entity/Q126734843,composers,nan
http://www.wikidata.org/entity/Q125897105,composers,nan
http://www.wikidata.org/entity/Q120487741,composers,nan
http://www.wikidata.org/entity/Q125501249,composers,nan
http://www.wikidata.org/entity/Q24797403,composers,John Powell
http://www.wikidata.org/entity/Q125400788,composers,nan
http://www.wikidata.org/entity/Q116025865,composers,nan
http://www.wikidata.org/entity/Q124257357,composers,nan
http://www.wikidata.org/entity/Q117945866,composers,nan
http://www.wikidata.org/entity/Q127386034,composers,nan
http://www.wikidata.org/entity/Q85847274,composers,Javier Navarrete
http://www.wikidata.org/entity/Q123223028,composers,nan
http://www.wikidata.org/entity/Q124365154,composers,Victor Hernández Stumpfhauser
http://www.wikidata.org/entity/Q124848151,composers,nan
http://www.wikidata.org/entity/Q123353613,composers,nan
http://www.wikidata.org/entity/Q124320665,composers,Spencer David Hutchings
http://www.wikidata.org/entity/Q116027468,composers,Elyssa Samsel
http://www.wikidata.org/entity/Q116745152,composers,Kris Bowers
http://www.wikidata.org/entity/Q118309891,composers,Sacha Puttnam
http://www.wikidata.org/entity/Q124255913,composers,nan
http://www.wikidata.org/entity/Q117425181,composers,Bryce Dessner
http://www.wikidata.org/entity/Q115859045,composers,nan
http://www.wikidata.org/entity/Q131137159,composers,nan
http://www.wikidata.org/entity/Q131154650,composers,nan
http://www.wikidata.org/entity/Q127727208,composers,nan
http://www.wikidata.org/entity/Q123139679,composers,Coen Wolters
http://www.wikidata.org/entity/Q123139679,composers,Jeff Francis
http://www.wikidata.org/entity/Q113677881,composers,Isabella Summers
http://www.wikidata.org/entity/Q105952623,composers,Hauschka
http://www.wikidata.org/entity/Q105952623,composers,Jed Kurzel
http://www.wikidata.org/entity/Q115478286,composers,nan
http://www.wikidata.org/entity/Q112683565,composers,Alan Menken
http://www.wikidata.org/entity/Q128796709,composers,nan
http://www.wikidata.org/entity/Q124337178,composers,nan
http://www.wikidata.org/entity/Q107299023,composers,Anna Meredith
http://www.wikidata.org/entity/Q101245261,composers,nan
http://www.wikidata.org/entity/Q124847512,composers,nan
http://www.wikidata.org/entity/Q124850164,composers,nan
http://www.wikidata.org/entity/Q112054990,composers,nan
http://www.wikidata.org/entity/Q129836719,composers,Tuomas Kantelinen
http://www.wikidata.org/entity/Q124968969,composers,nan
http://www.wikidata.org/entity/Q123582987,composers,Brian Irvine
http://www.wikidata.org/entity/Q123582987,composers,David Holmes
http://www.wikidata.org/entity/Q125814469,composers,nan
http://www.wikidata.org/entity/Q124610204,composers,nan
http://www.wikidata.org/entity/Q116678683,composers,Lorne Balfe
http://www.wikidata.org/entity/Q125473287,composers,nan
http://www.wikidata.org/entity/Q124736440,composers,nan
http://www.wikidata.org/entity/Q129675920,composers,Michael Giacchino
http://www.wikidata.org/entity/Q119882908,composers,nan
http://www.wikidata.org/entity/Q125968859,composers,nan
http://www.wikidata.org/entity/Q101093410,composers,nan
http://www.wikidata.org/entity/Q117769481,composers,Carter Burwell
http://www.wikidata.org/entity/Q124152247,composers,nan
http://www.wikidata.org/entity/Q124841933,composers,nan
http://www.wikidata.org/entity/Q125948108,composers,nan
http://www.wikidata.org/entity/Q113380226,composers,Raffertie
http://www.wikidata.org/entity/Q124850759,composers,nan
http://www.wikidata.org/entity/Q124642832,composers,nan
http://www.wikidata.org/entity/Q124077893,composers,nan
http://www.wikidata.org/entity/Q113212962,composers,Rael Jones
http://www.wikidata.org/entity/Q114314695,composers,John Paesano
http://www.wikidata.org/entity/Q126184078,composers,nan
http://www.wikidata.org/entity/Q100361125,composers,Junkie XL
http://www.wikidata.org/entity/Q126184471,composers,nan
http://www.wikidata.org/entity/Q115474889,composers,Andrew Lockington
http://www.wikidata.org/entity/Q123944616,composers,nan
http://www.wikidata.org/entity/Q117037697,composers,nan
http://www.wikidata.org/entity/Q115175910,composers,Osvaldo Golijov
http://www.wikidata.org/entity/Q123690382,composers,nan
http://www.wikidata.org/entity/Q119718080,composers,nan
http://www.wikidata.org/entity/Q121482803,composers,nan
http://www.wikidata.org/entity/Q124843645,composers,nan
http://www.wikidata.org/entity/Q116470610,composers,nan
http://www.wikidata.org/entity/Q130298069,composers,nan
http://www.wikidata.org/entity/Q123345219,composers,nan
http://www.wikidata.org/entity/Q124249583,composers,nan
http://www.wikidata.org/entity/Q113572020,composers,Aska Matsumiya
http://www.wikidata.org/entity/Q130164694,composers,nan
http://www.wikidata.org/entity/Q120001910,composers,Walter Mair
http://www.wikidata.org/entity/Q123185887,composers,nan
http://www.wikidata.org/entity/Q130304875,composers,nan
http://www.wikidata.org/entity/Q118214971,composers,Theodosia Roussos
http://www.wikidata.org/entity/Q124844804,composers,nan
http://www.wikidata.org/entity/Q124844877,composers,nan
http://www.wikidata.org/entity/Q130392693,composers,nan
http://www.wikidata.org/entity/Q73792046,composers,nan
http://www.wikidata.org/entity/Q124844963,composers,nan
http://www.wikidata.org/entity/Q124845026,composers,nan
http://www.wikidata.org/entity/Q115577183,composers,nan
http://www.wikidata.org/entity/Q116470707,composers,nan
http://www.wikidata.org/entity/Q125213955,composers,Nathan Barr
http://www.wikidata.org/entity/Q115932556,composers,Benjamin Wallfisch
http://www.wikidata.org/entity/Q124845098,composers,nan
http://www.wikidata.org/entity/Q117272474,composers,nan
http://www.wikidata.org/entity/Q118323603,composers,Andrew Johnson
http://www.wikidata.org/entity/Q125448412,composers,nan
http://www.wikidata.org/entity/Q124214428,composers,nan
http://www.wikidata.org/entity/Q123701240,composers,nan
http://www.wikidata.org/entity/Q122888679,composers,nan
http://www.wikidata.org/entity/Q129255501,composers,nan
http://www.wikidata.org/entity/Q116638627,composers,Brian Tyler
http://www.wikidata.org/entity/Q124151798,composers,nan
http://www.wikidata.org/entity/Q121572304,composers,nan
http://www.wikidata.org/entity/Q130297667,composers,Andreu Jacob
http://www.wikidata.org/entity/Q113300899,composers,nan
http://www.wikidata.org/entity/Q123784770,composers,Andrew Simon McAllister
http://www.wikidata.org/entity/Q102180106,composers,Rob Simonsen
http://www.wikidata.org/entity/Q127688495,composers,nan
http://www.wikidata.org/entity/Q126280812,composers,nan
http://www.wikidata.org/entity/Q130531369,composers,nan
http://www.wikidata.org/entity/Q124340422,composers,John Graney
http://www.wikidata.org/entity/Q131180961,composers,Ole-Henrik Moe
http://www.wikidata.org/entity/Q131180961,composers,André Bratten
http://www.wikidata.org/entity/Q121273737,composers,nan
http://www.wikidata.org/entity/Q124334456,composers,Bruno Falanga
http://www.wikidata.org/entity/Q115766625,composers,Dave Sardy
http://www.wikidata.org/entity/Q126393406,composers,nan
http://www.wikidata.org/entity/Q116032682,composers,Tyler Bates
http://www.wikidata.org/entity/Q124848124,composers,nan
http://www.wikidata.org/entity/Q124848219,composers,nan
http://www.wikidata.org/entity/Q113043714,composers,Daniel Pemberton
http://www.wikidata.org/entity/Q124739624,composers,nan
http://www.wikidata.org/entity/Q124848239,composers,nan
http://www.wikidata.org/entity/Q130615214,composers,nan
http://www.wikidata.org/entity/Q123241538,composers,nan
http://www.wikidata.org/entity/Q130301615,composers,nan
http://www.wikidata.org/entity/Q112609799,composers,Christophe Beck
http://www.wikidata.org/entity/Q121515216,composers,nan
http://www.wikidata.org/entity/Q124354651,composers,nan
http://www.wikidata.org/entity/Q108179022,composers,nan
http://www.wikidata.org/entity/Q130752116,composers,nan
http://www.wikidata.org/entity/Q123022311,composers,Gene Back
http://www.wikidata.org/entity/Q116507926,composers,Nick Cave
http://www.wikidata.org/entity/Q116507926,composers,Warren Ellis
http://www.wikidata.org/entity/Q124460663,composers,nan
http://www.wikidata.org/entity/Q113633105,composers,nan
http://www.wikidata.org/entity/Q123690367,composers,nan
http://www.wikidata.org/entity/Q124409344,composers,Rich Walters
http://www.wikidata.org/entity/Q131195943,composers,nan
http://www.wikidata.org/entity/Q123685382,composers,David Newman
http://www.wikidata.org/entity/Q124813590,composers,nan
http://www.wikidata.org/entity/Q124459714,composers,Bryce Dessner
http://www.wikidata.org/entity/Q124459714,composers,Aaron Dessner
http://www.wikidata.org/entity/Q124445613,composers,nan
http://www.wikidata.org/entity/Q130928680,composers,nan
http://www.wikidata.org/entity/Q126687807,composers,nan
http://www.wikidata.org/entity/Q125572163,composers,Josep Maria Llongueras Altimis
http://www.wikidata.org/entity/Q127649952,composers,nan
http://www.wikidata.org/entity/Q117357033,composers,Howard Shore
http://www.wikidata.org/entity/Q124849811,composers,nan
http://www.wikidata.org/entity/Q124849849,composers,nan
http://www.wikidata.org/entity/Q124849742,composers,nan
http://www.wikidata.org/entity/Q125883403,composers,John Debney
http://www.wikidata.org/entity/Q124849902,composers,nan
http://www.wikidata.org/entity/Q124849917,composers,nan
http://www.wikidata.org/entity/Q114870304,composers,nan
http://www.wikidata.org/entity/Q122933268,composers,Chris Bacon
http://www.wikidata.org/entity/Q124334205,composers,Gabriel Abrantes
http://www.wikidata.org/entity/Q124842799,composers,nan
http://www.wikidata.org/entity/Q118386092,composers,Christopher Willis
http://www.wikidata.org/entity/Q123856282,composers,nan
http://www.wikidata.org/entity/Q124850186,composers,nan
http://www.wikidata.org/entity/Q116469813,composers,Latham Gaines
http://www.wikidata.org/entity/Q116469813,composers,Shelby Gaines
http://www.wikidata.org/entity/Q111705663,composers,nan
