subject,predicate,object
http://www.wikidata.org/entity/Q117130193,directors,Brittany Snow
http://www.wikidata.org/entity/Q124708001,directors,nan
http://www.wikidata.org/entity/Q127763750,directors,Shane D. Stanger
http://www.wikidata.org/entity/Q123758925,directors,Richard Ramsey
http://www.wikidata.org/entity/Q123758925,directors,Joel Smallbone
http://www.wikidata.org/entity/Q123783550,directors,India Donaldson
http://www.wikidata.org/entity/Q111941144,directors,Eshom Nelms
http://www.wikidata.org/entity/Q111941144,directors,Ian Nelms
http://www.wikidata.org/entity/Q122203155,directors,Pablo Larraín
http://www.wikidata.org/entity/Q123259395,directors,Esa Jussila
http://www.wikidata.org/entity/Q124370507,directors,Jared Hess
http://www.wikidata.org/entity/Q117287129,directors,Joshua Oppenheimer
http://www.wikidata.org/entity/Q127628439,directors,nan
http://www.wikidata.org/entity/Q124246343,directors,nan
http://www.wikidata.org/entity/Q122723743,directors,Matthew Goodhue
http://www.wikidata.org/entity/Q112054623,directors,Robert Lorenz
http://www.wikidata.org/entity/Q130477367,directors,Rodrigo Pérez-Castro
http://www.wikidata.org/entity/Q130477367,directors,Ricardo Curtis
http://www.wikidata.org/entity/Q125693182,directors,nan
http://www.wikidata.org/entity/Q122703295,directors,Axel Danielson
http://www.wikidata.org/entity/Q122703295,directors,Maximilien van Aertryck
http://www.wikidata.org/entity/Q117014906,directors,Arturo Perez Jr.
http://www.wikidata.org/entity/Q117014906,directors,Samantha Jayne
http://www.wikidata.org/entity/Q116361132,directors,Robert Eggers
http://www.wikidata.org/entity/Q124285697,directors,Gonzalo López-Gallego
http://www.wikidata.org/entity/Q129652261,directors,nan
http://www.wikidata.org/entity/Q125858197,directors,Lady Gaga
http://www.wikidata.org/entity/Q120188885,directors,Andrea Arnold
http://www.wikidata.org/entity/Q124335954,directors,Hong Sang-soo
http://www.wikidata.org/entity/Q121091587,directors,J.J. Perry
http://www.wikidata.org/entity/Q129255850,directors,nan
http://www.wikidata.org/entity/Q122964827,directors,nan
http://www.wikidata.org/entity/Q127869960,directors,nan
http://www.wikidata.org/entity/Q121076570,directors,Dougal Wilson
http://www.wikidata.org/entity/Q116692764,directors,Julio Torres
http://www.wikidata.org/entity/Q113012523,directors,Zoë Kravitz
http://www.wikidata.org/entity/Q125485552,directors,Toshimichi Saito
http://www.wikidata.org/entity/Q125295777,directors,Guillem Morales
http://www.wikidata.org/entity/Q130616239,directors,nan
http://www.wikidata.org/entity/Q116141854,directors,Mads Matthiesen
http://www.wikidata.org/entity/Q124547601,directors,Gia Coppola
http://www.wikidata.org/entity/Q130641055,directors,Ezra Tsegaye
http://www.wikidata.org/entity/Q115993222,directors,Jonathan Glazer
http://www.wikidata.org/entity/Q125935870,directors,Michael Cristofer
http://www.wikidata.org/entity/Q125504091,directors,Tyler Taormina
http://www.wikidata.org/entity/Q128694739,directors,Rebel Wilson
http://www.wikidata.org/entity/Q129757759,directors,Johannes Grenzfurthner
http://www.wikidata.org/entity/Q112865585,directors,Natalie Erika James
http://www.wikidata.org/entity/Q130261793,directors,John Sheedy
http://www.wikidata.org/entity/Q127402346,directors,Renato De Maria
http://www.wikidata.org/entity/Q116701124,directors,Edward Berger
http://www.wikidata.org/entity/Q123784984,directors,nan
http://www.wikidata.org/entity/Q117774966,directors,Joanna Arnow
http://www.wikidata.org/entity/Q118414983,directors,Anton Corbijn
http://www.wikidata.org/entity/Q120986976,directors,Jeff Wadlow
http://www.wikidata.org/entity/Q131320483,directors,Sabine Lidl
http://www.wikidata.org/entity/Q116178692,directors,Stefon Bristol
http://www.wikidata.org/entity/Q28719777,directors,Phil Grabsky
http://www.wikidata.org/entity/Q115367024,directors,Todd Haynes
http://www.wikidata.org/entity/Q125507012,directors,nan
http://www.wikidata.org/entity/Q123185886,directors,Richard Gray
http://www.wikidata.org/entity/Q127784078,directors,Meri Koivisto
http://www.wikidata.org/entity/Q127784078,directors,Nils Dettmann
http://www.wikidata.org/entity/Q114073140,directors,Renny Harlin
http://www.wikidata.org/entity/Q61989802,directors,Phil Grabsky
http://www.wikidata.org/entity/Q104144784,directors,Sean McNamara
http://www.wikidata.org/entity/Q124844671,directors,Manfred Oldenburg
http://www.wikidata.org/entity/Q123976167,directors,Klára Tasovská
http://www.wikidata.org/entity/Q125256467,directors,Uwe Boll
http://www.wikidata.org/entity/Q124416533,directors,Claudio Fäh
http://www.wikidata.org/entity/Q73537958,directors,Taika Waititi
http://www.wikidata.org/entity/Q113371337,directors,Kelly Marcel
http://www.wikidata.org/entity/Q128307093,directors,George Huang
http://www.wikidata.org/entity/Q124460441,directors,Ian Bonhôte
http://www.wikidata.org/entity/Q124460441,directors,Peter Ettedgui
http://www.wikidata.org/entity/Q125830099,directors,Yolande Zauberman
http://www.wikidata.org/entity/Q124847978,directors,Nadia Conners
http://www.wikidata.org/entity/Q109228976,directors,Gabe Polsky
http://www.wikidata.org/entity/Q125716975,directors,Rachel House
http://www.wikidata.org/entity/Q124098360,directors,nan
http://www.wikidata.org/entity/Q124250971,directors,Paul G. Volk
http://www.wikidata.org/entity/Q126326956,directors,Nnamdi Asomugha
http://www.wikidata.org/entity/Q4177246,directors,John Crowley
http://www.wikidata.org/entity/Q124537941,directors,nan
http://www.wikidata.org/entity/Q123169098,directors,Mike Flanagan
