subject,predicate,object
http://www.wikidata.org/entity/Q117130193,directors_URIs,http://www.wikidata.org/entity/Q229975
http://www.wikidata.org/entity/Q124708001,directors_URIs,nan
http://www.wikidata.org/entity/Q127763750,directors_URIs,http://www.wikidata.org/entity/Q127766252
http://www.wikidata.org/entity/Q123758925,directors_URIs,http://www.wikidata.org/entity/Q21176501
http://www.wikidata.org/entity/Q123758925,directors_URIs,http://www.wikidata.org/entity/Q28151611
http://www.wikidata.org/entity/Q123783550,directors_URIs,http://www.wikidata.org/entity/Q126089245
http://www.wikidata.org/entity/Q111941144,directors_URIs,http://www.wikidata.org/entity/Q66717830
http://www.wikidata.org/entity/Q111941144,directors_URIs,http://www.wikidata.org/entity/Q66717831
http://www.wikidata.org/entity/Q122203155,directors_URIs,http://www.wikidata.org/entity/Q1985090
http://www.wikidata.org/entity/Q123259395,directors_URIs,http://www.wikidata.org/entity/Q123259404
http://www.wikidata.org/entity/Q124370507,directors_URIs,http://www.wikidata.org/entity/Q2480656
http://www.wikidata.org/entity/Q117287129,directors_URIs,http://www.wikidata.org/entity/Q6290103
http://www.wikidata.org/entity/Q127628439,directors_URIs,nan
http://www.wikidata.org/entity/Q124246343,directors_URIs,nan
http://www.wikidata.org/entity/Q122723743,directors_URIs,http://www.wikidata.org/entity/Q122940157
http://www.wikidata.org/entity/Q112054623,directors_URIs,http://www.wikidata.org/entity/Q324177
http://www.wikidata.org/entity/Q130477367,directors_URIs,http://www.wikidata.org/entity/Q114903837
http://www.wikidata.org/entity/Q130477367,directors_URIs,http://www.wikidata.org/entity/Q115210525
http://www.wikidata.org/entity/Q125693182,directors_URIs,nan
http://www.wikidata.org/entity/Q122703295,directors_URIs,http://www.wikidata.org/entity/Q26912640
http://www.wikidata.org/entity/Q122703295,directors_URIs,http://www.wikidata.org/entity/Q26912642
http://www.wikidata.org/entity/Q117014906,directors_URIs,http://www.wikidata.org/entity/Q123566133
http://www.wikidata.org/entity/Q117014906,directors_URIs,http://www.wikidata.org/entity/Q89603298
http://www.wikidata.org/entity/Q116361132,directors_URIs,http://www.wikidata.org/entity/Q20826736
http://www.wikidata.org/entity/Q124285697,directors_URIs,http://www.wikidata.org/entity/Q1059776
http://www.wikidata.org/entity/Q129652261,directors_URIs,nan
http://www.wikidata.org/entity/Q125858197,directors_URIs,http://www.wikidata.org/entity/Q19848
http://www.wikidata.org/entity/Q120188885,directors_URIs,http://www.wikidata.org/entity/Q457493
http://www.wikidata.org/entity/Q124335954,directors_URIs,http://www.wikidata.org/entity/Q484572
http://www.wikidata.org/entity/Q121091587,directors_URIs,http://www.wikidata.org/entity/Q4351712
http://www.wikidata.org/entity/Q129255850,directors_URIs,nan
http://www.wikidata.org/entity/Q122964827,directors_URIs,nan
http://www.wikidata.org/entity/Q127869960,directors_URIs,nan
http://www.wikidata.org/entity/Q121076570,directors_URIs,http://www.wikidata.org/entity/Q5301060
http://www.wikidata.org/entity/Q116692764,directors_URIs,http://www.wikidata.org/entity/Q65030610
http://www.wikidata.org/entity/Q113012523,directors_URIs,http://www.wikidata.org/entity/Q227129
http://www.wikidata.org/entity/Q125485552,directors_URIs,http://www.wikidata.org/entity/Q125486577
http://www.wikidata.org/entity/Q125295777,directors_URIs,http://www.wikidata.org/entity/Q15069841
http://www.wikidata.org/entity/Q130616239,directors_URIs,nan
http://www.wikidata.org/entity/Q116141854,directors_URIs,http://www.wikidata.org/entity/Q12325636
http://www.wikidata.org/entity/Q124547601,directors_URIs,http://www.wikidata.org/entity/Q9267785
http://www.wikidata.org/entity/Q130641055,directors_URIs,http://www.wikidata.org/entity/Q1386089
http://www.wikidata.org/entity/Q115993222,directors_URIs,http://www.wikidata.org/entity/Q1703182
http://www.wikidata.org/entity/Q125935870,directors_URIs,http://www.wikidata.org/entity/Q503452
http://www.wikidata.org/entity/Q125504091,directors_URIs,http://www.wikidata.org/entity/Q110901801
http://www.wikidata.org/entity/Q128694739,directors_URIs,http://www.wikidata.org/entity/Q442897
http://www.wikidata.org/entity/Q129757759,directors_URIs,http://www.wikidata.org/entity/Q90384
http://www.wikidata.org/entity/Q112865585,directors_URIs,http://www.wikidata.org/entity/Q99210769
http://www.wikidata.org/entity/Q130261793,directors_URIs,http://www.wikidata.org/entity/Q20177473
http://www.wikidata.org/entity/Q127402346,directors_URIs,http://www.wikidata.org/entity/Q1124167
http://www.wikidata.org/entity/Q116701124,directors_URIs,http://www.wikidata.org/entity/Q1291686
http://www.wikidata.org/entity/Q123784984,directors_URIs,nan
http://www.wikidata.org/entity/Q117774966,directors_URIs,http://www.wikidata.org/entity/Q124150876
http://www.wikidata.org/entity/Q118414983,directors_URIs,http://www.wikidata.org/entity/Q349842
http://www.wikidata.org/entity/Q120986976,directors_URIs,http://www.wikidata.org/entity/Q3176610
http://www.wikidata.org/entity/Q131320483,directors_URIs,http://www.wikidata.org/entity/Q95735610
http://www.wikidata.org/entity/Q116178692,directors_URIs,http://www.wikidata.org/entity/Q81854441
http://www.wikidata.org/entity/Q28719777,directors_URIs,http://www.wikidata.org/entity/Q7181929
http://www.wikidata.org/entity/Q115367024,directors_URIs,http://www.wikidata.org/entity/Q446580
http://www.wikidata.org/entity/Q125507012,directors_URIs,nan
http://www.wikidata.org/entity/Q123185886,directors_URIs,http://www.wikidata.org/entity/Q18637425
http://www.wikidata.org/entity/Q127784078,directors_URIs,http://www.wikidata.org/entity/Q26924934
http://www.wikidata.org/entity/Q127784078,directors_URIs,http://www.wikidata.org/entity/Q127784247
http://www.wikidata.org/entity/Q114073140,directors_URIs,http://www.wikidata.org/entity/Q318712
http://www.wikidata.org/entity/Q61989802,directors_URIs,http://www.wikidata.org/entity/Q7181929
http://www.wikidata.org/entity/Q104144784,directors_URIs,http://www.wikidata.org/entity/Q3476760
http://www.wikidata.org/entity/Q124844671,directors_URIs,http://www.wikidata.org/entity/Q16741533
http://www.wikidata.org/entity/Q123976167,directors_URIs,http://www.wikidata.org/entity/Q12029498
http://www.wikidata.org/entity/Q125256467,directors_URIs,http://www.wikidata.org/entity/Q61347
http://www.wikidata.org/entity/Q124416533,directors_URIs,http://www.wikidata.org/entity/Q5129366
http://www.wikidata.org/entity/Q73537958,directors_URIs,http://www.wikidata.org/entity/Q2388576
http://www.wikidata.org/entity/Q113371337,directors_URIs,http://www.wikidata.org/entity/Q6386180
http://www.wikidata.org/entity/Q128307093,directors_URIs,http://www.wikidata.org/entity/Q5540807
http://www.wikidata.org/entity/Q124460441,directors_URIs,http://www.wikidata.org/entity/Q57735256
http://www.wikidata.org/entity/Q124460441,directors_URIs,http://www.wikidata.org/entity/Q57735527
http://www.wikidata.org/entity/Q125830099,directors_URIs,http://www.wikidata.org/entity/Q529461
http://www.wikidata.org/entity/Q124847978,directors_URIs,http://www.wikidata.org/entity/Q23821627
