subject,predicate,object
http://www.wikidata.org/entity/Q117130193,producers_URIs,nan
http://www.wikidata.org/entity/Q124708001,producers_URIs,nan
http://www.wikidata.org/entity/Q127763750,producers_URIs,nan
http://www.wikidata.org/entity/Q123758925,producers_URIs,http://www.wikidata.org/entity/Q28151611
http://www.wikidata.org/entity/Q123758925,producers_URIs,http://www.wikidata.org/entity/Q42664261
http://www.wikidata.org/entity/Q123783550,producers_URIs,nan
http://www.wikidata.org/entity/Q111941144,producers_URIs,http://www.wikidata.org/entity/Q52714247
http://www.wikidata.org/entity/Q122203155,producers_URIs,http://www.wikidata.org/entity/Q1300310
http://www.wikidata.org/entity/Q122203155,producers_URIs,http://www.wikidata.org/entity/Q3837013
http://www.wikidata.org/entity/Q122203155,producers_URIs,http://www.wikidata.org/entity/Q28540779
http://www.wikidata.org/entity/Q122203155,producers_URIs,http://www.wikidata.org/entity/Q62002792
http://www.wikidata.org/entity/Q123259395,producers_URIs,nan
http://www.wikidata.org/entity/Q124370507,producers_URIs,http://www.wikidata.org/entity/Q23992768
http://www.wikidata.org/entity/Q117287129,producers_URIs,http://www.wikidata.org/entity/Q200534
http://www.wikidata.org/entity/Q117287129,producers_URIs,http://www.wikidata.org/entity/Q15864814
http://www.wikidata.org/entity/Q127628439,producers_URIs,nan
http://www.wikidata.org/entity/Q124246343,producers_URIs,nan
http://www.wikidata.org/entity/Q122723743,producers_URIs,http://www.wikidata.org/entity/Q113552805
http://www.wikidata.org/entity/Q122723743,producers_URIs,http://www.wikidata.org/entity/Q122940192
http://www.wikidata.org/entity/Q112054623,producers_URIs,http://www.wikidata.org/entity/Q3103919
http://www.wikidata.org/entity/Q112054623,producers_URIs,http://www.wikidata.org/entity/Q11332490
http://www.wikidata.org/entity/Q112054623,producers_URIs,http://www.wikidata.org/entity/Q95877062
http://www.wikidata.org/entity/Q112054623,producers_URIs,http://www.wikidata.org/entity/Q113450156
http://www.wikidata.org/entity/Q112054623,producers_URIs,http://www.wikidata.org/entity/Q113859949
http://www.wikidata.org/entity/Q130477367,producers_URIs,http://www.wikidata.org/entity/Q18168081
http://www.wikidata.org/entity/Q125693182,producers_URIs,nan
http://www.wikidata.org/entity/Q122703295,producers_URIs,nan
http://www.wikidata.org/entity/Q117014906,producers_URIs,http://www.wikidata.org/entity/Q14540
http://www.wikidata.org/entity/Q117014906,producers_URIs,http://www.wikidata.org/entity/Q521221
http://www.wikidata.org/entity/Q116361132,producers_URIs,http://www.wikidata.org/entity/Q75079
http://www.wikidata.org/entity/Q116361132,producers_URIs,http://www.wikidata.org/entity/Q956349
http://www.wikidata.org/entity/Q116361132,producers_URIs,http://www.wikidata.org/entity/Q20871151
http://www.wikidata.org/entity/Q116361132,producers_URIs,http://www.wikidata.org/entity/Q20871152
http://www.wikidata.org/entity/Q124285697,producers_URIs,http://www.wikidata.org/entity/Q234141
http://www.wikidata.org/entity/Q124285697,producers_URIs,http://www.wikidata.org/entity/Q6830106
http://www.wikidata.org/entity/Q129652261,producers_URIs,nan
http://www.wikidata.org/entity/Q125858197,producers_URIs,nan
http://www.wikidata.org/entity/Q120188885,producers_URIs,http://www.wikidata.org/entity/Q7705620
http://www.wikidata.org/entity/Q124335954,producers_URIs,http://www.wikidata.org/entity/Q484572
http://www.wikidata.org/entity/Q121091587,producers_URIs,http://www.wikidata.org/entity/Q4757720
http://www.wikidata.org/entity/Q129255850,producers_URIs,nan
http://www.wikidata.org/entity/Q122964827,producers_URIs,nan
http://www.wikidata.org/entity/Q127869960,producers_URIs,nan
http://www.wikidata.org/entity/Q121076570,producers_URIs,http://www.wikidata.org/entity/Q24049152
http://www.wikidata.org/entity/Q116692764,producers_URIs,http://www.wikidata.org/entity/Q147077
http://www.wikidata.org/entity/Q116692764,producers_URIs,http://www.wikidata.org/entity/Q16732230
http://www.wikidata.org/entity/Q116692764,producers_URIs,http://www.wikidata.org/entity/Q65030610
http://www.wikidata.org/entity/Q113012523,producers_URIs,http://www.wikidata.org/entity/Q227129
http://www.wikidata.org/entity/Q113012523,producers_URIs,http://www.wikidata.org/entity/Q543498
http://www.wikidata.org/entity/Q125485552,producers_URIs,nan
http://www.wikidata.org/entity/Q125295777,producers_URIs,nan
