subject,predicate,object
http://www.wikidata.org/entity/Q117130193,productionCompanies,nan
http://www.wikidata.org/entity/Q124708001,productionCompanies,nan
http://www.wikidata.org/entity/Q127763750,productionCompanies,nan
http://www.wikidata.org/entity/Q123758925,productionCompanies,Kingdom Story Company
http://www.wikidata.org/entity/Q123783550,productionCompanies,Smudge Films
http://www.wikidata.org/entity/Q111941144,productionCompanies,nan
http://www.wikidata.org/entity/Q122203155,productionCompanies,Fremantle
http://www.wikidata.org/entity/Q122203155,productionCompanies,Fabula
http://www.wikidata.org/entity/Q122203155,productionCompanies,Komplizen Film
http://www.wikidata.org/entity/Q122203155,productionCompanies,The Apartment
http://www.wikidata.org/entity/Q123259395,productionCompanies,nan
http://www.wikidata.org/entity/Q124370507,productionCompanies,Netflix Animation
http://www.wikidata.org/entity/Q117287129,productionCompanies,Final Cut for Real
http://www.wikidata.org/entity/Q127628439,productionCompanies,Swearl LLC
http://www.wikidata.org/entity/Q124246343,productionCompanies,nan
http://www.wikidata.org/entity/Q122723743,productionCompanies,nan
http://www.wikidata.org/entity/Q112054623,productionCompanies,Davis Films
http://www.wikidata.org/entity/Q112054623,productionCompanies,Merlin Films
http://www.wikidata.org/entity/Q130477367,productionCompanies,Umedia
http://www.wikidata.org/entity/Q130477367,productionCompanies,Copperheart Entertainment
http://www.wikidata.org/entity/Q125693182,productionCompanies,nan
http://www.wikidata.org/entity/Q122703295,productionCompanies,nan
http://www.wikidata.org/entity/Q117014906,productionCompanies,Broadway Video
http://www.wikidata.org/entity/Q117014906,productionCompanies,Little Stranger
http://www.wikidata.org/entity/Q117014906,productionCompanies,Paramount Players
http://www.wikidata.org/entity/Q116361132,productionCompanies,Focus Features
http://www.wikidata.org/entity/Q116361132,productionCompanies,Stillking Films
http://www.wikidata.org/entity/Q116361132,productionCompanies,Studio 8
http://www.wikidata.org/entity/Q124285697,productionCompanies,nan
http://www.wikidata.org/entity/Q129652261,productionCompanies,nan
http://www.wikidata.org/entity/Q125858197,productionCompanies,nan
http://www.wikidata.org/entity/Q120188885,productionCompanies,British Film Institute
http://www.wikidata.org/entity/Q120188885,productionCompanies,BBC Film
http://www.wikidata.org/entity/Q120188885,productionCompanies,Canal+
http://www.wikidata.org/entity/Q120188885,productionCompanies,Ciné+
http://www.wikidata.org/entity/Q120188885,productionCompanies,Arte France Cinéma
http://www.wikidata.org/entity/Q120188885,productionCompanies,Ad Vitam Distribution
http://www.wikidata.org/entity/Q120188885,productionCompanies,Access Entertainment
http://www.wikidata.org/entity/Q124335954,productionCompanies,nan
http://www.wikidata.org/entity/Q121091587,productionCompanies,Mad Chance
http://www.wikidata.org/entity/Q129255850,productionCompanies,nan
http://www.wikidata.org/entity/Q122964827,productionCompanies,nan
http://www.wikidata.org/entity/Q127869960,productionCompanies,nan
http://www.wikidata.org/entity/Q121076570,productionCompanies,Heyday Films
http://www.wikidata.org/entity/Q121076570,productionCompanies,StudioCanal
http://www.wikidata.org/entity/Q116692764,productionCompanies,Fruit Tree
http://www.wikidata.org/entity/Q113012523,productionCompanies,Metro-Goldwyn-Mayer
http://www.wikidata.org/entity/Q125485552,productionCompanies,nan
http://www.wikidata.org/entity/Q125295777,productionCompanies,nan
http://www.wikidata.org/entity/Q130616239,productionCompanies,nan
http://www.wikidata.org/entity/Q116141854,productionCompanies,nan
http://www.wikidata.org/entity/Q124547601,productionCompanies,nan
http://www.wikidata.org/entity/Q130641055,productionCompanies,nan
http://www.wikidata.org/entity/Q115993222,productionCompanies,Access Industries
http://www.wikidata.org/entity/Q115993222,productionCompanies,Film4 Productions
http://www.wikidata.org/entity/Q115993222,productionCompanies,A24
http://www.wikidata.org/entity/Q115993222,productionCompanies,Instytucja Filmowa „Silesia-Film”
http://www.wikidata.org/entity/Q115993222,productionCompanies,Access Entertainment
http://www.wikidata.org/entity/Q115993222,productionCompanies,House Productions
http://www.wikidata.org/entity/Q125935870,productionCompanies,HBO Films
http://www.wikidata.org/entity/Q125504091,productionCompanies,nan
http://www.wikidata.org/entity/Q128694739,productionCompanies,nan
http://www.wikidata.org/entity/Q129757759,productionCompanies,nan
http://www.wikidata.org/entity/Q112865585,productionCompanies,nan
http://www.wikidata.org/entity/Q130261793,productionCompanies,nan
http://www.wikidata.org/entity/Q127402346,productionCompanies,nan
http://www.wikidata.org/entity/Q116701124,productionCompanies,FilmNation Entertainment
http://www.wikidata.org/entity/Q116701124,productionCompanies,House Productions
http://www.wikidata.org/entity/Q123784984,productionCompanies,nan
http://www.wikidata.org/entity/Q117774966,productionCompanies,nan
http://www.wikidata.org/entity/Q118414983,productionCompanies,nan
http://www.wikidata.org/entity/Q120986976,productionCompanies,Blumhouse Productions
http://www.wikidata.org/entity/Q120986976,productionCompanies,Lionsgate Films
http://www.wikidata.org/entity/Q131320483,productionCompanies,nan
