subject,predicate,object
http://www.wikidata.org/entity/Q117130193,runtime,97.0
http://www.wikidata.org/entity/Q124708001,runtime,110.0
http://www.wikidata.org/entity/Q127763750,runtime,96.0
http://www.wikidata.org/entity/Q123758925,runtime,112.0
http://www.wikidata.org/entity/Q123783550,runtime,90.0
http://www.wikidata.org/entity/Q111941144,runtime,111.0
http://www.wikidata.org/entity/Q122203155,runtime,124.0
http://www.wikidata.org/entity/Q123259395,runtime,100.0
http://www.wikidata.org/entity/Q124370507,runtime,93.0
http://www.wikidata.org/entity/Q117287129,runtime,nan
http://www.wikidata.org/entity/Q127628439,runtime,nan
http://www.wikidata.org/entity/Q124246343,runtime,98.0
http://www.wikidata.org/entity/Q122723743,runtime,93.0
http://www.wikidata.org/entity/Q112054623,runtime,106.0
http://www.wikidata.org/entity/Q130477367,runtime,nan
http://www.wikidata.org/entity/Q125693182,runtime,86.0
http://www.wikidata.org/entity/Q122703295,runtime,88.0
http://www.wikidata.org/entity/Q117014906,runtime,112.0
http://www.wikidata.org/entity/Q116361132,runtime,143.0
http://www.wikidata.org/entity/Q124285697,runtime,107.0
http://www.wikidata.org/entity/Q129652261,runtime,107.0
http://www.wikidata.org/entity/Q125858197,runtime,nan
http://www.wikidata.org/entity/Q120188885,runtime,119.0
http://www.wikidata.org/entity/Q124335954,runtime,nan
http://www.wikidata.org/entity/Q121091587,runtime,104.0
http://www.wikidata.org/entity/Q129255850,runtime,80.0
http://www.wikidata.org/entity/Q122964827,runtime,90.0
http://www.wikidata.org/entity/Q127869960,runtime,88.0
http://www.wikidata.org/entity/Q121076570,runtime,nan
http://www.wikidata.org/entity/Q116692764,runtime,98.0
http://www.wikidata.org/entity/Q113012523,runtime,102.0
http://www.wikidata.org/entity/Q125485552,runtime,79.0
http://www.wikidata.org/entity/Q125295777,runtime,96.0
http://www.wikidata.org/entity/Q130616239,runtime,nan
http://www.wikidata.org/entity/Q116141854,runtime,93.0
http://www.wikidata.org/entity/Q124547601,runtime,nan
http://www.wikidata.org/entity/Q130641055,runtime,nan
http://www.wikidata.org/entity/Q115993222,runtime,105.0
http://www.wikidata.org/entity/Q125935870,runtime,nan
http://www.wikidata.org/entity/Q125504091,runtime,106.0
http://www.wikidata.org/entity/Q128694739,runtime,nan
http://www.wikidata.org/entity/Q129757759,runtime,94.0
http://www.wikidata.org/entity/Q112865585,runtime,nan
http://www.wikidata.org/entity/Q130261793,runtime,91.0
http://www.wikidata.org/entity/Q127402346,runtime,nan
http://www.wikidata.org/entity/Q116701124,runtime,120.0
http://www.wikidata.org/entity/Q123784984,runtime,95.0
http://www.wikidata.org/entity/Q117774966,runtime,87.0
http://www.wikidata.org/entity/Q118414983,runtime,101.0
http://www.wikidata.org/entity/Q120986976,runtime,104.0
http://www.wikidata.org/entity/Q131320483,runtime,62.0
http://www.wikidata.org/entity/Q116178692,runtime,93.0
http://www.wikidata.org/entity/Q28719777,runtime,87.0
http://www.wikidata.org/entity/Q115367024,runtime,113.0
http://www.wikidata.org/entity/Q125507012,runtime,86.0
http://www.wikidata.org/entity/Q123185886,runtime,nan
http://www.wikidata.org/entity/Q127784078,runtime,73.0
http://www.wikidata.org/entity/Q114073140,runtime,91.0
http://www.wikidata.org/entity/Q61989802,runtime,85.0
http://www.wikidata.org/entity/Q104144784,runtime,nan
http://www.wikidata.org/entity/Q124844671,runtime,94.0
http://www.wikidata.org/entity/Q123976167,runtime,87.0
http://www.wikidata.org/entity/Q125256467,runtime,nan
http://www.wikidata.org/entity/Q124416533,runtime,90.0
http://www.wikidata.org/entity/Q73537958,runtime,104.0
http://www.wikidata.org/entity/Q113371337,runtime,109.0
http://www.wikidata.org/entity/Q128307093,runtime,nan
http://www.wikidata.org/entity/Q124460441,runtime,104.0
http://www.wikidata.org/entity/Q125830099,runtime,76.0
http://www.wikidata.org/entity/Q124847978,runtime,nan
http://www.wikidata.org/entity/Q109228976,runtime,nan
http://www.wikidata.org/entity/Q125716975,runtime,89.0
http://www.wikidata.org/entity/Q124098360,runtime,nan
http://www.wikidata.org/entity/Q124250971,runtime,105.0
http://www.wikidata.org/entity/Q126326956,runtime,82.0
http://www.wikidata.org/entity/Q4177246,runtime,94.0
http://www.wikidata.org/entity/Q124537941,runtime,96.0
http://www.wikidata.org/entity/Q123169098,runtime,nan
http://www.wikidata.org/entity/Q121767976,runtime,93.0
http://www.wikidata.org/entity/Q131312961,runtime,nan
http://www.wikidata.org/entity/Q124153295,runtime,121.0
http://www.wikidata.org/entity/Q116771236,runtime,108.0
http://www.wikidata.org/entity/Q112114745,runtime,133.0
http://www.wikidata.org/entity/Q129456972,runtime,nan
http://www.wikidata.org/entity/Q123861757,runtime,114.0
http://www.wikidata.org/entity/Q118384190,runtime,nan
http://www.wikidata.org/entity/Q126165460,runtime,94.0
http://www.wikidata.org/entity/Q116771180,runtime,98.0
http://www.wikidata.org/entity/Q113650759,runtime,nan
http://www.wikidata.org/entity/Q114703286,runtime,74.0
http://www.wikidata.org/entity/Q125448417,runtime,nan
http://www.wikidata.org/entity/Q116431968,runtime,104.0
http://www.wikidata.org/entity/Q113488690,runtime,104.0
http://www.wikidata.org/entity/Q111458251,runtime,131.0
http://www.wikidata.org/entity/Q130381565,runtime,101.0
http://www.wikidata.org/entity/Q125925221,runtime,105.0
http://www.wikidata.org/entity/Q115405596,runtime,116.0
http://www.wikidata.org/entity/Q120900212,runtime,121.0
http://www.wikidata.org/entity/Q112183404,runtime,99.0
http://www.wikidata.org/entity/Q116246102,runtime,146.0
http://www.wikidata.org/entity/Q115860236,runtime,nan
http://www.wikidata.org/entity/Q124814758,runtime,nan
http://www.wikidata.org/entity/Q112054671,runtime,138.0
http://www.wikidata.org/entity/Q118175825,runtime,nan
http://www.wikidata.org/entity/Q117816797,runtime,110.0
http://www.wikidata.org/entity/Q129583272,runtime,100.0
http://www.wikidata.org/entity/Q116394284,runtime,105.0
http://www.wikidata.org/entity/Q116675851,runtime,91.0
http://www.wikidata.org/entity/Q126734843,runtime,nan
http://www.wikidata.org/entity/Q125897105,runtime,127.0
http://www.wikidata.org/entity/Q120487741,runtime,112.0
http://www.wikidata.org/entity/Q125501249,runtime,nan
http://www.wikidata.org/entity/Q24797403,runtime,160.0
http://www.wikidata.org/entity/Q125400788,runtime,87.0
http://www.wikidata.org/entity/Q116025865,runtime,106.0
http://www.wikidata.org/entity/Q124257357,runtime,nan
http://www.wikidata.org/entity/Q117945866,runtime,94.0
http://www.wikidata.org/entity/Q127386034,runtime,nan
http://www.wikidata.org/entity/Q85847274,runtime,131.0
http://www.wikidata.org/entity/Q123223028,runtime,83.0
http://www.wikidata.org/entity/Q124365154,runtime,87.0
http://www.wikidata.org/entity/Q124848151,runtime,nan
http://www.wikidata.org/entity/Q123353613,runtime,nan
http://www.wikidata.org/entity/Q124320665,runtime,98.0
http://www.wikidata.org/entity/Q116027468,runtime,93.0
http://www.wikidata.org/entity/Q116745152,runtime,135.0
http://www.wikidata.org/entity/Q118309891,runtime,nan
http://www.wikidata.org/entity/Q124255913,runtime,96.0
http://www.wikidata.org/entity/Q117425181,runtime,107.0
http://www.wikidata.org/entity/Q115859045,runtime,nan
http://www.wikidata.org/entity/Q131137159,runtime,90.0
http://www.wikidata.org/entity/Q131154650,runtime,83.0
http://www.wikidata.org/entity/Q127727208,runtime,nan
http://www.wikidata.org/entity/Q123139679,runtime,87.0
http://www.wikidata.org/entity/Q113677881,runtime,101.0
http://www.wikidata.org/entity/Q105952623,runtime,113.0
http://www.wikidata.org/entity/Q115478286,runtime,nan
http://www.wikidata.org/entity/Q112683565,runtime,109.0
http://www.wikidata.org/entity/Q128796709,runtime,nan
http://www.wikidata.org/entity/Q124337178,runtime,99.0
http://www.wikidata.org/entity/Q107299023,runtime,111.0
http://www.wikidata.org/entity/Q101245261,runtime,90.0
http://www.wikidata.org/entity/Q124847512,runtime,nan
http://www.wikidata.org/entity/Q124850164,runtime,nan
http://www.wikidata.org/entity/Q112054990,runtime,nan
http://www.wikidata.org/entity/Q129836719,runtime,nan
http://www.wikidata.org/entity/Q124968969,runtime,106.0
http://www.wikidata.org/entity/Q123582987,runtime,120.0
http://www.wikidata.org/entity/Q125814469,runtime,nan
http://www.wikidata.org/entity/Q124610204,runtime,97.0
http://www.wikidata.org/entity/Q116678683,runtime,nan
http://www.wikidata.org/entity/Q125473287,runtime,nan
http://www.wikidata.org/entity/Q124736440,runtime,nan
http://www.wikidata.org/entity/Q129675920,runtime,nan
http://www.wikidata.org/entity/Q119882908,runtime,109.0
http://www.wikidata.org/entity/Q125968859,runtime,113.0
http://www.wikidata.org/entity/Q101093410,runtime,137.0
http://www.wikidata.org/entity/Q117769481,runtime,84.0
http://www.wikidata.org/entity/Q124152247,runtime,97.0
http://www.wikidata.org/entity/Q124841933,runtime,nan
http://www.wikidata.org/entity/Q125948108,runtime,nan
http://www.wikidata.org/entity/Q113380226,runtime,140.0
http://www.wikidata.org/entity/Q124850759,runtime,nan
http://www.wikidata.org/entity/Q124642832,runtime,95.0
http://www.wikidata.org/entity/Q124077893,runtime,106.0
http://www.wikidata.org/entity/Q113212962,runtime,100.0
http://www.wikidata.org/entity/Q114314695,runtime,145.0
http://www.wikidata.org/entity/Q126184078,runtime,82.0
http://www.wikidata.org/entity/Q100361125,runtime,148.0
http://www.wikidata.org/entity/Q126184471,runtime,86.0
