subject,predicate,object
http://www.wikidata.org/entity/Q117130193,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124708001,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q127763750,RottenTomatoesID,m/good_bad_things
http://www.wikidata.org/entity/Q123758925,RottenTomatoesID,m/unsung_hero
http://www.wikidata.org/entity/Q123783550,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q111941144,RottenTomatoesID,m/red_right_hand
http://www.wikidata.org/entity/Q122203155,RottenTomatoesID,m/maria_2024
http://www.wikidata.org/entity/Q123259395,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124370507,RottenTomatoesID,m/thelma_the_unicorn
http://www.wikidata.org/entity/Q117287129,RottenTomatoesID,m/the_end_2024
http://www.wikidata.org/entity/Q127628439,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124246343,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q122723743,RottenTomatoesID,m/slotherhouse
http://www.wikidata.org/entity/Q112054623,RottenTomatoesID,m/in_the_land_of_saints_and_sinners
http://www.wikidata.org/entity/Q130477367,RottenTomatoesID,m/night_of_the_zoopocalypse
http://www.wikidata.org/entity/Q125693182,RottenTomatoesID,m/something_in_the_water
http://www.wikidata.org/entity/Q122703295,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q117014906,RottenTomatoesID,m/mean_girls_2024
http://www.wikidata.org/entity/Q116361132,RottenTomatoesID,m/nosferatu_2024
http://www.wikidata.org/entity/Q124285697,RottenTomatoesID,m/american_star
http://www.wikidata.org/entity/Q129652261,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q125858197,RottenTomatoesID,m/gaga_chromatica_ball
http://www.wikidata.org/entity/Q120188885,RottenTomatoesID,m/bird_2024
http://www.wikidata.org/entity/Q124335954,RottenTomatoesID,m/a_travelers_needs
http://www.wikidata.org/entity/Q121091587,RottenTomatoesID,m/the_killers_game
http://www.wikidata.org/entity/Q129255850,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q122964827,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q127869960,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q121076570,RottenTomatoesID,m/paddington_in_peru
http://www.wikidata.org/entity/Q116692764,RottenTomatoesID,m/problemista
http://www.wikidata.org/entity/Q113012523,RottenTomatoesID,m/blink_twice
http://www.wikidata.org/entity/Q125485552,RottenTomatoesID,m/the_pursuit_of_perfection
http://www.wikidata.org/entity/Q125295777,RottenTomatoesID,m/the_wasp
http://www.wikidata.org/entity/Q130616239,RottenTomatoesID,m/mr_crocket
http://www.wikidata.org/entity/Q116141854,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124547601,RottenTomatoesID,m/the_last_showgirl
http://www.wikidata.org/entity/Q130641055,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q115993222,RottenTomatoesID,m/the_zone_of_interest
http://www.wikidata.org/entity/Q125935870,RottenTomatoesID,m/the_great_lillian_hall
http://www.wikidata.org/entity/Q125504091,RottenTomatoesID,m/christmas_eve_in_millers_point
http://www.wikidata.org/entity/Q128694739,RottenTomatoesID,m/the_deb
http://www.wikidata.org/entity/Q129757759,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q112865585,RottenTomatoesID,m/apartment_7a
http://www.wikidata.org/entity/Q130261793,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q127402346,RottenTomatoesID,m/vanished_into_the_night
http://www.wikidata.org/entity/Q116701124,RottenTomatoesID,m/conclave
http://www.wikidata.org/entity/Q123784984,RottenTomatoesID,m/0cec5233-c937-432b-9e43-b26358039555
http://www.wikidata.org/entity/Q117774966,RottenTomatoesID,m/the_feeling_that_the_time_for_doing_something_has_passed
http://www.wikidata.org/entity/Q118414983,RottenTomatoesID,m/squaring_the_circle_the_story_of_hipgnosis
http://www.wikidata.org/entity/Q120986976,RottenTomatoesID,m/imaginary
http://www.wikidata.org/entity/Q131320483,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q116178692,RottenTomatoesID,m/breathe_2024
http://www.wikidata.org/entity/Q28719777,RottenTomatoesID,m/i_claude_monet
http://www.wikidata.org/entity/Q115367024,RottenTomatoesID,m/may_december
http://www.wikidata.org/entity/Q125507012,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q123185886,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q127784078,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q114073140,RottenTomatoesID,m/the_strangers_chapter_1
http://www.wikidata.org/entity/Q61989802,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q104144784,RottenTomatoesID,m/reagan_2024
http://www.wikidata.org/entity/Q124844671,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q123976167,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q125256467,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124416533,RottenTomatoesID,m/no_way_up_2023
http://www.wikidata.org/entity/Q73537958,RottenTomatoesID,m/next_goal_wins_2023
http://www.wikidata.org/entity/Q113371337,RottenTomatoesID,m/venom_the_last_dance
http://www.wikidata.org/entity/Q128307093,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124460441,RottenTomatoesID,m/super_man_the_christopher_reeve_story
http://www.wikidata.org/entity/Q125830099,RottenTomatoesID,m/the_belle_from_gaza
http://www.wikidata.org/entity/Q124847978,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q109228976,RottenTomatoesID,m/butchers_crossing
http://www.wikidata.org/entity/Q125716975,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124098360,RottenTomatoesID,m/the_mouse_trap
http://www.wikidata.org/entity/Q124250971,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q126326956,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q4177246,RottenTomatoesID,m/is_there_anybody_there
http://www.wikidata.org/entity/Q124537941,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q123169098,RottenTomatoesID,m/the_life_of_chuck
http://www.wikidata.org/entity/Q121767976,RottenTomatoesID,m/we_grown_now
http://www.wikidata.org/entity/Q131312961,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124153295,RottenTomatoesID,m/touch_2024
http://www.wikidata.org/entity/Q116771236,RottenTomatoesID,m/the_unlikely_pilgrimage_of_harold_fry
http://www.wikidata.org/entity/Q112114745,RottenTomatoesID,m/the_holdovers
http://www.wikidata.org/entity/Q129456972,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q123861757,RottenTomatoesID,m/babygirl_2024
http://www.wikidata.org/entity/Q118384190,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q126165460,RottenTomatoesID,m/the_blue_angels
http://www.wikidata.org/entity/Q116771180,RottenTomatoesID,m/the_kill_room
http://www.wikidata.org/entity/Q113650759,RottenTomatoesID,m/beverly_hills_cop_axel_f
http://www.wikidata.org/entity/Q114703286,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q125448417,RottenTomatoesID,m/destroy_all_neighbors
http://www.wikidata.org/entity/Q116431968,RottenTomatoesID,m/lift_2024
http://www.wikidata.org/entity/Q113488690,RottenTomatoesID,m/love_lies_bleeding_2024
http://www.wikidata.org/entity/Q111458251,RottenTomatoesID,m/challengers_2024
http://www.wikidata.org/entity/Q130381565,RottenTomatoesID,m/she_taught_love
http://www.wikidata.org/entity/Q125925221,RottenTomatoesID,m/ernest_cole_lost_and_found
http://www.wikidata.org/entity/Q115405596,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q120900212,RottenTomatoesID,m/io_capitano
http://www.wikidata.org/entity/Q112183404,RottenTomatoesID,m/a_quiet_place_day_one
http://www.wikidata.org/entity/Q116246102,RottenTomatoesID,m/eureka_2023
http://www.wikidata.org/entity/Q115860236,RottenTomatoesID,m/the_ministry_of_ungentlemanly_warfare
http://www.wikidata.org/entity/Q124814758,RottenTomatoesID,m/heart_of_the_hunter
http://www.wikidata.org/entity/Q112054671,RottenTomatoesID,m/limonov_the_ballad_of_eddie
http://www.wikidata.org/entity/Q118175825,RottenTomatoesID,m/a_complete_unknown
http://www.wikidata.org/entity/Q117816797,RottenTomatoesID,m/laroy_texas
http://www.wikidata.org/entity/Q129583272,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q116394284,RottenTomatoesID,m/nuclear_now
http://www.wikidata.org/entity/Q116675851,RottenTomatoesID,m/sometimes_i_think_about_dying_2023
http://www.wikidata.org/entity/Q126734843,RottenTomatoesID,m/the_beast_within_2024
http://www.wikidata.org/entity/Q125897105,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q120487741,RottenTomatoesID,m/my_spy_the_eternal_city
http://www.wikidata.org/entity/Q125501249,RottenTomatoesID,m/an_american_bombing_the_road_to_april_19th
http://www.wikidata.org/entity/Q24797403,RottenTomatoesID,m/wicked_2024
http://www.wikidata.org/entity/Q125400788,RottenTomatoesID,m/what_jennifer_did
http://www.wikidata.org/entity/Q116025865,RottenTomatoesID,m/past_lives
http://www.wikidata.org/entity/Q124257357,RottenTomatoesID,m/mea_culpa_2024
http://www.wikidata.org/entity/Q117945866,RottenTomatoesID,m/find_me_falling
http://www.wikidata.org/entity/Q127386034,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q85847274,RottenTomatoesID,m/sound_of_freedom
http://www.wikidata.org/entity/Q123223028,RottenTomatoesID,m/turtles
http://www.wikidata.org/entity/Q124365154,RottenTomatoesID,m/frida_2024
http://www.wikidata.org/entity/Q124848151,RottenTomatoesID,m/the_antisocial_network
http://www.wikidata.org/entity/Q123353613,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124320665,RottenTomatoesID,m/which_brings_me_to_you
http://www.wikidata.org/entity/Q116027468,RottenTomatoesID,m/millers_girl
http://www.wikidata.org/entity/Q116745152,RottenTomatoesID,m/origin_2023
http://www.wikidata.org/entity/Q118309891,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q124255913,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q117425181,RottenTomatoesID,m/we_live_in_time
http://www.wikidata.org/entity/Q115859045,RottenTomatoesID,m/afraid_2024
http://www.wikidata.org/entity/Q131137159,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q131154650,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q127727208,RottenTomatoesID,nan
http://www.wikidata.org/entity/Q123139679,RottenTomatoesID,nan
