attribute,status,count
country,some,64
language,some,115
runtime,some,238
budget,some,49
boxOffice,some,51
basedOn,none,0
IMDbID,some,94
plot,all,297
franchise,none,0
depiction,none,0
wikiPageWikiLink,all,297
primaryTopic,none,0
wasDerivedFrom,all,297
RottenTomatoesID,some,10
genres,some,20
actors,some,235
directors,some,214
distributors,some,110
writer,some,150
producers,some,112
composers,some,134
cinematographers,some,62
filmingLocations,none,0
productionCompanies,some,39
mainSubjects,all,297
series,some,1
