subject,predicate,object
http://www.wikidata.org/entity/Q117130193,boxOffice,nan
http://www.wikidata.org/entity/Q124708001,boxOffice,nan
http://www.wikidata.org/entity/Q127763750,boxOffice,nan
http://www.wikidata.org/entity/Q123758925,boxOffice,nan
http://www.wikidata.org/entity/Q123783550,boxOffice,nan
http://www.wikidata.org/entity/Q111941144,boxOffice,nan
http://www.wikidata.org/entity/Q122203155,boxOffice,nan
http://www.wikidata.org/entity/Q123259395,boxOffice,nan
http://www.wikidata.org/entity/Q124370507,boxOffice,nan
http://www.wikidata.org/entity/Q117287129,boxOffice,nan
http://www.wikidata.org/entity/Q127628439,boxOffice,nan
http://www.wikidata.org/entity/Q124246343,boxOffice,nan
http://www.wikidata.org/entity/Q122723743,boxOffice,nan
http://www.wikidata.org/entity/Q112054623,boxOffice,nan
http://www.wikidata.org/entity/Q130477367,boxOffice,nan
http://www.wikidata.org/entity/Q125693182,boxOffice,nan
http://www.wikidata.org/entity/Q122703295,boxOffice,nan
http://www.wikidata.org/entity/Q117014906,boxOffice,nan
http://www.wikidata.org/entity/Q116361132,boxOffice,nan
http://www.wikidata.org/entity/Q124285697,boxOffice,nan
http://www.wikidata.org/entity/Q129652261,boxOffice,nan
http://www.wikidata.org/entity/Q125858197,boxOffice,nan
http://www.wikidata.org/entity/Q120188885,boxOffice,nan
http://www.wikidata.org/entity/Q124335954,boxOffice,nan
http://www.wikidata.org/entity/Q121091587,boxOffice,nan
http://www.wikidata.org/entity/Q129255850,boxOffice,nan
http://www.wikidata.org/entity/Q122964827,boxOffice,nan
http://www.wikidata.org/entity/Q127869960,boxOffice,nan
http://www.wikidata.org/entity/Q121076570,boxOffice,nan
http://www.wikidata.org/entity/Q116692764,boxOffice,nan
http://www.wikidata.org/entity/Q113012523,boxOffice,nan
http://www.wikidata.org/entity/Q125485552,boxOffice,nan
http://www.wikidata.org/entity/Q125295777,boxOffice,nan
http://www.wikidata.org/entity/Q130616239,boxOffice,nan
http://www.wikidata.org/entity/Q116141854,boxOffice,nan
http://www.wikidata.org/entity/Q124547601,boxOffice,nan
http://www.wikidata.org/entity/Q130641055,boxOffice,nan
http://www.wikidata.org/entity/Q115993222,boxOffice,nan
http://www.wikidata.org/entity/Q125935870,boxOffice,nan
http://www.wikidata.org/entity/Q125504091,boxOffice,nan
http://www.wikidata.org/entity/Q128694739,boxOffice,nan
http://www.wikidata.org/entity/Q129757759,boxOffice,nan
http://www.wikidata.org/entity/Q112865585,boxOffice,nan
http://www.wikidata.org/entity/Q130261793,boxOffice,nan
http://www.wikidata.org/entity/Q127402346,boxOffice,nan
http://www.wikidata.org/entity/Q116701124,boxOffice,nan
http://www.wikidata.org/entity/Q123784984,boxOffice,nan
http://www.wikidata.org/entity/Q117774966,boxOffice,nan
http://www.wikidata.org/entity/Q118414983,boxOffice,nan
http://www.wikidata.org/entity/Q120986976,boxOffice,nan
http://www.wikidata.org/entity/Q131320483,boxOffice,nan
http://www.wikidata.org/entity/Q116178692,boxOffice,nan
http://www.wikidata.org/entity/Q28719777,boxOffice,nan
http://www.wikidata.org/entity/Q115367024,boxOffice,nan
http://www.wikidata.org/entity/Q125507012,boxOffice,nan
http://www.wikidata.org/entity/Q123185886,boxOffice,nan
http://www.wikidata.org/entity/Q127784078,boxOffice,nan
http://www.wikidata.org/entity/Q114073140,boxOffice,nan
http://www.wikidata.org/entity/Q61989802,boxOffice,nan
http://www.wikidata.org/entity/Q104144784,boxOffice,nan
http://www.wikidata.org/entity/Q124844671,boxOffice,nan
http://www.wikidata.org/entity/Q123976167,boxOffice,nan
http://www.wikidata.org/entity/Q125256467,boxOffice,nan
http://www.wikidata.org/entity/Q124416533,boxOffice,nan
http://www.wikidata.org/entity/Q73537958,boxOffice,nan
http://www.wikidata.org/entity/Q113371337,boxOffice,nan
http://www.wikidata.org/entity/Q128307093,boxOffice,nan
http://www.wikidata.org/entity/Q124460441,boxOffice,nan
http://www.wikidata.org/entity/Q125830099,boxOffice,nan
http://www.wikidata.org/entity/Q124847978,boxOffice,nan
http://www.wikidata.org/entity/Q109228976,boxOffice,nan
http://www.wikidata.org/entity/Q125716975,boxOffice,nan
http://www.wikidata.org/entity/Q124098360,boxOffice,nan
http://www.wikidata.org/entity/Q124250971,boxOffice,nan
http://www.wikidata.org/entity/Q126326956,boxOffice,nan
http://www.wikidata.org/entity/Q4177246,boxOffice,nan
http://www.wikidata.org/entity/Q124537941,boxOffice,nan
http://www.wikidata.org/entity/Q123169098,boxOffice,nan
http://www.wikidata.org/entity/Q121767976,boxOffice,nan
http://www.wikidata.org/entity/Q131312961,boxOffice,nan
http://www.wikidata.org/entity/Q124153295,boxOffice,nan
http://www.wikidata.org/entity/Q116771236,boxOffice,nan
http://www.wikidata.org/entity/Q112114745,boxOffice,nan
http://www.wikidata.org/entity/Q129456972,boxOffice,nan
http://www.wikidata.org/entity/Q123861757,boxOffice,nan
http://www.wikidata.org/entity/Q118384190,boxOffice,nan
http://www.wikidata.org/entity/Q126165460,boxOffice,2500000.0
http://www.wikidata.org/entity/Q116771180,boxOffice,nan
http://www.wikidata.org/entity/Q113650759,boxOffice,nan
http://www.wikidata.org/entity/Q114703286,boxOffice,nan
http://www.wikidata.org/entity/Q125448417,boxOffice,nan
http://www.wikidata.org/entity/Q116431968,boxOffice,nan
http://www.wikidata.org/entity/Q113488690,boxOffice,nan
http://www.wikidata.org/entity/Q111458251,boxOffice,nan
http://www.wikidata.org/entity/Q130381565,boxOffice,nan
http://www.wikidata.org/entity/Q125925221,boxOffice,nan
http://www.wikidata.org/entity/Q115405596,boxOffice,nan
http://www.wikidata.org/entity/Q120900212,boxOffice,nan
http://www.wikidata.org/entity/Q112183404,boxOffice,nan
http://www.wikidata.org/entity/Q116246102,boxOffice,nan
http://www.wikidata.org/entity/Q115860236,boxOffice,nan
http://www.wikidata.org/entity/Q124814758,boxOffice,nan
http://www.wikidata.org/entity/Q112054671,boxOffice,nan
http://www.wikidata.org/entity/Q118175825,boxOffice,nan
http://www.wikidata.org/entity/Q117816797,boxOffice,nan
http://www.wikidata.org/entity/Q129583272,boxOffice,nan
http://www.wikidata.org/entity/Q116394284,boxOffice,nan
http://www.wikidata.org/entity/Q116675851,boxOffice,nan
http://www.wikidata.org/entity/Q126734843,boxOffice,nan
http://www.wikidata.org/entity/Q125897105,boxOffice,nan
http://www.wikidata.org/entity/Q120487741,boxOffice,nan
http://www.wikidata.org/entity/Q125501249,boxOffice,nan
http://www.wikidata.org/entity/Q24797403,boxOffice,194900000.0
http://www.wikidata.org/entity/Q125400788,boxOffice,nan
http://www.wikidata.org/entity/Q116025865,boxOffice,nan
http://www.wikidata.org/entity/Q124257357,boxOffice,nan
http://www.wikidata.org/entity/Q117945866,boxOffice,nan
http://www.wikidata.org/entity/Q127386034,boxOffice,nan
http://www.wikidata.org/entity/Q85847274,boxOffice,231000000.0
http://www.wikidata.org/entity/Q123223028,boxOffice,nan
http://www.wikidata.org/entity/Q124365154,boxOffice,nan
http://www.wikidata.org/entity/Q124848151,boxOffice,nan
http://www.wikidata.org/entity/Q123353613,boxOffice,nan
http://www.wikidata.org/entity/Q124320665,boxOffice,nan
http://www.wikidata.org/entity/Q116027468,boxOffice,nan
http://www.wikidata.org/entity/Q116745152,boxOffice,nan
http://www.wikidata.org/entity/Q118309891,boxOffice,nan
http://www.wikidata.org/entity/Q124255913,boxOffice,nan
http://www.wikidata.org/entity/Q117425181,boxOffice,nan
http://www.wikidata.org/entity/Q115859045,boxOffice,nan
http://www.wikidata.org/entity/Q131137159,boxOffice,nan
http://www.wikidata.org/entity/Q131154650,boxOffice,nan
http://www.wikidata.org/entity/Q127727208,boxOffice,nan
http://www.wikidata.org/entity/Q123139679,boxOffice,nan
http://www.wikidata.org/entity/Q113677881,boxOffice,nan
http://www.wikidata.org/entity/Q105952623,boxOffice,nan
http://www.wikidata.org/entity/Q115478286,boxOffice,nan
http://www.wikidata.org/entity/Q112683565,boxOffice,nan
http://www.wikidata.org/entity/Q128796709,boxOffice,nan
http://www.wikidata.org/entity/Q124337178,boxOffice,nan
http://www.wikidata.org/entity/Q107299023,boxOffice,nan
http://www.wikidata.org/entity/Q101245261,boxOffice,nan
http://www.wikidata.org/entity/Q124847512,boxOffice,nan
http://www.wikidata.org/entity/Q124850164,boxOffice,nan
http://www.wikidata.org/entity/Q112054990,boxOffice,nan
http://www.wikidata.org/entity/Q129836719,boxOffice,nan
http://www.wikidata.org/entity/Q124968969,boxOffice,nan
http://www.wikidata.org/entity/Q123582987,boxOffice,nan
http://www.wikidata.org/entity/Q125814469,boxOffice,nan
http://www.wikidata.org/entity/Q124610204,boxOffice,nan
http://www.wikidata.org/entity/Q116678683,boxOffice,nan
http://www.wikidata.org/entity/Q125473287,boxOffice,nan
http://www.wikidata.org/entity/Q124736440,boxOffice,nan
http://www.wikidata.org/entity/Q129675920,boxOffice,nan
http://www.wikidata.org/entity/Q119882908,boxOffice,nan
http://www.wikidata.org/entity/Q125968859,boxOffice,nan
http://www.wikidata.org/entity/Q101093410,boxOffice,nan
http://www.wikidata.org/entity/Q117769481,boxOffice,nan
http://www.wikidata.org/entity/Q124152247,boxOffice,nan
http://www.wikidata.org/entity/Q124841933,boxOffice,nan
http://www.wikidata.org/entity/Q125948108,boxOffice,nan
http://www.wikidata.org/entity/Q113380226,boxOffice,nan
http://www.wikidata.org/entity/Q124850759,boxOffice,nan
http://www.wikidata.org/entity/Q124642832,boxOffice,nan
http://www.wikidata.org/entity/Q124077893,boxOffice,nan
http://www.wikidata.org/entity/Q113212962,boxOffice,nan
http://www.wikidata.org/entity/Q114314695,boxOffice,nan
http://www.wikidata.org/entity/Q126184078,boxOffice,nan
http://www.wikidata.org/entity/Q100361125,boxOffice,nan
http://www.wikidata.org/entity/Q126184471,boxOffice,nan
http://www.wikidata.org/entity/Q115474889,boxOffice,nan
http://www.wikidata.org/entity/Q123944616,boxOffice,nan
http://www.wikidata.org/entity/Q117037697,boxOffice,nan
http://www.wikidata.org/entity/Q115175910,boxOffice,nan
http://www.wikidata.org/entity/Q123690382,boxOffice,nan
http://www.wikidata.org/entity/Q119718080,boxOffice,nan
http://www.wikidata.org/entity/Q121482803,boxOffice,nan
http://www.wikidata.org/entity/Q124843645,boxOffice,nan
http://www.wikidata.org/entity/Q116470610,boxOffice,108900000.0
http://www.wikidata.org/entity/Q130298069,boxOffice,nan
http://www.wikidata.org/entity/Q123345219,boxOffice,nan
http://www.wikidata.org/entity/Q124249583,boxOffice,nan
http://www.wikidata.org/entity/Q113572020,boxOffice,nan
http://www.wikidata.org/entity/Q130164694,boxOffice,nan
http://www.wikidata.org/entity/Q120001910,boxOffice,nan
http://www.wikidata.org/entity/Q123185887,boxOffice,nan
http://www.wikidata.org/entity/Q130304875,boxOffice,nan
http://www.wikidata.org/entity/Q118214971,boxOffice,nan
http://www.wikidata.org/entity/Q124844804,boxOffice,nan
http://www.wikidata.org/entity/Q124844877,boxOffice,nan
http://www.wikidata.org/entity/Q130392693,boxOffice,nan
http://www.wikidata.org/entity/Q73792046,boxOffice,nan
http://www.wikidata.org/entity/Q124844963,boxOffice,nan
http://www.wikidata.org/entity/Q124845026,boxOffice,nan
http://www.wikidata.org/entity/Q115577183,boxOffice,nan
http://www.wikidata.org/entity/Q116470707,boxOffice,nan
http://www.wikidata.org/entity/Q125213955,boxOffice,nan
http://www.wikidata.org/entity/Q115932556,boxOffice,nan
http://www.wikidata.org/entity/Q124845098,boxOffice,nan
http://www.wikidata.org/entity/Q117272474,boxOffice,nan
http://www.wikidata.org/entity/Q118323603,boxOffice,nan
http://www.wikidata.org/entity/Q125448412,boxOffice,nan
http://www.wikidata.org/entity/Q124214428,boxOffice,nan
http://www.wikidata.org/entity/Q123701240,boxOffice,nan
http://www.wikidata.org/entity/Q122888679,boxOffice,nan
http://www.wikidata.org/entity/Q129255501,boxOffice,nan
http://www.wikidata.org/entity/Q116638627,boxOffice,nan
http://www.wikidata.org/entity/Q124151798,boxOffice,nan
http://www.wikidata.org/entity/Q121572304,boxOffice,nan
http://www.wikidata.org/entity/Q130297667,boxOffice,nan
http://www.wikidata.org/entity/Q113300899,boxOffice,nan
http://www.wikidata.org/entity/Q123784770,boxOffice,nan
http://www.wikidata.org/entity/Q102180106,boxOffice,1338071348.0
http://www.wikidata.org/entity/Q127688495,boxOffice,nan
