movie_uri,movie,releaseDate,country,language,runtime,budget,boxOffice,basedOn,IMDbID,plot,franchise,depiction,wikiPageWikiLink,primaryTopic,wasDerivedFrom,RottenTomatoesID,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,writer,writer_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs,series,series_URIs
http://dbpedia.org/resource/Power_Rangers_Time_Force,Power Rangers Time Force,1940-01-15,N/A,N/A,1200.0,N/A,N/A,N/A,N/A,"Power Rangers Time Force is an American television series and the ninth season of the Power Rangers franchise, based on the 24th Super Sentai series Mirai Sentai Timeranger, running for 40 half-hour episodes from February to November 2001. It was the last season to be distributed by Saban Entertainment. Originally, a Time Force film was planned, but ultimately went unproduced in light of the commercial failure of Turbo: A Power Rangers Movie and the purchase of the franchise by Disney. However, Buena Vista Home Entertainment did release the series' final four episodes as a film-length home video in 2002 entitled The End of Time. A video game based on the series was released in November 2001 for PlayStation, Game Boy Color, and Game Boy Advance.",N/A,N/A,"http://dbpedia.org/resource/Toei_Company,_Ltd.",N/A,http://en.wikipedia.org/wiki/Power_Rangers_Time_Force?oldid=1124781730&ns=0,N/A,Action (genre); Science fiction; Superhero fiction,http://dbpedia.org/resource/Action_(genre); http://dbpedia.org/resource/Science_fiction; http://dbpedia.org/resource/Superhero_fiction,Edward Albert; Erin Cahill; Jason Faunt; Michael Copon; Vernon Wells (actor),http://dbpedia.org/resource/Edward_Albert; http://dbpedia.org/resource/Erin_Cahill; http://dbpedia.org/resource/Jason_Faunt; http://dbpedia.org/resource/Michael_Copon; http://dbpedia.org/resource/Vernon_Wells_(actor),Isaac Florentine; Jonathan Tzachor; Judd Lynn; Kaizo Hayashi; Koichi Sakamoto,http://dbpedia.org/resource/Isaac_Florentine; http://dbpedia.org/resource/Jonathan_Tzachor; http://dbpedia.org/resource/Judd_Lynn; http://dbpedia.org/resource/Kaizo_Hayashi; http://dbpedia.org/resource/Koichi_Sakamoto,Saban Entertainment,http://dbpedia.org/resource/Saban_Entertainment,N/A,N/A,Jonathan Tzachor,http://dbpedia.org/resource/Jonathan_Tzachor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2000s American science fiction television series; 2000s American time travel television series; 2001 American television series debuts; 2001 American television series endings; American children's action television series; American children's adventure television series; American children's fantasy television series; American time travel television series; English-language television shows; Fox Broadcasting Company original programming; Fox Kids; Power Rangers Time Force; Power Rangers series; Science fantasy television series; Television series about size change; Television series by Saban Entertainment; Television series created by Haim Saban; Television series set in the future; Television shows adapted into video games; Television shows filmed in Los Angeles; Television shows filmed in Santa Clarita, California","http://dbpedia.org/resource/Category:2000s_American_science_fiction_television_series; http://dbpedia.org/resource/Category:2000s_American_time_travel_television_series; http://dbpedia.org/resource/Category:2001_American_television_series_debuts; http://dbpedia.org/resource/Category:2001_American_television_series_endings; http://dbpedia.org/resource/Category:American_children's_action_television_series; http://dbpedia.org/resource/Category:American_children's_adventure_television_series; http://dbpedia.org/resource/Category:American_children's_fantasy_television_series; http://dbpedia.org/resource/Category:American_time_travel_television_series; http://dbpedia.org/resource/Category:English-language_television_shows; http://dbpedia.org/resource/Category:Fox_Broadcasting_Company_original_programming; http://dbpedia.org/resource/Category:Fox_Kids; http://dbpedia.org/resource/Category:Power_Rangers_Time_Force; http://dbpedia.org/resource/Category:Power_Rangers_series; http://dbpedia.org/resource/Category:Science_fantasy_television_series; http://dbpedia.org/resource/Category:Television_series_about_size_change; http://dbpedia.org/resource/Category:Television_series_by_Saban_Entertainment; http://dbpedia.org/resource/Category:Television_series_created_by_Haim_Saban; http://dbpedia.org/resource/Category:Television_series_set_in_the_future; http://dbpedia.org/resource/Category:Television_shows_adapted_into_video_games; http://dbpedia.org/resource/Category:Television_shows_filmed_in_Los_Angeles; http://dbpedia.org/resource/Category:Television_shows_filmed_in_Santa_Clarita,_California",N/A,N/A
http://dbpedia.org/resource/Enlarged_to_Show_Detail,Enlarged to Show Detail,2013-09-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Enlarged to Show Detail is a 1996 documentary created by the multi-genred band 311. The set contains a documentary (first released on VHS in 1996 and in 2001 on DVD) and a bonus CD EP. This was the first video documenting their experiences as a band promoting peace and a positive outlook on life. It features backstage footage, clips of music videos and live concert footage. Enlarged to Show Detail was certified as a Platinum selling video by the RIAA.",N/A,N/A,http://dbpedia.org/resource/Video,N/A,http://en.wikipedia.org/wiki/Enlarged_to_Show_Detail?oldid=990065798&ns=0,N/A,N/A,N/A,311 (band),http://dbpedia.org/resource/311_(band),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,311 (band),http://dbpedia.org/resource/311_(band),N/A,N/A,N/A,N/A,N/A,N/A,1996 EPs; 1996 video albums; 311 video albums; Documentary films about music and musicians,http://dbpedia.org/resource/Category:1996_EPs; http://dbpedia.org/resource/Category:1996_video_albums; http://dbpedia.org/resource/Category:311_video_albums; http://dbpedia.org/resource/Category:Documentary_films_about_music_and_musicians,N/A,N/A
http://dbpedia.org/resource/Vakkalathu_Narayanankutty,Vakkalathu Narayanankutty,1922-06-12,N/A,http://dbpedia.org/resource/Malayalam,N/A,N/A,N/A,N/A,N/A,"Vakkalathu Narayanankutty (transl. Narayanankutty on prosecution) is a 2001 Indian Malayalam-language legal comedy-drama film co-written and directed by T. K. Rajeev Kumar, starring Jayaram, Mukesh, Manya and Jagathy Sreekumar. It was actor Bobby Kottarakkara's last film. It was during the shooting of this film that Bobby Kottarakkara died, leaving the team to continue the shooting without him. The film had an average performance at the box office.",N/A,N/A,http://dbpedia.org/resource/K.B._Ganesh_Kumar,N/A,http://en.wikipedia.org/wiki/Vakkalathu_Narayanankutty?oldid=1107594270&ns=0,N/A,N/A,N/A,Bobby Kottarakkara; Jagathy Sreekumar; Jayaram; Manya (actress); Mukesh (actor),http://dbpedia.org/resource/Bobby_Kottarakkara; http://dbpedia.org/resource/Jagathy_Sreekumar; http://dbpedia.org/resource/Jayaram; http://dbpedia.org/resource/Manya_(actress); http://dbpedia.org/resource/Mukesh_(actor),T. K. Rajeev Kumar,http://dbpedia.org/resource/T._K._Rajeev_Kumar,N/A,N/A,T. K. Rajeev Kumar,http://dbpedia.org/resource/T._K._Rajeev_Kumar,B. Rakesh,http://dbpedia.org/resource/B._Rakesh,Mohan Sithara; Sharreth,http://dbpedia.org/resource/Mohan_Sithara; http://dbpedia.org/resource/Sharreth,Ravi Varman,http://dbpedia.org/resource/Ravi_Varman,N/A,N/A,N/A,N/A,2000s Malayalam-language films; Films scored by Mohan Sithara,http://dbpedia.org/resource/Category:2000s_Malayalam-language_films; http://dbpedia.org/resource/Category:Films_scored_by_Mohan_Sithara,N/A,N/A
http://dbpedia.org/resource/Daddy_and_Them,Daddy and Them,2005-07-09,N/A,http://dbpedia.org/resource/English_language,6060.0,4000000.0,N/A,N/A,N/A,"Daddy and Them is a 2001 American comedy-drama film written, directed by, and starring Billy Bob Thornton. In addition to Thornton, it stars John Prine, Laura Dern, Andy Griffith, Ben Affleck, Kelly Preston, Diane Ladd, Brenda Blethyn, Tuesday Knight, Jamie Lee Curtis, and Jim Varney in his final film appearance before his death in February 2000. Daddy and Them was filmed in 1998 in the wake of Thornton’s success with Sling Blade and was originally planned as a theatrical release. The release was ultimately delayed by Miramax, who found the film not ""commercial"" enough. The film debuted at the Newport International Film Festival on June 6, 2001. Miramax eventually aired the film on Showtime in January 2003 and released it on DVD on January 13, 2004.",N/A,N/A,http://dbpedia.org/resource/Miramax_Films,N/A,http://en.wikipedia.org/wiki/Daddy_and_Them?oldid=1118826141&ns=0,N/A,N/A,N/A,Andy Griffith; Ben Affleck; Billy Bob Thornton; Brenda Blethyn; Diane Ladd; Jamie Lee Curtis; Jim Varney; John Prine; Kelly Preston; Laura Dern; Tuesday Knight,http://dbpedia.org/resource/Andy_Griffith; http://dbpedia.org/resource/Ben_Affleck; http://dbpedia.org/resource/Billy_Bob_Thornton; http://dbpedia.org/resource/Brenda_Blethyn; http://dbpedia.org/resource/Diane_Ladd; http://dbpedia.org/resource/Jamie_Lee_Curtis; http://dbpedia.org/resource/Jim_Varney; http://dbpedia.org/resource/John_Prine; http://dbpedia.org/resource/Kelly_Preston; http://dbpedia.org/resource/Laura_Dern; http://dbpedia.org/resource/Tuesday_Knight,Billy Bob Thornton,http://dbpedia.org/resource/Billy_Bob_Thornton,Miramax Films,http://dbpedia.org/resource/Miramax_Films,Billy Bob Thornton,http://dbpedia.org/resource/Billy_Bob_Thornton,Larry Meistrich,http://dbpedia.org/resource/Larry_Meistrich,Marty Stuart,http://dbpedia.org/resource/Marty_Stuart,N/A,N/A,N/A,N/A,N/A,N/A,2000s American films; 2000s English-language films; 2001 comedy-drama films; 2001 films; 2001 independent films; American comedy-drama films; Films about dysfunctional families; Films directed by Billy Bob Thornton; Films set in Arkansas; Films shot in Arkansas; Miramax films,http://dbpedia.org/resource/Category:2000s_American_films; http://dbpedia.org/resource/Category:2000s_English-language_films; http://dbpedia.org/resource/Category:2001_comedy-drama_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:2001_independent_films; http://dbpedia.org/resource/Category:American_comedy-drama_films; http://dbpedia.org/resource/Category:Films_about_dysfunctional_families; http://dbpedia.org/resource/Category:Films_directed_by_Billy_Bob_Thornton; http://dbpedia.org/resource/Category:Films_set_in_Arkansas; http://dbpedia.org/resource/Category:Films_shot_in_Arkansas; http://dbpedia.org/resource/Category:Miramax_films,N/A,N/A
http://dbpedia.org/resource/Der_Schuh_des_Manitu,Der Schuh des Manitu,1964-04-08,N/A,http://dbpedia.org/resource/German_language,5280.0,4500000.0,7.55E7,N/A,N/A,"Der Schuh des Manitu (eng.: The Shoe of Manitou) is a 2001 German Western parody film. Directed by Michael Herbig, it is a film adaptation of the Winnetou sketches from his ProSieben television show Bullyparade. With earnings of about 65 million Euro ($70 million) and 11.7 million visitors in cinemas, it is one of the most successful German movies after the Second World War.",N/A,N/A,http://dbpedia.org/resource/Tim_Wilde,N/A,http://en.wikipedia.org/wiki/Der_Schuh_des_Manitu?oldid=1124513606&ns=0,N/A,N/A,N/A,Christian Tramitz; Hilmi Sözer; Marie Bäumer; Michael Herbig; Rick Kavanian; Sky du Mont,http://dbpedia.org/resource/Christian_Tramitz; http://dbpedia.org/resource/Hilmi_Sözer; http://dbpedia.org/resource/Marie_Bäumer; http://dbpedia.org/resource/Michael_Herbig; http://dbpedia.org/resource/Rick_Kavanian; http://dbpedia.org/resource/Sky_du_Mont,Michael Herbig,http://dbpedia.org/resource/Michael_Herbig,Constantin Film,http://dbpedia.org/resource/Constantin_Film,Michael Herbig,http://dbpedia.org/resource/Michael_Herbig,Michael Herbig,http://dbpedia.org/resource/Michael_Herbig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2000s German films; 2000s German-language films; 2000s Western (genre) comedy films; 2000s parody films; 2001 comedy films; 2001 films; Films about twin brothers; Films based on television series; Films shot in Almería; Foreign films set in the United States; German Western (genre) comedy films; German parody films; Winnetou films,http://dbpedia.org/resource/Category:2000s_German-language_films; http://dbpedia.org/resource/Category:2000s_German_films; http://dbpedia.org/resource/Category:2000s_Western_(genre)_comedy_films; http://dbpedia.org/resource/Category:2000s_parody_films; http://dbpedia.org/resource/Category:2001_comedy_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:Films_about_twin_brothers; http://dbpedia.org/resource/Category:Films_based_on_television_series; http://dbpedia.org/resource/Category:Films_shot_in_Almería; http://dbpedia.org/resource/Category:Foreign_films_set_in_the_United_States; http://dbpedia.org/resource/Category:German_Western_(genre)_comedy_films; http://dbpedia.org/resource/Category:German_parody_films; http://dbpedia.org/resource/Category:Winnetou_films,N/A,N/A
"http://dbpedia.org/resource/Christy,_Choices_of_the_Heart","Christy, Choices of the Heart",1954-11-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Christy, Choices of the Heart is a 2001 American two-part television miniseries starring Lauren Lee Smith, Stewart Finlay-McLennan, James Waterston, Diane Ladd, Dale Dickey, Andy Stahl, and Bruce McKinnon. Individually, the first part is known as Christy: A Change of Seasons and the second part is known as Christy: A New Beginning. The miniseries was developed for television by executive producer Tom Blomquist, and aired on the Pax TV on May 13–14, 2001. The storyline was an adaptation of a section of the Christy novel that was not presented in the original CBS television series – the typhoid epidemic that took the life of a popular character, Fairlight Spencer.",N/A,N/A,http://dbpedia.org/resource/Andy_Stahl,N/A,"http://en.wikipedia.org/wiki/Christy,_Choices_of_the_Heart?oldid=1101686106&ns=0",N/A,N/A,N/A,Diane Ladd; Emily Perkins; James Waterston; Lauren Lee Smith; Stewart Finlay-McLennan,http://dbpedia.org/resource/Diane_Ladd; http://dbpedia.org/resource/Emily_Perkins; http://dbpedia.org/resource/James_Waterston; http://dbpedia.org/resource/Lauren_Lee_Smith; http://dbpedia.org/resource/Stewart_Finlay-McLennan,Don McBrearty; George Kaczender,http://dbpedia.org/resource/Don_McBrearty; http://dbpedia.org/resource/George_Kaczender,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2000s English-language films; 2001 films; 2001 television films; Christy (novel); Films about Christianity; Films directed by George Kaczender; Films shot in North Carolina; Films shot in Vancouver,http://dbpedia.org/resource/Category:2000s_English-language_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:2001_television_films; http://dbpedia.org/resource/Category:Christy_(novel); http://dbpedia.org/resource/Category:Films_about_Christianity; http://dbpedia.org/resource/Category:Films_directed_by_George_Kaczender; http://dbpedia.org/resource/Category:Films_shot_in_North_Carolina; http://dbpedia.org/resource/Category:Films_shot_in_Vancouver,N/A,N/A
http://dbpedia.org/resource/Nageswari,Nageswari,1954-11-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nageswari is a 2001 Tamil-language devotional film written and directed by Rama Narayanan. The film featured Ramya Krishnan in the title role alongside Karan and Vadivelu, while Vivek plays a supporting role. The film, which had music composed by S. A. Rajkumar, released in January 2001.",N/A,N/A,http://dbpedia.org/resource/Sri_Thenandal_Films,N/A,http://en.wikipedia.org/wiki/Nageswari?oldid=1117375870&ns=0,N/A,N/A,N/A,N/A,N/A,Rama Narayanan,http://dbpedia.org/resource/Rama_Narayanan,N/A,N/A,N/A,N/A,N/A,N/A,S. A. Rajkumar,http://dbpedia.org/resource/S._A._Rajkumar,N. K. Viswanathan,http://dbpedia.org/resource/N._K._Viswanathan,N/A,N/A,Sri Thenandal Films,http://dbpedia.org/resource/Sri_Thenandal_Films,2000s Tamil-language films; 2001 films; Films about shapeshifting; Films about snakes; Films directed by Rama Narayanan; Hindu devotional films,http://dbpedia.org/resource/Category:2000s_Tamil-language_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:Films_about_shapeshifting; http://dbpedia.org/resource/Category:Films_about_snakes; http://dbpedia.org/resource/Category:Films_directed_by_Rama_Narayanan; http://dbpedia.org/resource/Category:Hindu_devotional_films,N/A,N/A
http://dbpedia.org/resource/The_Lost_Battalion_(2001_film),The Lost Battalion (2001 film),1983-05-05,N/A,http://dbpedia.org/resource/German_Empire,5520.0,N/A,N/A,N/A,0287535,"The Lost Battalion is a true 2001 made-for-television war drama film about the Lost Battalion of World War I, which was cut off and surrounded by German forces in the Argonne Forest during the Meuse-Argonne Offensive of 1918. The film was directed by Russell Mulcahy, written by James Carabatsos, and starred Rick Schroder as Major Charles Whittlesey. The film was shot in Luxembourg. It is an A&E Original Movie, premiering on the network in 2001. It is also played on A&E's sister networks such as The History Channel. It was released on home video in January 2002.",N/A,N/A,http://dbpedia.org/resource/Robert_Alexander_(US_Army_officer),N/A,http://en.wikipedia.org/wiki/The_Lost_Battalion_(2001_film)?oldid=1109541218&ns=0,N/A,N/A,N/A,Michael Brandon; Rick Schroder,http://dbpedia.org/resource/Michael_Brandon; http://dbpedia.org/resource/Rick_Schroder,Russell Mulcahy,http://dbpedia.org/resource/Russell_Mulcahy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2000s American films; 2000s English-language films; 2000s war drama films; 2001 drama films; 2001 films; 2001 television films; A&E (TV network) original films; American drama television films; American war drama films; Cultural depictions of Charles W. Whittlesey; Drama films based on actual events; Films about the United States Army; Films directed by Russell Mulcahy; Films shot in Luxembourg; Television films based on actual events; Western Front (World War I) films; World War I films based on actual events; World War I television films,http://dbpedia.org/resource/Category:2000s_American_films; http://dbpedia.org/resource/Category:2000s_English-language_films; http://dbpedia.org/resource/Category:2000s_war_drama_films; http://dbpedia.org/resource/Category:2001_drama_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:2001_television_films; http://dbpedia.org/resource/Category:A&E_(TV_network)_original_films; http://dbpedia.org/resource/Category:American_drama_television_films; http://dbpedia.org/resource/Category:American_war_drama_films; http://dbpedia.org/resource/Category:Cultural_depictions_of_Charles_W._Whittlesey; http://dbpedia.org/resource/Category:Drama_films_based_on_actual_events; http://dbpedia.org/resource/Category:Films_about_the_United_States_Army; http://dbpedia.org/resource/Category:Films_directed_by_Russell_Mulcahy; http://dbpedia.org/resource/Category:Films_shot_in_Luxembourg; http://dbpedia.org/resource/Category:Television_films_based_on_actual_events; http://dbpedia.org/resource/Category:Western_Front_(World_War_I)_films; http://dbpedia.org/resource/Category:World_War_I_films_based_on_actual_events; http://dbpedia.org/resource/Category:World_War_I_television_films,N/A,N/A
http://dbpedia.org/resource/Friends_(2001_film),Friends (2001 film),1932-11-04,N/A,http://dbpedia.org/resource/Tamil_language,10020.0,N/A,N/A,N/A,N/A,"Friends is a 2001 Indian Tamil-language drama film, directed by Siddique in his Tamil debut and produced by Appachan. It is the Tamil remake of Siddique's own 1999 Malayalam film of the same name. The film stars Vijay, Suriya and Ramesh Khanna as the friends, while Devayani, Vijayalakshmi, Abhinayashree, Sriman, Vadivelu, Charle, and Radha Ravi play supporting roles. The music was composed by Ilaiyaraaja, while Anandakuttan handled cinematography. Friends released on 14 January 2001. It received positive reviews and became a commercial success. This film also marks the second collaboration of Vijay and Suriya after Nerrukku Ner (1997).",N/A,N/A,http://dbpedia.org/resource/Shanti_Williams,N/A,http://en.wikipedia.org/wiki/Friends_(2001_film)?oldid=1124170127&ns=0,N/A,N/A,N/A,Devayani (actress); Ramesh Khanna; Suriya; Vadivelu; Vijay (actor); Vijayalakshmi (Kannada actress),http://dbpedia.org/resource/Devayani_(actress); http://dbpedia.org/resource/Ramesh_Khanna; http://dbpedia.org/resource/Suriya; http://dbpedia.org/resource/Vadivelu; http://dbpedia.org/resource/Vijay_(actor); http://dbpedia.org/resource/Vijayalakshmi_(Kannada_actress),Siddique (director),http://dbpedia.org/resource/Siddique_(director),N/A,N/A,Siddique (director),http://dbpedia.org/resource/Siddique_(director),Swargachitra Appachan,http://dbpedia.org/resource/Swargachitra_Appachan,Ilaiyaraaja,http://dbpedia.org/resource/Ilaiyaraaja,N/A,N/A,N/A,N/A,N/A,N/A,2000s Tamil-language films; 2001 drama films; 2001 films; Films directed by Siddique; Films scored by Ilaiyaraaja; Films set in country houses; Films shot in Chennai; Films shot in Coimbatore; Films shot in New Zealand; Films shot in Ooty; Films shot in Palani; Films shot in Pollachi; Indian Army in films; Indian buddy films; Indian drama films; Super Good Films films; Tamil remakes of Malayalam films,http://dbpedia.org/resource/Category:2000s_Tamil-language_films; http://dbpedia.org/resource/Category:2001_drama_films; http://dbpedia.org/resource/Category:2001_films; http://dbpedia.org/resource/Category:Films_directed_by_Siddique; http://dbpedia.org/resource/Category:Films_scored_by_Ilaiyaraaja; http://dbpedia.org/resource/Category:Films_set_in_country_houses; http://dbpedia.org/resource/Category:Films_shot_in_Chennai; http://dbpedia.org/resource/Category:Films_shot_in_Coimbatore; http://dbpedia.org/resource/Category:Films_shot_in_New_Zealand; http://dbpedia.org/resource/Category:Films_shot_in_Ooty; http://dbpedia.org/resource/Category:Films_shot_in_Palani; http://dbpedia.org/resource/Category:Films_shot_in_Pollachi; http://dbpedia.org/resource/Category:Indian_Army_in_films; http://dbpedia.org/resource/Category:Indian_buddy_films; http://dbpedia.org/resource/Category:Indian_drama_films; http://dbpedia.org/resource/Category:Super_Good_Films_films; http://dbpedia.org/resource/Category:Tamil_remakes_of_Malayalam_films,N/A,N/A
http://dbpedia.org/resource/Eto_Na_Ang_Susunod_Na_Kabanata,Eto Na Ang Susunod Na Kabanata,1983-05-05,http://dbpedia.org/resource/Philippines,N/A,3600.0,N/A,N/A,N/A,N/A,"Eto Na Ang Susunod Na Kabanata (English: This is the Next Chapter) was a TV show broadcast in the Philippines for five months in 2001. It was a political satire of the Philippine government; a situational comedy that depicts the lives of the common ""tao"" and their interactions with the ""demi-gods"" of politics. The show portrays the humorous state of Philippine affairs while making its audience aware of what is really happening to the country.",N/A,N/A,http://dbpedia.org/resource/List_of_shows_previously_aired_by_ABS-CBN,N/A,http://en.wikipedia.org/wiki/Eto_Na_Ang_Susunod_Na_Kabanata?oldid=1120181453&ns=0,N/A,Sitcom,http://dbpedia.org/resource/Sitcom,N/A,N/A,Bert de Leon; Johnny Manahan,http://dbpedia.org/resource/Bert_de_Leon; http://dbpedia.org/resource/Johnny_Manahan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2001 Philippine television series debuts; 2001 Philippine television series endings; ABS-CBN original programming; Filipino-language television shows; Philippine satire; Philippine television sitcoms,http://dbpedia.org/resource/Category:2001_Philippine_television_series_debuts; http://dbpedia.org/resource/Category:2001_Philippine_television_series_endings; http://dbpedia.org/resource/Category:ABS-CBN_original_programming; http://dbpedia.org/resource/Category:Filipino-language_television_shows; http://dbpedia.org/resource/Category:Philippine_satire; http://dbpedia.org/resource/Category:Philippine_television_sitcoms,N/A,N/A
