movie_uri,movie,releaseDate,runtime,language,budget,boxOffice,plot,franchise,actors,genres,directors,producers,distributors,filmingLocations,awards
http://dbpedia.org/resource/Cabaret_Woman,Cabaret Woman,1974-12-02,5820.0,http://dbpedia.org/resource/Spanish_language,,,Cabaret Woman (Spanish:Una mujer de cabaret) is a 1974 Spanish comedy film directed by Pedro Lazaga and starring Carmen Sevilla and José María Rodero.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Cafe_Moscow,Cafe Moscow,1936-02-13,5040.0,http://dbpedia.org/resource/Hungarian_language,,,"Cafe Moscow (Hungarian:Café Moszkva) is a 1936 Hungarian adventure film directed by Steve Sekely and starring Anna Tõkés, Gyula Csortos and Ferenc Kiss. Art direction was by . It is also known by the alternative title Only One Night. The film is set during the First World War on the Eastern Front between Russia and the Austro-Hungarian Empire. The film was intended to convey an anti-war message.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Calendar_(1993_film),Calendar (1993 film),1993-06-03,4440.0,http://dbpedia.org/resource/Armenian_language,,,Calendar (Armenian: Օրացույց) is a 1993 drama film directed by Atom Egoyan.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Call_Esteban,Call Esteban,1960-09-26,4740.0,http://dbpedia.org/resource/Spanish_language,,,"Call Esteban (Spanish: Llama un tal Esteban) is a 1960 Spanish crime film directed by and starring Luz Márquez, and .",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Call_Over_the_Air,Call Over the Air,1951-01-05,4920.0,http://dbpedia.org/resource/German_language,,,"Call Over the Air (German: Ruf aus dem Äther) is a 1951 Austrian drama film directed by Georg C. Klaren and Georg Wilhelm Pabst and starring Oskar Werner, Lucia Scharf and Fritz Imhoff. It was made at the Sievering Studios in Vienna with location shooting at the Dachstein in the Alps. The film's sets were designed by the art director Fritz Jüptner-Jonstorff. Although filming took place in 1948, it wasn't released for a further three years in either Austria or West Germany.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Call_of_the_Forest_(1965_film),Call of the Forest (1965 film),1965-10-01,5100.0,http://dbpedia.org/resource/German_language,,,"Call of the Forest (German: Ruf der Wälder) is a 1965 Austrian drama film directed by Franz Antel and starring Hans-Jürgen Bäumler, Terence Hill and Gerhard Riedmann. It is part of the popular tradition of heimatfilm. It was made at the Sievering Studios in Vienna and on location in the Alpine resort of Kaprun. The film's sets were designed by the art director Otto Pischinger.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Calling_All_Cars_(1935_film),Calling All Cars (1935 film),1935-01-25,4020.0,http://dbpedia.org/resource/English_language,,,"Calling All Cars is a 1935 American crime film directed by Spencer Gordon Bennet and starring Jack La Rue, Lillian Miles and Jack Norton. It was originally made for distribution by Mayfair Pictures, but the company had ceased business by the time of its release.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Calling_the_Tune,Calling the Tune,1936-07-07,4800.0,http://dbpedia.org/resource/English_language,,,"Calling the Tune was a 1936 British musical drama film directed by Reginald Denham and Thorold Dickinson and starring Adele Dixon, Sally Gray and Sam Livesey. It was based on a play written by the Irish MP and novelist, Justin Huntly McCarthy first published in 1913. It was made at Ealing Studios The film's sets were designed by the art director .",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Cameriera_bella_presenza_offresi...,Cameriera bella presenza offresi...,1951-11-03,5700.0,http://dbpedia.org/resource/Italian_language,,,Cameriera bella presenza offresi... (Housemaid) is a 1951 Italian film directed by Giorgio Pastina. Federico Fellini was one of its scriptwriters. The film marked the comeback of Elsa Merlini after a nine years hiatus.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Cantonen_Iron_Kung_Fu,Cantonen Iron Kung Fu,1979-09-14,5280.0,http://dbpedia.org/resource/Cantonese,,1020687.0,"Cantonen Iron Kung Fu is a 1979 Hong Kong martial arts film written and directed by Lee Chiu and starring Bryan Leung as historical figure Leung Kwan, who was one of the Ten Tigers of Canton. Aside from starring in the lead role, Leung also worked on planning of the film.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Canario_rojo,Canario rojo,1955-07-21,5700.0,http://dbpedia.org/resource/Spanish_language,,,Canario rojo is a 1955 Argentine film.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Candidates_for_Marriage,Candidates for Marriage,1958-01-17,5700.0,http://dbpedia.org/resource/German_language,,,"Candidates for Marriage (German: Heiratskandidaten) is a 1958 Austrian-West German comedy film directed by Hermann Kugelstadt and starring Beppo Brem, Paul Hörbiger and Gerlinde Locker. The film's sets were designed by the art director Wolf Witzemann. It was shot at the Schönbrunn Studios in Vienna and on location around the city.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Capitaine_Pantoufle,Capitaine Pantoufle,1953-07-31,5400.0,http://dbpedia.org/resource/French_language,,,"Capitaine Pantoufle (English: Captain Pantoufle) is a French comedy film of 1953, directed by Guy Lefranc, written by Alfred Adam, starring Madeleine Lebeau and Louis de Funès. The scenario was based on the work of Alfred Adam – ""Many"".",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Captain_Blomet,Captain Blomet,1947-09-19,5700.0,http://dbpedia.org/resource/French_language,,,"Captain Blomet (French: Capitaine Blomet) is a 1947 French comedy film directed by Andrée Feix and starring Fernand Gravey, Gaby Sylvia and . The film's sets were designed by the art director Jacques Krauss.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
