subject,predicate,object
http://www.wikidata.org/entity/Q117130193,distributors,Vertical
http://www.wikidata.org/entity/Q124708001,distributors,nan
http://www.wikidata.org/entity/Q127763750,distributors,nan
http://www.wikidata.org/entity/Q123758925,distributors,Lionsgate
http://www.wikidata.org/entity/Q123783550,distributors,nan
http://www.wikidata.org/entity/Q111941144,distributors,nan
http://www.wikidata.org/entity/Q122203155,distributors,Netflix
http://www.wikidata.org/entity/Q122203155,distributors,01 Distribution
http://www.wikidata.org/entity/Q122203155,distributors,StudioCanal
http://www.wikidata.org/entity/Q123259395,distributors,Bright Fame Pictures
http://www.wikidata.org/entity/Q124370507,distributors,Netflix
http://www.wikidata.org/entity/Q117287129,distributors,Neon
http://www.wikidata.org/entity/Q127628439,distributors,nan
http://www.wikidata.org/entity/Q124246343,distributors,nan
http://www.wikidata.org/entity/Q122723743,distributors,Gravitas Ventures
http://www.wikidata.org/entity/Q122723743,distributors,ADS Service
http://www.wikidata.org/entity/Q112054623,distributors,Netflix
http://www.wikidata.org/entity/Q130477367,distributors,nan
http://www.wikidata.org/entity/Q125693182,distributors,nan
http://www.wikidata.org/entity/Q122703295,distributors,Vertigo Média
http://www.wikidata.org/entity/Q117014906,distributors,Paramount Pictures
http://www.wikidata.org/entity/Q117014906,distributors,UIP-Dunafilm
http://www.wikidata.org/entity/Q116361132,distributors,Focus Features
http://www.wikidata.org/entity/Q116361132,distributors,Universal Pictures France
http://www.wikidata.org/entity/Q116361132,distributors,UIP-Dunafilm
http://www.wikidata.org/entity/Q124285697,distributors,Vertigo Films
http://www.wikidata.org/entity/Q124285697,distributors,IFC Films
http://www.wikidata.org/entity/Q129652261,distributors,nan
http://www.wikidata.org/entity/Q125858197,distributors,nan
http://www.wikidata.org/entity/Q120188885,distributors,Ad Vitam Distribution
http://www.wikidata.org/entity/Q120188885,distributors,MUBI
http://www.wikidata.org/entity/Q124335954,distributors,nan
http://www.wikidata.org/entity/Q121091587,distributors,Lionsgate
http://www.wikidata.org/entity/Q129255850,distributors,nan
http://www.wikidata.org/entity/Q122964827,distributors,nan
http://www.wikidata.org/entity/Q127869960,distributors,nan
http://www.wikidata.org/entity/Q121076570,distributors,Columbia Pictures
http://www.wikidata.org/entity/Q121076570,distributors,Netflix
http://www.wikidata.org/entity/Q121076570,distributors,StudioCanal
http://www.wikidata.org/entity/Q116692764,distributors,A24
http://www.wikidata.org/entity/Q113012523,distributors,Metro-Goldwyn-Mayer
http://www.wikidata.org/entity/Q113012523,distributors,FilmNation Entertainment
http://www.wikidata.org/entity/Q113012523,distributors,InterCom
http://www.wikidata.org/entity/Q125485552,distributors,nan
http://www.wikidata.org/entity/Q125295777,distributors,Shout! Factory
http://www.wikidata.org/entity/Q130616239,distributors,nan
http://www.wikidata.org/entity/Q116141854,distributors,nan
http://www.wikidata.org/entity/Q124547601,distributors,nan
http://www.wikidata.org/entity/Q130641055,distributors,nan
http://www.wikidata.org/entity/Q115993222,distributors,ADS Service
http://www.wikidata.org/entity/Q115993222,distributors,BAC Films
http://www.wikidata.org/entity/Q125935870,distributors,HBO
http://www.wikidata.org/entity/Q125504091,distributors,IFC Films
http://www.wikidata.org/entity/Q128694739,distributors,nan
http://www.wikidata.org/entity/Q129757759,distributors,nan
http://www.wikidata.org/entity/Q112865585,distributors,Paramount Pictures
http://www.wikidata.org/entity/Q130261793,distributors,nan
http://www.wikidata.org/entity/Q127402346,distributors,Netflix
http://www.wikidata.org/entity/Q116701124,distributors,Société nouvelle de distribution
http://www.wikidata.org/entity/Q116701124,distributors,Fórum Hungary
http://www.wikidata.org/entity/Q123784984,distributors,nan
http://www.wikidata.org/entity/Q117774966,distributors,Pan Distribution
http://www.wikidata.org/entity/Q117774966,distributors,Magnolia Pictures
http://www.wikidata.org/entity/Q118414983,distributors,Utopia
http://www.wikidata.org/entity/Q120986976,distributors,Lionsgate Films
http://www.wikidata.org/entity/Q120986976,distributors,Lionsgate
http://www.wikidata.org/entity/Q131320483,distributors,nan
http://www.wikidata.org/entity/Q116178692,distributors,Variance Films
http://www.wikidata.org/entity/Q28719777,distributors,nan
http://www.wikidata.org/entity/Q115367024,distributors,nan
http://www.wikidata.org/entity/Q125507012,distributors,nan
http://www.wikidata.org/entity/Q123185886,distributors,nan
http://www.wikidata.org/entity/Q127784078,distributors,nan
http://www.wikidata.org/entity/Q114073140,distributors,Lionsgate Films
http://www.wikidata.org/entity/Q114073140,distributors,ADS Service
http://www.wikidata.org/entity/Q61989802,distributors,nan
http://www.wikidata.org/entity/Q104144784,distributors,nan
http://www.wikidata.org/entity/Q124844671,distributors,nan
http://www.wikidata.org/entity/Q123976167,distributors,nan
http://www.wikidata.org/entity/Q125256467,distributors,nan
http://www.wikidata.org/entity/Q124416533,distributors,nan
http://www.wikidata.org/entity/Q73537958,distributors,Walt Disney Studios Motion Pictures
http://www.wikidata.org/entity/Q73537958,distributors,Disney+
http://www.wikidata.org/entity/Q73537958,distributors,Searchlight Pictures
http://www.wikidata.org/entity/Q73537958,distributors,Fórum Hungary
http://www.wikidata.org/entity/Q113371337,distributors,InterCom
http://www.wikidata.org/entity/Q113371337,distributors,Sony Pictures Motion Picture Group
http://www.wikidata.org/entity/Q128307093,distributors,ADS Service
http://www.wikidata.org/entity/Q124460441,distributors,nan
http://www.wikidata.org/entity/Q125830099,distributors,nan
http://www.wikidata.org/entity/Q124847978,distributors,nan
http://www.wikidata.org/entity/Q109228976,distributors,ADS Service
http://www.wikidata.org/entity/Q125716975,distributors,nan
http://www.wikidata.org/entity/Q124098360,distributors,Vertigo Média
http://www.wikidata.org/entity/Q124250971,distributors,Lionsgate Home Entertainment
http://www.wikidata.org/entity/Q126326956,distributors,nan
http://www.wikidata.org/entity/Q4177246,distributors,StudioCanal UK
http://www.wikidata.org/entity/Q124537941,distributors,nan
http://www.wikidata.org/entity/Q123169098,distributors,nan
http://www.wikidata.org/entity/Q121767976,distributors,Sony Pictures Classics
http://www.wikidata.org/entity/Q121767976,distributors,Stage 6 Films
http://www.wikidata.org/entity/Q131312961,distributors,nan
http://www.wikidata.org/entity/Q124153295,distributors,Universal Pictures
http://www.wikidata.org/entity/Q124153295,distributors,Focus Features
http://www.wikidata.org/entity/Q116771236,distributors,Vertigo Média
http://www.wikidata.org/entity/Q116771236,distributors,Lionsgate Canada
http://www.wikidata.org/entity/Q112114745,distributors,Microsoft Store
http://www.wikidata.org/entity/Q112114745,distributors,Focus Features
http://www.wikidata.org/entity/Q112114745,distributors,UIP-Dunafilm
http://www.wikidata.org/entity/Q129456972,distributors,nan
http://www.wikidata.org/entity/Q123861757,distributors,nan
http://www.wikidata.org/entity/Q118384190,distributors,IFC Films
http://www.wikidata.org/entity/Q126165460,distributors,Amazon MGM Studios
http://www.wikidata.org/entity/Q116771180,distributors,Shout! Factory
http://www.wikidata.org/entity/Q113650759,distributors,Netflix
http://www.wikidata.org/entity/Q114703286,distributors,Condor
http://www.wikidata.org/entity/Q125448417,distributors,nan
http://www.wikidata.org/entity/Q116431968,distributors,Netflix
http://www.wikidata.org/entity/Q113488690,distributors,Lionsgate
http://www.wikidata.org/entity/Q113488690,distributors,Mozinet
http://www.wikidata.org/entity/Q113488690,distributors,A24
http://www.wikidata.org/entity/Q111458251,distributors,InterCom
http://www.wikidata.org/entity/Q111458251,distributors,Amazon MGM Studios
http://www.wikidata.org/entity/Q111458251,distributors,Warner Bros. Pictures
http://www.wikidata.org/entity/Q130381565,distributors,Hulu
http://www.wikidata.org/entity/Q130381565,distributors,Disney+
http://www.wikidata.org/entity/Q125925221,distributors,nan
http://www.wikidata.org/entity/Q115405596,distributors,Filmax
http://www.wikidata.org/entity/Q120900212,distributors,Pathé Distribution
http://www.wikidata.org/entity/Q120900212,distributors,Vertigo Média
http://www.wikidata.org/entity/Q112183404,distributors,Paramount Pictures
http://www.wikidata.org/entity/Q112183404,distributors,UIP-Dunafilm
http://www.wikidata.org/entity/Q116246102,distributors,nan
http://www.wikidata.org/entity/Q115860236,distributors,Lionsgate
http://www.wikidata.org/entity/Q115860236,distributors,Amazon Prime Video
http://www.wikidata.org/entity/Q124814758,distributors,Netflix
http://www.wikidata.org/entity/Q112054671,distributors,nan
http://www.wikidata.org/entity/Q118175825,distributors,nan
http://www.wikidata.org/entity/Q117816797,distributors,nan
http://www.wikidata.org/entity/Q129583272,distributors,nan
http://www.wikidata.org/entity/Q116394284,distributors,nan
http://www.wikidata.org/entity/Q116675851,distributors,Condor
http://www.wikidata.org/entity/Q126734843,distributors,nan
http://www.wikidata.org/entity/Q125897105,distributors,nan
http://www.wikidata.org/entity/Q120487741,distributors,Amazon MGM Studios
