subject,predicate,object
http://www.wikidata.org/entity/Q117130193,duration,97.0
http://www.wikidata.org/entity/Q124708001,duration,110.0
http://www.wikidata.org/entity/Q127763750,duration,96.0
http://www.wikidata.org/entity/Q123758925,duration,112.0
http://www.wikidata.org/entity/Q123783550,duration,90.0
http://www.wikidata.org/entity/Q111941144,duration,111.0
http://www.wikidata.org/entity/Q122203155,duration,124.0
http://www.wikidata.org/entity/Q123259395,duration,100.0
http://www.wikidata.org/entity/Q124370507,duration,93.0
http://www.wikidata.org/entity/Q117287129,duration,nan
http://www.wikidata.org/entity/Q127628439,duration,nan
http://www.wikidata.org/entity/Q124246343,duration,98.0
http://www.wikidata.org/entity/Q122723743,duration,93.0
http://www.wikidata.org/entity/Q112054623,duration,106.0
http://www.wikidata.org/entity/Q130477367,duration,nan
http://www.wikidata.org/entity/Q125693182,duration,86.0
http://www.wikidata.org/entity/Q122703295,duration,88.0
http://www.wikidata.org/entity/Q117014906,duration,112.0
http://www.wikidata.org/entity/Q116361132,duration,143.0
http://www.wikidata.org/entity/Q124285697,duration,107.0
http://www.wikidata.org/entity/Q129652261,duration,107.0
http://www.wikidata.org/entity/Q125858197,duration,nan
http://www.wikidata.org/entity/Q120188885,duration,119.0
http://www.wikidata.org/entity/Q124335954,duration,nan
http://www.wikidata.org/entity/Q121091587,duration,104.0
http://www.wikidata.org/entity/Q129255850,duration,80.0
http://www.wikidata.org/entity/Q122964827,duration,90.0
http://www.wikidata.org/entity/Q127869960,duration,88.0
http://www.wikidata.org/entity/Q121076570,duration,nan
http://www.wikidata.org/entity/Q116692764,duration,98.0
http://www.wikidata.org/entity/Q113012523,duration,102.0
http://www.wikidata.org/entity/Q125485552,duration,79.0
http://www.wikidata.org/entity/Q125295777,duration,96.0
http://www.wikidata.org/entity/Q130616239,duration,nan
http://www.wikidata.org/entity/Q116141854,duration,93.0
http://www.wikidata.org/entity/Q124547601,duration,nan
http://www.wikidata.org/entity/Q130641055,duration,nan
http://www.wikidata.org/entity/Q115993222,duration,105.0
http://www.wikidata.org/entity/Q125935870,duration,nan
http://www.wikidata.org/entity/Q125504091,duration,106.0
http://www.wikidata.org/entity/Q128694739,duration,nan
http://www.wikidata.org/entity/Q129757759,duration,94.0
http://www.wikidata.org/entity/Q112865585,duration,nan
http://www.wikidata.org/entity/Q130261793,duration,91.0
http://www.wikidata.org/entity/Q127402346,duration,nan
http://www.wikidata.org/entity/Q116701124,duration,120.0
http://www.wikidata.org/entity/Q123784984,duration,95.0
http://www.wikidata.org/entity/Q117774966,duration,87.0
http://www.wikidata.org/entity/Q118414983,duration,101.0
http://www.wikidata.org/entity/Q120986976,duration,104.0
http://www.wikidata.org/entity/Q131320483,duration,62.0
http://www.wikidata.org/entity/Q116178692,duration,93.0
http://www.wikidata.org/entity/Q28719777,duration,87.0
http://www.wikidata.org/entity/Q115367024,duration,113.0
http://www.wikidata.org/entity/Q125507012,duration,86.0
http://www.wikidata.org/entity/Q123185886,duration,nan
http://www.wikidata.org/entity/Q127784078,duration,73.0
http://www.wikidata.org/entity/Q114073140,duration,91.0
http://www.wikidata.org/entity/Q61989802,duration,85.0
http://www.wikidata.org/entity/Q104144784,duration,nan
http://www.wikidata.org/entity/Q124844671,duration,94.0
http://www.wikidata.org/entity/Q123976167,duration,87.0
http://www.wikidata.org/entity/Q125256467,duration,nan
http://www.wikidata.org/entity/Q124416533,duration,90.0
http://www.wikidata.org/entity/Q73537958,duration,104.0
http://www.wikidata.org/entity/Q113371337,duration,109.0
http://www.wikidata.org/entity/Q128307093,duration,nan
http://www.wikidata.org/entity/Q124460441,duration,104.0
http://www.wikidata.org/entity/Q125830099,duration,76.0
http://www.wikidata.org/entity/Q124847978,duration,nan
http://www.wikidata.org/entity/Q109228976,duration,nan
http://www.wikidata.org/entity/Q125716975,duration,89.0
http://www.wikidata.org/entity/Q124098360,duration,nan
http://www.wikidata.org/entity/Q124250971,duration,105.0
http://www.wikidata.org/entity/Q126326956,duration,82.0
http://www.wikidata.org/entity/Q4177246,duration,94.0
http://www.wikidata.org/entity/Q124537941,duration,96.0
http://www.wikidata.org/entity/Q123169098,duration,nan
http://www.wikidata.org/entity/Q121767976,duration,93.0
http://www.wikidata.org/entity/Q131312961,duration,nan
http://www.wikidata.org/entity/Q124153295,duration,121.0
http://www.wikidata.org/entity/Q116771236,duration,108.0
http://www.wikidata.org/entity/Q112114745,duration,133.0
http://www.wikidata.org/entity/Q129456972,duration,nan
http://www.wikidata.org/entity/Q123861757,duration,114.0
http://www.wikidata.org/entity/Q118384190,duration,nan
http://www.wikidata.org/entity/Q126165460,duration,94.0
http://www.wikidata.org/entity/Q116771180,duration,98.0
http://www.wikidata.org/entity/Q113650759,duration,nan
http://www.wikidata.org/entity/Q114703286,duration,74.0
http://www.wikidata.org/entity/Q125448417,duration,nan
http://www.wikidata.org/entity/Q116431968,duration,104.0
http://www.wikidata.org/entity/Q113488690,duration,104.0
http://www.wikidata.org/entity/Q111458251,duration,131.0
http://www.wikidata.org/entity/Q130381565,duration,101.0
http://www.wikidata.org/entity/Q125925221,duration,105.0
http://www.wikidata.org/entity/Q115405596,duration,116.0
http://www.wikidata.org/entity/Q120900212,duration,121.0
http://www.wikidata.org/entity/Q112183404,duration,99.0
http://www.wikidata.org/entity/Q116246102,duration,146.0
http://www.wikidata.org/entity/Q115860236,duration,nan
http://www.wikidata.org/entity/Q124814758,duration,nan
http://www.wikidata.org/entity/Q112054671,duration,138.0
http://www.wikidata.org/entity/Q118175825,duration,nan
http://www.wikidata.org/entity/Q117816797,duration,110.0
http://www.wikidata.org/entity/Q129583272,duration,100.0
http://www.wikidata.org/entity/Q116394284,duration,105.0
http://www.wikidata.org/entity/Q116675851,duration,91.0
http://www.wikidata.org/entity/Q126734843,duration,nan
http://www.wikidata.org/entity/Q125897105,duration,127.0
http://www.wikidata.org/entity/Q120487741,duration,112.0
http://www.wikidata.org/entity/Q125501249,duration,nan
http://www.wikidata.org/entity/Q24797403,duration,160.0
http://www.wikidata.org/entity/Q125400788,duration,87.0
http://www.wikidata.org/entity/Q116025865,duration,106.0
http://www.wikidata.org/entity/Q124257357,duration,nan
http://www.wikidata.org/entity/Q117945866,duration,94.0
http://www.wikidata.org/entity/Q127386034,duration,nan
http://www.wikidata.org/entity/Q85847274,duration,131.0
http://www.wikidata.org/entity/Q123223028,duration,83.0
http://www.wikidata.org/entity/Q124365154,duration,87.0
http://www.wikidata.org/entity/Q124848151,duration,nan
http://www.wikidata.org/entity/Q123353613,duration,nan
http://www.wikidata.org/entity/Q124320665,duration,98.0
http://www.wikidata.org/entity/Q116027468,duration,93.0
http://www.wikidata.org/entity/Q116745152,duration,135.0
http://www.wikidata.org/entity/Q118309891,duration,nan
http://www.wikidata.org/entity/Q124255913,duration,96.0
http://www.wikidata.org/entity/Q117425181,duration,107.0
http://www.wikidata.org/entity/Q115859045,duration,nan
http://www.wikidata.org/entity/Q131137159,duration,90.0
http://www.wikidata.org/entity/Q131154650,duration,83.0
http://www.wikidata.org/entity/Q127727208,duration,nan
http://www.wikidata.org/entity/Q123139679,duration,87.0
http://www.wikidata.org/entity/Q113677881,duration,101.0
http://www.wikidata.org/entity/Q105952623,duration,113.0
http://www.wikidata.org/entity/Q115478286,duration,nan
http://www.wikidata.org/entity/Q112683565,duration,109.0
http://www.wikidata.org/entity/Q128796709,duration,nan
http://www.wikidata.org/entity/Q124337178,duration,99.0
http://www.wikidata.org/entity/Q107299023,duration,111.0
http://www.wikidata.org/entity/Q101245261,duration,90.0
http://www.wikidata.org/entity/Q124847512,duration,nan
http://www.wikidata.org/entity/Q124850164,duration,nan
http://www.wikidata.org/entity/Q112054990,duration,nan
http://www.wikidata.org/entity/Q129836719,duration,nan
http://www.wikidata.org/entity/Q124968969,duration,106.0
http://www.wikidata.org/entity/Q123582987,duration,120.0
http://www.wikidata.org/entity/Q125814469,duration,nan
http://www.wikidata.org/entity/Q124610204,duration,97.0
http://www.wikidata.org/entity/Q116678683,duration,nan
http://www.wikidata.org/entity/Q125473287,duration,nan
http://www.wikidata.org/entity/Q124736440,duration,nan
http://www.wikidata.org/entity/Q129675920,duration,nan
http://www.wikidata.org/entity/Q119882908,duration,109.0
http://www.wikidata.org/entity/Q125968859,duration,113.0
http://www.wikidata.org/entity/Q101093410,duration,137.0
http://www.wikidata.org/entity/Q117769481,duration,84.0
http://www.wikidata.org/entity/Q124152247,duration,97.0
http://www.wikidata.org/entity/Q124841933,duration,nan
http://www.wikidata.org/entity/Q125948108,duration,nan
http://www.wikidata.org/entity/Q113380226,duration,140.0
http://www.wikidata.org/entity/Q124850759,duration,nan
http://www.wikidata.org/entity/Q124642832,duration,95.0
http://www.wikidata.org/entity/Q124077893,duration,106.0
http://www.wikidata.org/entity/Q113212962,duration,100.0
http://www.wikidata.org/entity/Q114314695,duration,145.0
http://www.wikidata.org/entity/Q126184078,duration,82.0
http://www.wikidata.org/entity/Q100361125,duration,148.0
http://www.wikidata.org/entity/Q126184471,duration,86.0
http://www.wikidata.org/entity/Q115474889,duration,120.0
http://www.wikidata.org/entity/Q123944616,duration,105.0
http://www.wikidata.org/entity/Q117037697,duration,150.0
http://www.wikidata.org/entity/Q115175910,duration,138.0
http://www.wikidata.org/entity/Q123690382,duration,nan
http://www.wikidata.org/entity/Q119718080,duration,92.0
http://www.wikidata.org/entity/Q121482803,duration,80.0
http://www.wikidata.org/entity/Q124843645,duration,nan
http://www.wikidata.org/entity/Q116470610,duration,101.0
http://www.wikidata.org/entity/Q130298069,duration,96.0
http://www.wikidata.org/entity/Q123345219,duration,nan
http://www.wikidata.org/entity/Q124249583,duration,99.0
http://www.wikidata.org/entity/Q113572020,duration,96.0
http://www.wikidata.org/entity/Q130164694,duration,nan
http://www.wikidata.org/entity/Q120001910,duration,110.0
http://www.wikidata.org/entity/Q123185887,duration,139.0
http://www.wikidata.org/entity/Q130304875,duration,nan
http://www.wikidata.org/entity/Q118214971,duration,120.0
http://www.wikidata.org/entity/Q124844804,duration,nan
