movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs
http://www.wikidata.org/entity/Q19571121,Brimstone,2017-07-21T00:00:00Z,148,148,English,,,"Western film, thriller film",N/A,"Dan van Husen, Dakota Fanning, Carice van Houten, Guy Pearce, Tygo Gernandt, Ad van Kempen, Kit Harington, Frieda Pittoors, Vera Vitali, Carla Juri, Emilia Jones, Naomi Battrick, Peter Blankenstein, Ivy George, Frederick Schmidt, Farren Morgan",N/A,Martin Koolhoven,N/A,"Momentum Pictures, Movies Inspired, Mozinet",N/A,Els Vandevorst,N/A,Junkie XL,N/A,Rogier Stoffers,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q122818945,RISE: The Urban Rez,2017-01-01T00:00:00Z,44,44,English,,,documentary film,N/A,N/A,N/A,Michelle Latimer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q22997984,Despicable Me 3,2017-06-29T00:00:00Z,90,90,English,75000000,264624300,comedy film,N/A,N/A,N/A,Pierre Coffin,N/A,"Universal Pictures, UIP-Dunafilm",N/A,Chris Meledandri,N/A,Heitor Pereira,N/A,N/A,N/A,N/A,N/A,Illumination,N/A,N/A,N/A
http://www.wikidata.org/entity/Q52715735,The Delinquent Season,2017-10-13T00:00:00Z,,,English,,,drama film,N/A,N/A,N/A,Mark O'Rowe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q108940217,The Lucky Specials,2017-02-17T00:00:00Z,,,English,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q15712110,Jigsaw,2017-10-26T00:00:00Z,92,92,English,,102952888,"splatter film, crime film",N/A,"Laura Vandervoort, Tobin Bell, Callum Keith Rennie, Matt Passmore, Mandela Van Peebles, Paul Braunstein, Brittany Allen, Hannah Emily Anderson",N/A,"Michael Spierig, Peter Spierig",N/A,"Hulu, Lionsgate Films",N/A,"Leigh Whannell, Oren Koules, Gregg Hoffman, James Wan",N/A,Charlie Clouser,N/A,N/A,N/A,N/A,N/A,"Lionsgate, Twisted Pictures",N/A,N/A,N/A
http://www.wikidata.org/entity/Q27689100,Murder on the Orient Express,2017-11-09T00:00:00Z,114,114,English,55000000,352789811,"drama film, crime film, mystery film, film based on a novel, detective film",N/A,"Judi Dench, Johnny Depp, Penélope Cruz, Kenneth Branagh, Michelle Pfeiffer, Miranda Raison, Willem Dafoe, Derek Jacobi, Michael Peña, Josh Gad, Adam Garcia, Olivia Colman, Sergei Polunin, Lucy Boynton, Tom Bateman, Leslie Odom Jr., Manuel Garcia-Rulfo, Marwan Kenzari, Daisy Ridley, Phil Dunster, Alaa Safi",N/A,Kenneth Branagh,N/A,"20th Century Studios, Netflix, Disney+",N/A,"Ridley Scott, Kenneth Branagh, Simon Kinberg, Mark Gordon",N/A,Patrick Doyle,N/A,Haris Zambarloukos,N/A,United Kingdom,N/A,"20th Century Studios, Scott Free Productions, Genre Films",N/A,N/A,N/A
http://www.wikidata.org/entity/Q56121066,Dug Out,2017-01-01T00:00:00Z,53,53,English,,,documentary film,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q51031094,Trafficked,2017-01-01T00:00:00Z,,,English,,,thriller film,N/A,N/A,N/A,Will Wallace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q21527812,The Limehouse Golem,2017-08-31T00:00:00Z,109,109,English,,,"horror film, mystery film, thriller film, film based on a novel",N/A,"Eddie Marsan, Bill Nighy, María Valverde, Daniel Mays, Douglas Booth, Olivia Cooke, Henry Goodman, Pete Sullivan, Sam Reid, Morgan Watkins",N/A,Juan Carlos Medina,N/A,Lionsgate,N/A,"Stephen Woolley, Elizabeth Karlsen",N/A,Johan Söderqvist,N/A,Simon Dennis,N/A,N/A,N/A,"HanWay Films, Number 9 Films",N/A,N/A,N/A
http://www.wikidata.org/entity/Q113455695,Mentally,2017-01-01T00:00:00Z,,,English,,,drama film,N/A,"Sunkanmi Omobolanle, Toyin Abraham, Woli Arole, Jude Chukwuka, Adekunle Gold",N/A,James Abinibi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q33032783,Daisy Winters,2017-12-01T00:00:00Z,90,90,English,,,drama film,N/A,"Brooke Shields, Carrie Preston, Paul Blackthorne, Iwan Rheon, Sterling Jerins",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q20921603,Queen of Katwe,2017-04-20T00:00:00Z,124,124,English,15000000,8785681,"drama film, biographical film, sport film, film based on literature",N/A,"Taryn Kyaze, Sheebah Karungi, Tebandeke Samuel, Charles Mulekwa, Hlologelo Ledwaba, Jonathan Diabaig, Flory Kegbia, Linda Radebe, Warren Ncube, Siyabonga Xaba, Joanitta Bewulira-Wandera, Jack Kinobe Sserunkuuma, Irene Kulabako Kakembo, Allen Masumba, Rori Motuba, Aaron Moloisi, Maggie Benedict, Rehema Nanfuka, David Oyelowo, Nikita Waligwa, Edgar Kanyike, Esther Tebandeke, Hope Katende, Philip Luswata, Peter Odeke, Zohran Mamdani, Minky Ndlovu, Martin Kabanza, Ivan Jacobo, Nicolas Levesque, Ronald Ssemaganda, Ethan Nazario Lubega, Lukenge Yusuf, Peter Musibira, Sarah Nansubuga, Teslim Animashaun, Lezon Mark Mugwanya, David Kisakye Kagwa, Anne-Marie Bewulira-Wandera, Sarah Kisawuzi, Moses Awori, Babirye Stellah, Rayan Ssewanyana, Kakande Sharif, Elizabeth Kirabo, Carina Nel, Ivy Komukyeya, Aida Mbowa, Jessica Mazzi, Isaac Muwawu Gwayambadde, Okuyo Joel Atiku Prynce, Richard Tuwangye, Akin Omotoso, Lupita Nyong'o, Ntare Mwine, Maurice Kirya, Madina Nalwanga, Charity Rose Pimer, Esteri Tebandeke, Bavurhe Johnson Jaques, Gloria Nansubuga, Bombo Glory, Eric Akambangira, Stephen Mutabazi, Were Edrine, Mbadidde Florence, Mubiru David, Chris Bent Ssesanga, Mohammed 'Madikas' Ssekandi, Kiddu Isah, Nakato Lydia",N/A,Mira Nair,N/A,"Netflix, Walt Disney Studios Motion Pictures, Disney+",N/A,"Lydia Dean Pilcher, John Carls",N/A,Alex Heffes,N/A,Sean Bobbitt,N/A,"Uganda, South Africa",N/A,"Walt Disney Pictures, ESPN Films, Mirabai Films, John B. Carls Productions, Cine Mosaic",N/A,N/A,N/A
http://www.wikidata.org/entity/Q27958095,My Cousin Rachel,2017-09-07T00:00:00Z,106,106,English,,,"drama film, melodrama",N/A,"Rachel Weisz, Holliday Grainger, Iain Glen, Sam Claflin, Andrew Knott",N/A,Roger Michell,N/A,"Netflix, Searchlight Pictures, Disney+",N/A,Kevin Loader,N/A,N/A,N/A,Mike Eley,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q28869528,Churchill,2017-05-25T00:00:00Z,105,105,English,,,"drama film, biographical film, thriller film",N/A,"Brian Cox, Miranda Richardson, John Slattery",N/A,Jonathan Teplitzky,N/A,N/A,N/A,N/A,N/A,Lorne Balfe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Winston Churchill,N/A
http://www.wikidata.org/entity/Q47461708,Bad Day for the Cut,2017-01-01T00:00:00Z,99,99,English,,,thriller film,N/A,"Susan Lynch, Ian McElhinney, Stuart Graham, Anna Próchniak, Józef Pawłowski",N/A,Chris Baugh,N/A,Netflix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q64280034,Soldiers of the Damned,2017-12-07T00:00:00Z,99,99,English,,,"action film, horror film, war film, thriller film",N/A,"Gil Darnell, Natalia Ryumina, Lucas Hansen",N/A,Mark Nuttall,N/A,Hulu,N/A,Nigel Horne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q27492140,The Killing of a Sacred Deer,2017-01-01T00:00:00Z,109,109,English,,,"drama film, horror film, thriller film",N/A,"Nicole Kidman, Colin Farrell, Alicia Silverstone, Bill Camp, Raffey Cassidy, Barry Keoghan",N/A,Yorgos Lanthimos,N/A,"Curzon Artificial Eye, Vertigo Média",N/A,"Bonar Law, Yorgos Lanthimos",N/A,N/A,N/A,Thimios Bakatakis,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q27590115,The Leisure Seeker,2017-09-03T00:00:00Z,112,112,English,,,"drama film, comedy film, road movie, film based on literature",N/A,"Janel Moloney, Donald Sutherland, Helen Mirren, Kirsty Mitchell, Dana Ivey, Christian McKay, Dick Gregory, Robert Pralgo",N/A,Paolo Virzì,N/A,"Netflix, Sony Pictures Classics, Creative Artists Agency",N/A,"Fabrizio Donvito, Marco Cohen, Benedetto Habib",N/A,Carlo Virzì,N/A,Luca Bigazzi,N/A,N/A,N/A,Indiana Production Company,N/A,N/A,N/A
http://www.wikidata.org/entity/Q77399631,Amityville: Evil Never Dies,2017-01-01T00:00:00Z,74,74,English,,,"horror film, ghost film",N/A,"Mark Patton, Helene Udy",N/A,Dustin Ferguson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q48839262,78/52,2017-01-01T00:00:00Z,91,91,English,,,documentary film,N/A,N/A,N/A,Alexandre O. Philippe,N/A,"Hulu, IFC Midnight",N/A,N/A,N/A,N/A,N/A,Robert Muratore,N/A,N/A,N/A,N/A,N/A,shower scene of Psycho,N/A
http://www.wikidata.org/entity/Q24251026,Transformers: The Last Knight,2017-06-21T00:00:00Z,154,154,English,217000000,130168683,science fiction action film,N/A,"Josh Duhamel, Anthony Hopkins, Mark Wahlberg, Stanley Tucci, John Turturro, Mitch Pileggi, Santiago Cabrera, Laura Haddock, Liam Garrigan, Isabela Moner, Jerrod Carmichael",N/A,Michael Bay,N/A,"Paramount Pictures, UIP-Dunafilm, Hulu",N/A,"Ian Bryce, Lorenzo di Bonaventura, Don Murphy, Tom DeSanto",N/A,Steve Jablonsky,N/A,Jonathan Sela,N/A,Arizona,N/A,"Paramount Pictures, DreamWorks",N/A,N/A,N/A
http://www.wikidata.org/entity/Q19867188,Same Kind of Different as Me,2017-10-20T00:00:00Z,,,English,,,drama film,N/A,"Renée Zellweger, Jon Voight, Olivia Holt, Greg Kinnear, Tonea Stewart, Djimon Hounsou, Daniel Zacapa, Thomas Francis Murphy, Mykel Shannon Jenkins, Regina Taufen, Stephanie Leigh Schlund, David Jensen, Dana Gourrier, Theodus Crane, Ann Mahoney, Lara Grice, Ty Parker, Peyton Wich, Austin Filson, Nyles Steele, John Newberg, Stacy Hall, Rudy Eisenzopf, Lucky Johnson, Geraldine Singer, Kenda Benward, Al Mitchell",N/A,Michael Carney,N/A,"Paramount Pictures, Netflix",N/A,Ron Hall,N/A,John Paesano,N/A,Don Burgess,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q30758382,Dispossession: The Great Social Housing Swindle,2017-01-01T00:00:00Z,,,English,,,documentary film,N/A,Maxine Peake,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q21010887,Youth in Oregon,2017-02-03T00:00:00Z,105,105,English,,,"drama film, comedy drama",N/A,"Josh Lucas, Mary Kay Place, Christina Applegate, Aaron Yoo, Frank Langella, Nicola Peltz, Billy Crudup, Edward Hibbert, Robert Hogan, Geoffrey Owens, Maryann Plunkett, Carla Quevedo, Alex Shaffer",N/A,Joel David Moore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q57262044,A Witches' Ball,2017-05-06T00:00:00Z,,,English,,,N/A,N/A,Joey Fatone,N/A,Justin G. Dyck,N/A,Netflix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q55636067,Tough Guys,2017-01-01T00:00:00Z,,,English,,,documentary film,N/A,N/A,N/A,N/A,N/A,Hulu,N/A,Morgan Spurlock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q20022670,The Birth of a Nation,2017-04-13T00:00:00Z,110,110,English,8000000,,"drama film, biographical film",N/A,"Penelope Ann Miller, Gabrielle Union, Aunjanue Ellis-Taylor, Armie Hammer, Jackie Earle Haley, Mark Boone Junior, Cullen Moss, Jason Stuart, Colman Domingo, Dwight Henry, Esther Scott, Roger Guenveur Smith, Jeryl Prescott, Nate Parker, Aja Naomi King, Tom Proctor",N/A,Nate Parker,N/A,"Netflix, Searchlight Pictures",N/A,"Nate Parker, Jason Michael Berman, Preston Holmes",N/A,Henry Jackman,N/A,Elliot Davis,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q26684632,The Wedding Party,2017-08-01T00:00:00Z,90,90,English,60000000,453000000,"drama film, romantic comedy",N/A,"Richard Mofe Damijo, Banky W., Alibaba Akporobome, Ayo Makun, Iretiola Doyle, Adesua Etomi, Beverly Naya, Ikechukwu, Sambasa Nzeribe, Somkele Iyamah, Zainab Balogun, Afeez Oyetoro, Sola Sobowale, Enyinna Nwigwe, Kunle Idowu, Jumoke George",N/A,Kemi Adetiba,N/A,N/A,N/A,"Don Omope, Zulu Oyibo, Ijeoma Agukoronye",N/A,Dr. Bayo Adepetun,N/A,Akpe Ododoru,N/A,N/A,N/A,Ebonylife TV,N/A,N/A,N/A
http://www.wikidata.org/entity/Q25136234,Wonderstruck,2017-05-01T00:00:00Z,117,117,English,,,drama film,N/A,"Julianne Moore, Michelle Williams, Tom Noonan, Damian Young, Cory Michael Smith, Oakes Fegley, Amy Hargreaves, James Urbaniak, Millicent Simmonds, Anthony Natale",N/A,Todd Haynes,N/A,Amazon MGM Studios,N/A,Pamela Koffler,N/A,Carter Burwell,N/A,Edward Lachman,N/A,N/A,N/A,Killer Films,N/A,N/A,N/A
http://www.wikidata.org/entity/Q43303311,Awakening the Zodiac,2017-01-01T00:00:00Z,100,100,English,,,"drama film, thriller film",N/A,N/A,N/A,Jonathan Wright,N/A,"Hulu, Sony Pictures Worldwide Acquisitions",N/A,N/A,N/A,Mark Korven,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q48712434,Alien Contact: Outer Space,2017-01-01T00:00:00Z,63,63,English,,,"documentary film, science fiction film",N/A,N/A,N/A,J. Michael Long,N/A,Netflix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"extraterrestrial life, conspiracy theory",N/A
http://www.wikidata.org/entity/Q42048434,Bodied,2017-09-07T00:00:00Z,121,121,English,,,"drama film, comedy drama, musical film",N/A,"Debra Wilson, Anthony Michael Hall, Adi Shankar, Rory Uphold, Walter Perez, Calum Worthy, Jackie Long, Dumbfoundead, Hollow da Don, Charlamagne tha God",N/A,Joseph Kahn,N/A,YouTube Premium,N/A,"Eminem, Paul Rosenberg, Adi Shankar",N/A,"Bryan Mantia, Melissa Reese",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q36951270,Loving Pablo,2017-01-01T00:00:00Z,123,123,English,,17500000,"drama film, biographical film, film based on book",N/A,"Ronald Reagan, Penélope Cruz, Javier Bardem, Nancy Reagan, Peter Sarsgaard, Óscar Jaenada, Juan Pablo Gamboa, Julieth Restrepo, Atanas Srebrev, Joavany Álvarez",N/A,Fernando León de Aranoa,N/A,Big Bang Media,N/A,Javier Bardem,N/A,Federico Jusid,N/A,Alex Catalán,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q42808989,Crowhurst,2017-01-01T00:00:00Z,103,103,English,,,drama film,N/A,N/A,N/A,Simon Rumley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q27701445,Just Getting Started,2017-12-08T00:00:00Z,91,91,English,,,Christmas film,N/A,"Morgan Freeman, Jane Seymour, Tommy Lee Jones, Rene Russo, Graham Beckel, Joe Pantoliano, Elizabeth Ashley, Sheryl Lee Ralph, Johnny Mathis, George Wallace, Glenne Headly, Mel Raido, Boots Southerland, Eli Goodman, Kat Sawyer-Young, Johnny Sneed, Whit Washing, Vic Browder, Oscar Avila, Kristen Rakes, Nick Peine, Teddy Eggleston, Forrie J. Smith, Drago Sumonja",N/A,Ron Shelton,N/A,Broad Green Pictures,N/A,N/A,N/A,Alex Wurman,N/A,Barry Peterson,N/A,N/A,N/A,Broad Green Pictures,N/A,N/A,N/A
http://www.wikidata.org/entity/Q26720646,The Exception,2017-07-14T00:00:00Z,107,107,English,,,"drama film, romance film",N/A,"Eddie Marsan, Janet McTeer, Christopher Plummer, Jai Courtney, Ben Daniels, Lily James, Martin Swabey",N/A,David Leveaux,N/A,N/A,N/A,N/A,N/A,Ilan Eshkeri,N/A,Roman Osin,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q28494655,Eagles of Death Metal: Nos Amis (Our Friends),2017-01-01T00:00:00Z,84,84,English,,,documentary film,N/A,N/A,N/A,Colin Hanks,N/A,"Netflix, Fandango at Home",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Live Nation Entertainment,N/A,Eagles of Death Metal,N/A
http://www.wikidata.org/entity/Q28842712,Slasher.com,2017-01-01T00:00:00Z,,,English,,,horror film,N/A,"Jewel Shepard, R. A. Mihailoff",N/A,Chip Gubera,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q29044026,Sleep Has Her House,2017-09-24T00:00:00Z,90,90,English,,,"drama film, horror film, mystery film",N/A,N/A,N/A,Scott Barley,N/A,N/A,N/A,Scott Barley,N/A,Scott Barley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q21528140,The Scent of Rain and Lightning,2017-03-25T00:00:00Z,,,English,,,drama film,N/A,Maika Monroe,N/A,Blake Robbins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q21293827,Live by Night,2017-01-26T00:00:00Z,129,129,English,65000000,15885366,"drama film, crime film, thriller film, film based on a novel",N/A,"Elle Fanning, Zoe Saldaña, Sienna Miller, Chris Cooper, Brendan Gleeson, Titus Welliver, Anthony Michael Hall, Ben Affleck, Max Casella, Chris Messina, Remo Girone, J. D. Evermore",N/A,Ben Affleck,N/A,"Warner Bros., Netflix, InterCom",N/A,Ben Affleck,N/A,Harry Gregson-Williams,N/A,Robert Richardson,N/A,"Los Angeles, Georgia",N/A,Warner Bros.,N/A,N/A,N/A
http://www.wikidata.org/entity/Q47036864,Heartthrob,2017-01-01T00:00:00Z,86,86,English,,,thriller film,N/A,"Jimmy Bennett, Peter Facinelli, Aubrey Peeples",N/A,Chris Sivertson,N/A,Netflix,N/A,N/A,N/A,James Dooley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q55259014,Carter & June,2017-01-01T00:00:00Z,87,87,English,,,heist film,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sean Covel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q124080606,The Catch,2017-02-10T00:00:00Z,14,14,English,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q60851104,Dismissed,2017-01-01T00:00:00Z,87,87,English,,,"horror film, thriller film",N/A,Dylan Sprouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q24577642,Unrest,2017-01-01T00:00:00Z,90,90,English,,,"drama film, documentary film, romance film",N/A,"Jennifer Brea, Whitney Dafoe",N/A,Jennifer Brea,N/A,Netflix,N/A,"Joanna Kerns, Deborah Hoffmann, Lindsey Dryden, Jennifer Brea",N/A,Bear McCreary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q105103618,Witchcraft XV: Blood Rose,2017-01-01T00:00:00Z,81,81,English,,,horror film,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.wikidata.org/entity/Q28325029,Lost in London,2017-01-19T00:00:00Z,100,100,English,,,"drama film, comedy film",N/A,"Owen Wilson, Zrinka Cvitešić, Willie Nelson, Woody Harrelson, Eleanor Matsuura, Martin McCann, Peter Ferdinando, David Avery",N/A,Woody Harrelson,N/A,Hulu,N/A,Woody Harrelson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
