movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs
http://www.wikidata.org/entity/Q19571121,Brimstone,2017-07-21T00:00:00Z,148,148,English,,,"Western film, thriller film","http://www.wikidata.org/entity/Q172980, http://www.wikidata.org/entity/Q2484376","Dan van Husen, Dakota Fanning, Ad van Kempen, Kit Harington, Guy Pearce, Carice van Houten, Frieda Pittoors, Tygo Gernandt, Naomi Battrick, Vera Vitali, Carla Juri, Emilia Jones, Peter Blankenstein, Ivy George, Frederick Schmidt, Farren Morgan","http://www.wikidata.org/entity/Q97616, http://www.wikidata.org/entity/Q115541, http://www.wikidata.org/entity/Q345821, http://www.wikidata.org/entity/Q357607, http://www.wikidata.org/entity/Q223745, http://www.wikidata.org/entity/Q232384, http://www.wikidata.org/entity/Q2339126, http://www.wikidata.org/entity/Q461643, http://www.wikidata.org/entity/Q16233687, http://www.wikidata.org/entity/Q4984760, http://www.wikidata.org/entity/Q14906908, http://www.wikidata.org/entity/Q16730400, http://www.wikidata.org/entity/Q22001722, http://www.wikidata.org/entity/Q28966716, http://www.wikidata.org/entity/Q63986071, http://www.wikidata.org/entity/Q108661304",Martin Koolhoven,http://www.wikidata.org/entity/Q461191,"Momentum Pictures, Movies Inspired, Mozinet","http://www.wikidata.org/entity/Q15622197, http://www.wikidata.org/entity/Q111362749, http://www.wikidata.org/entity/Q28871739",Els Vandevorst,http://www.wikidata.org/entity/Q21608351,Junkie XL,http://www.wikidata.org/entity/Q266429,Rogier Stoffers,http://www.wikidata.org/entity/Q2162068,,,,,,
http://www.wikidata.org/entity/Q122818945,RISE: The Urban Rez,2017-01-01T00:00:00Z,44,44,English,,,documentary film,http://www.wikidata.org/entity/Q93204,,,Michelle Latimer,http://www.wikidata.org/entity/Q6837115,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q22997984,Despicable Me 3,2017-06-29T00:00:00Z,90,90,English,75000000,264624300,comedy film,http://www.wikidata.org/entity/Q157443,,,Pierre Coffin,http://www.wikidata.org/entity/Q3384479,"Universal Pictures, UIP-Dunafilm","http://www.wikidata.org/entity/Q168383, http://www.wikidata.org/entity/Q1329615",Chris Meledandri,http://www.wikidata.org/entity/Q43371,Heitor Pereira,http://www.wikidata.org/entity/Q462109,,,,,Illumination,http://www.wikidata.org/entity/Q1189512,,
http://www.wikidata.org/entity/Q52715735,The Delinquent Season,2017-10-13T00:00:00Z,,,English,,,drama film,http://www.wikidata.org/entity/Q130232,,,Mark O'Rowe,http://www.wikidata.org/entity/Q6769089,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q108940217,The Lucky Specials,2017-02-17T00:00:00Z,,,English,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q15712110,Jigsaw,2017-10-26T00:00:00Z,92,92,English,,102952888,"splatter film, crime film","http://www.wikidata.org/entity/Q909586, http://www.wikidata.org/entity/Q959790","Tobin Bell, Callum Keith Rennie, Matt Passmore, Laura Vandervoort, Paul Braunstein, Brittany Allen, Mandela Van Peebles, Hannah Emily Anderson","http://www.wikidata.org/entity/Q310190, http://www.wikidata.org/entity/Q551558, http://www.wikidata.org/entity/Q714861, http://www.wikidata.org/entity/Q231401, http://www.wikidata.org/entity/Q3370734, http://www.wikidata.org/entity/Q4971579, http://www.wikidata.org/entity/Q6747959, http://www.wikidata.org/entity/Q56164609","Michael Spierig, Peter Spierig","http://www.wikidata.org/entity/Q23836180, http://www.wikidata.org/entity/Q23836181","Hulu, Lionsgate Films","http://www.wikidata.org/entity/Q1630304, http://www.wikidata.org/entity/Q17076072","Leigh Whannell, Gregg Hoffman, Oren Koules, James Wan","http://www.wikidata.org/entity/Q471215, http://www.wikidata.org/entity/Q1140592, http://www.wikidata.org/entity/Q1564667, http://www.wikidata.org/entity/Q108047434",Charlie Clouser,http://www.wikidata.org/entity/Q537386,,,,,"Twisted Pictures, Lionsgate","http://www.wikidata.org/entity/Q1755165, http://www.wikidata.org/entity/Q515869",,
http://www.wikidata.org/entity/Q27689100,Murder on the Orient Express,2017-11-09T00:00:00Z,114,114,English,55000000,352789811,"drama film, mystery film, crime film, film based on a novel, detective film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q1200678, http://www.wikidata.org/entity/Q959790, http://www.wikidata.org/entity/Q52207399, http://www.wikidata.org/entity/Q25533274","Judi Dench, Johnny Depp, Penélope Cruz, Kenneth Branagh, Michelle Pfeiffer, Willem Dafoe, Miranda Raison, Derek Jacobi, Adam Garcia, Michael Peña, Sergei Polunin, Josh Gad, Daisy Ridley, Olivia Colman, Lucy Boynton, Tom Bateman, Marwan Kenzari, Manuel Garcia-Rulfo, Leslie Odom Jr., Alaa Safi, Phil Dunster","http://www.wikidata.org/entity/Q28054, http://www.wikidata.org/entity/Q37175, http://www.wikidata.org/entity/Q39666, http://www.wikidata.org/entity/Q55294, http://www.wikidata.org/entity/Q159778, http://www.wikidata.org/entity/Q188772, http://www.wikidata.org/entity/Q195828, http://www.wikidata.org/entity/Q256164, http://www.wikidata.org/entity/Q349488, http://www.wikidata.org/entity/Q359488, http://www.wikidata.org/entity/Q4370991, http://www.wikidata.org/entity/Q1190319, http://www.wikidata.org/entity/Q16738674, http://www.wikidata.org/entity/Q7088045, http://www.wikidata.org/entity/Q9024781, http://www.wikidata.org/entity/Q11721652, http://www.wikidata.org/entity/Q13817318, http://www.wikidata.org/entity/Q26254609, http://www.wikidata.org/entity/Q18089198, http://www.wikidata.org/entity/Q27624466, http://www.wikidata.org/entity/Q92483387",Kenneth Branagh,http://www.wikidata.org/entity/Q55294,"20th Century Studios, Netflix, Disney+","http://www.wikidata.org/entity/Q434841, http://www.wikidata.org/entity/Q907311, http://www.wikidata.org/entity/Q54958752","Ridley Scott, Kenneth Branagh, Simon Kinberg, Mark Gordon","http://www.wikidata.org/entity/Q56005, http://www.wikidata.org/entity/Q55294, http://www.wikidata.org/entity/Q219507, http://www.wikidata.org/entity/Q2417149",Patrick Doyle,http://www.wikidata.org/entity/Q363241,Haris Zambarloukos,http://www.wikidata.org/entity/Q1585380,United Kingdom,http://www.wikidata.org/entity/Q145,"20th Century Studios, Scott Free Productions, Genre Films","http://www.wikidata.org/entity/Q434841, http://www.wikidata.org/entity/Q3476213, http://www.wikidata.org/entity/Q22807052",,
http://www.wikidata.org/entity/Q56121066,Dug Out,2017-01-01T00:00:00Z,53,53,English,,,documentary film,http://www.wikidata.org/entity/Q93204,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q51031094,Trafficked,2017-01-01T00:00:00Z,,,English,,,thriller film,http://www.wikidata.org/entity/Q2484376,,,Will Wallace,http://www.wikidata.org/entity/Q8003174,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q21527812,The Limehouse Golem,2017-08-31T00:00:00Z,109,109,English,,,"horror film, mystery film, film based on a novel, thriller film","http://www.wikidata.org/entity/Q200092, http://www.wikidata.org/entity/Q1200678, http://www.wikidata.org/entity/Q52207399, http://www.wikidata.org/entity/Q2484376","Eddie Marsan, María Valverde, Bill Nighy, Douglas Booth, Daniel Mays, Pete Sullivan, Olivia Cooke, Henry Goodman, Sam Reid, Morgan Watkins","http://www.wikidata.org/entity/Q45647, http://www.wikidata.org/entity/Q242281, http://www.wikidata.org/entity/Q207179, http://www.wikidata.org/entity/Q554412, http://www.wikidata.org/entity/Q579571, http://www.wikidata.org/entity/Q7172289, http://www.wikidata.org/entity/Q15069963, http://www.wikidata.org/entity/Q3132807, http://www.wikidata.org/entity/Q16735479, http://www.wikidata.org/entity/Q27925036",Juan Carlos Medina,http://www.wikidata.org/entity/Q104760255,Lionsgate,http://www.wikidata.org/entity/Q515869,"Stephen Woolley, Elizabeth Karlsen","http://www.wikidata.org/entity/Q7610883, http://www.wikidata.org/entity/Q20684315",Johan Söderqvist,http://www.wikidata.org/entity/Q957964,Simon Dennis,http://www.wikidata.org/entity/Q64707210,,,"Number 9 Films, HanWay Films","http://www.wikidata.org/entity/Q24298819, http://www.wikidata.org/entity/Q5646566",,
