movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,basedOn,basedOn_uri,IMDbID,RottenTomatoesID,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs,series,series_URIs
http://www.wikidata.org/entity/Q117130193,Parachute,2024-04-05T00:00:00Z,97,97,English,,,,,tt21057800,,drama film,http://www.wikidata.org/entity/Q130232,"Dave Bautista, Thomas Mann, Jennifer Westfeldt, Kid Cudi, Joel McHale, Bunny Gibson, Kelley Jakle, Courtney Eaton, Gina Rodriguez, Lukas Gage, Chrissie Fit, Francesca Reale, Kathryn Gallagher, Mle Chester, Ekaterina Baker, Owen Thiele, Jeremy Kucharek","http://www.wikidata.org/entity/Q44158, http://www.wikidata.org/entity/Q171687, http://www.wikidata.org/entity/Q271554, http://www.wikidata.org/entity/Q299138, http://www.wikidata.org/entity/Q311993, http://www.wikidata.org/entity/Q4997852, http://www.wikidata.org/entity/Q16203864, http://www.wikidata.org/entity/Q16728739, http://www.wikidata.org/entity/Q16729296, http://www.wikidata.org/entity/Q47467699, http://www.wikidata.org/entity/Q15074184, http://www.wikidata.org/entity/Q27865384, http://www.wikidata.org/entity/Q86366727, http://www.wikidata.org/entity/Q98434605, http://www.wikidata.org/entity/Q105087005, http://www.wikidata.org/entity/Q119936993, http://www.wikidata.org/entity/Q124708889",Brittany Snow,http://www.wikidata.org/entity/Q229975,Vertical,http://www.wikidata.org/entity/Q18395323,,,Keegan DeWitt,http://www.wikidata.org/entity/Q6382705,Kristen Correlll,http://www.wikidata.org/entity/Q125448334,,,,,,,,
http://www.wikidata.org/entity/Q124708001,We're All Gonna Die,2024-03-10T00:00:00Z,110,110,English,,,,,tt28055078,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q123758925,Unsung Hero,2024-04-26T00:00:00Z,112,112,English,,,,,tt23638614,m/unsung_hero,"drama film, Christian film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q115122793","Candace Cameron Bure, Lucas Black, Jonathan Jackson, Daisy Betts, Kirrilee Berger, Diesel La Torraca, Joel Smallbone","http://www.wikidata.org/entity/Q235694, http://www.wikidata.org/entity/Q359491, http://www.wikidata.org/entity/Q525716, http://www.wikidata.org/entity/Q2701477, http://www.wikidata.org/entity/Q91328078, http://www.wikidata.org/entity/Q104831086, http://www.wikidata.org/entity/Q28151611","Richard Ramsey, Joel Smallbone","http://www.wikidata.org/entity/Q21176501, http://www.wikidata.org/entity/Q28151611",Lionsgate,http://www.wikidata.org/entity/Q515869,"Joel Smallbone, Luke Smallbone","http://www.wikidata.org/entity/Q28151611, http://www.wikidata.org/entity/Q42664261",Brent McCorkle,http://www.wikidata.org/entity/Q115016030,,,,,Kingdom Story Company,http://www.wikidata.org/entity/Q85774518,,,,
http://www.wikidata.org/entity/Q123783550,Good One,2024-01-01T00:00:00Z,90,90,English,,,,,tt30319516,,,,"Danny McCarthy, James LeGros, Lily Collias","http://www.wikidata.org/entity/Q2616095, http://www.wikidata.org/entity/Q1334830, http://www.wikidata.org/entity/Q130272415",India Donaldson,http://www.wikidata.org/entity/Q126089245,,,,,,,,,,,Smudge Films,http://www.wikidata.org/entity/Q127038527,,,,
http://www.wikidata.org/entity/Q111941144,Red Right Hand,2024-02-23T00:00:00Z,111,111,English,,,,,tt19244260,m/red_right_hand,"action film, thriller film","http://www.wikidata.org/entity/Q188473, http://www.wikidata.org/entity/Q2484376","Orlando Bloom, Andie MacDowell, Brian Geraghty, Garret Dillahunt, Scott Haze, Mo McRae","http://www.wikidata.org/entity/Q44467, http://www.wikidata.org/entity/Q208558, http://www.wikidata.org/entity/Q460563, http://www.wikidata.org/entity/Q712437, http://www.wikidata.org/entity/Q7436480, http://www.wikidata.org/entity/Q6886247","Eshom Nelms, Ian Nelms","http://www.wikidata.org/entity/Q66717830, http://www.wikidata.org/entity/Q66717831",,,Basil Iwanyk,http://www.wikidata.org/entity/Q52714247,,,,,"Lexington, New Castle, Shepherdsville, Campbellsburg","http://www.wikidata.org/entity/Q49241, http://www.wikidata.org/entity/Q3182061, http://www.wikidata.org/entity/Q2241892, http://www.wikidata.org/entity/Q2312197",,,,,,
http://www.wikidata.org/entity/Q122203155,Maria,2024-08-29T00:00:00Z,124,124,English,,,,,tt22893404,m/maria_2024,"drama film, biographical film, psychological drama film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q645928, http://www.wikidata.org/entity/Q63214877","Angelina Jolie, Haluk Bilginer, Alba Rohrwacher, Valeria Golino, Pierfrancesco Favino, Kodi Smit-McPhee, Alessandro Bressanello, Aggelina Papadopoulou","http://www.wikidata.org/entity/Q13909, http://www.wikidata.org/entity/Q470210, http://www.wikidata.org/entity/Q433601, http://www.wikidata.org/entity/Q230710, http://www.wikidata.org/entity/Q555241, http://www.wikidata.org/entity/Q716251, http://www.wikidata.org/entity/Q3609881, http://www.wikidata.org/entity/Q131179237",Pablo Larraín,http://www.wikidata.org/entity/Q1985090,"Netflix, 01 Distribution, StudioCanal","http://www.wikidata.org/entity/Q907311, http://www.wikidata.org/entity/Q1554656, http://www.wikidata.org/entity/Q2450848","Jonas Dornbach, Lorenzo Mieli, Janine Jackowski, Juan de Dios Larraín","http://www.wikidata.org/entity/Q1300310, http://www.wikidata.org/entity/Q3837013, http://www.wikidata.org/entity/Q28540779, http://www.wikidata.org/entity/Q62002792",,,Edward Lachman,http://www.wikidata.org/entity/Q616171,,,"Fremantle, Fabula, Komplizen Film, The Apartment","http://www.wikidata.org/entity/Q520445, http://www.wikidata.org/entity/Q19366218, http://www.wikidata.org/entity/Q56474046, http://www.wikidata.org/entity/Q86672804",,,,
http://www.wikidata.org/entity/Q126189109,The Commandant's Shadow,2024-06-13T00:00:00Z,103,110,English,,,,,tt32020404,m/the_commandants_shadow,documentary film,http://www.wikidata.org/entity/Q93204,,,Daniela Völker,http://www.wikidata.org/entity/Q126363017,"Warner Bros. Pictures, HBO Documentary Films, Fathom Events","http://www.wikidata.org/entity/Q8016302, http://www.wikidata.org/entity/Q121357122, http://www.wikidata.org/entity/Q24944815",,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q123259395,Prisons,2024-02-09T00:00:00Z,100,100,English,,,,,tt28528526,,"action film, crime film, thriller film","http://www.wikidata.org/entity/Q188473, http://www.wikidata.org/entity/Q959790, http://www.wikidata.org/entity/Q2484376",,,Esa Jussila,http://www.wikidata.org/entity/Q123259404,Bright Fame Pictures,http://www.wikidata.org/entity/Q97341083,,,Jussi Huhtala,http://www.wikidata.org/entity/Q30174220,Esa Jussila,http://www.wikidata.org/entity/Q123259404,,,,,,,,
http://www.wikidata.org/entity/Q117287129,The End,2024-08-31T00:00:00Z,,,English,,,,,tt15551346,m/the_end_2024,,,"Michael Shannon, Tilda Swinton, Lennie James, George MacKay, Bronagh Gallagher, Tim McInnerny, Moses Ingram","http://www.wikidata.org/entity/Q41449, http://www.wikidata.org/entity/Q200534, http://www.wikidata.org/entity/Q636682, http://www.wikidata.org/entity/Q970066, http://www.wikidata.org/entity/Q2926038, http://www.wikidata.org/entity/Q552162, http://www.wikidata.org/entity/Q101528973",Joshua Oppenheimer,http://www.wikidata.org/entity/Q6290103,Neon,http://www.wikidata.org/entity/Q30603559,"Tilda Swinton, Signe Byrge Sørensen","http://www.wikidata.org/entity/Q200534, http://www.wikidata.org/entity/Q15864814",,,,,,,Final Cut for Real,http://www.wikidata.org/entity/Q8563183,,,,
http://www.wikidata.org/entity/Q127628439,Resident Evil: Ashley Graham (A Porn Parody),2024-06-28T00:00:00Z,,,English,,,,,tt32874249,,pornographic parody film,http://www.wikidata.org/entity/Q16254232,Hyley Winters,http://www.wikidata.org/entity/Q127628542,,,,,,,,,,,,,Swearl LLC,http://www.wikidata.org/entity/Q127607066,,,,
