subject,predicate,object
http://www.wikidata.org/entity/Q117130193,producers,nan
http://www.wikidata.org/entity/Q124708001,producers,nan
http://www.wikidata.org/entity/Q127763750,producers,nan
http://www.wikidata.org/entity/Q123758925,producers,Joel Smallbone
http://www.wikidata.org/entity/Q123758925,producers,Luke Smallbone
http://www.wikidata.org/entity/Q123783550,producers,nan
http://www.wikidata.org/entity/Q111941144,producers,Basil Iwanyk
http://www.wikidata.org/entity/Q122203155,producers,Jonas Dornbach
http://www.wikidata.org/entity/Q122203155,producers,Lorenzo Mieli
http://www.wikidata.org/entity/Q122203155,producers,Janine Jackowski
http://www.wikidata.org/entity/Q122203155,producers,Juan de Dios Larraín
http://www.wikidata.org/entity/Q123259395,producers,nan
http://www.wikidata.org/entity/Q124370507,producers,Pam Coats
http://www.wikidata.org/entity/Q117287129,producers,Tilda Swinton
http://www.wikidata.org/entity/Q117287129,producers,Signe Byrge Sørensen
http://www.wikidata.org/entity/Q127628439,producers,nan
http://www.wikidata.org/entity/Q124246343,producers,nan
http://www.wikidata.org/entity/Q122723743,producers,Mark David
http://www.wikidata.org/entity/Q122723743,producers,Bradley Fowler
http://www.wikidata.org/entity/Q112054623,producers,Geraldine Hughes
http://www.wikidata.org/entity/Q112054623,producers,Philip Lee
http://www.wikidata.org/entity/Q112054623,producers,Adrian Grabe
http://www.wikidata.org/entity/Q112054623,producers,Terry Loane
http://www.wikidata.org/entity/Q112054623,producers,Bonnie Timmermann
http://www.wikidata.org/entity/Q130477367,producers,Steve Hoban
http://www.wikidata.org/entity/Q125693182,producers,nan
http://www.wikidata.org/entity/Q122703295,producers,nan
http://www.wikidata.org/entity/Q117014906,producers,Tina Fey
http://www.wikidata.org/entity/Q117014906,producers,Lorne Michaels
http://www.wikidata.org/entity/Q116361132,producers,Chris Columbus
http://www.wikidata.org/entity/Q116361132,producers,Eleanor Columbus
http://www.wikidata.org/entity/Q116361132,producers,Lars Knudsen
http://www.wikidata.org/entity/Q116361132,producers,Jay Van Hoy
http://www.wikidata.org/entity/Q124285697,producers,Ian McShane
http://www.wikidata.org/entity/Q124285697,producers,Michael Elliott
http://www.wikidata.org/entity/Q129652261,producers,nan
http://www.wikidata.org/entity/Q125858197,producers,nan
http://www.wikidata.org/entity/Q120188885,producers,Tessa Ross
http://www.wikidata.org/entity/Q124335954,producers,Hong Sang-soo
http://www.wikidata.org/entity/Q121091587,producers,Andrew Lazar
http://www.wikidata.org/entity/Q129255850,producers,nan
http://www.wikidata.org/entity/Q122964827,producers,nan
http://www.wikidata.org/entity/Q127869960,producers,nan
http://www.wikidata.org/entity/Q121076570,producers,Rosie Alison
http://www.wikidata.org/entity/Q116692764,producers,Emma Stone
http://www.wikidata.org/entity/Q116692764,producers,Dave McCary
http://www.wikidata.org/entity/Q116692764,producers,Julio Torres
http://www.wikidata.org/entity/Q113012523,producers,Zoë Kravitz
http://www.wikidata.org/entity/Q113012523,producers,Bruce Cohen
http://www.wikidata.org/entity/Q125485552,producers,nan
http://www.wikidata.org/entity/Q125295777,producers,nan
http://www.wikidata.org/entity/Q130616239,producers,nan
http://www.wikidata.org/entity/Q116141854,producers,nan
http://www.wikidata.org/entity/Q124547601,producers,Robert Coppola Schwartzman
http://www.wikidata.org/entity/Q130641055,producers,Chris Cornelsen
http://www.wikidata.org/entity/Q115993222,producers,Ewa Puszczyńska
http://www.wikidata.org/entity/Q125935870,producers,Bruce Cohen
http://www.wikidata.org/entity/Q125935870,producers,Steven Rogers
http://www.wikidata.org/entity/Q125504091,producers,Michael Cera
http://www.wikidata.org/entity/Q125504091,producers,Tyler Taormina
http://www.wikidata.org/entity/Q128694739,producers,nan
http://www.wikidata.org/entity/Q129757759,producers,Johannes Grenzfurthner
http://www.wikidata.org/entity/Q129757759,producers,Günther Friesinger
http://www.wikidata.org/entity/Q129757759,producers,Jasmin Hagendorfer
http://www.wikidata.org/entity/Q112865585,producers,John Krasinski
http://www.wikidata.org/entity/Q130261793,producers,nan
http://www.wikidata.org/entity/Q127402346,producers,Roberto Sessa
http://www.wikidata.org/entity/Q116701124,producers,Tessa Ross
http://www.wikidata.org/entity/Q123784984,producers,nan
http://www.wikidata.org/entity/Q117774966,producers,nan
http://www.wikidata.org/entity/Q118414983,producers,Colin Firth
http://www.wikidata.org/entity/Q118414983,producers,Ged Doherty
http://www.wikidata.org/entity/Q118414983,producers,Trish D Chetty
http://www.wikidata.org/entity/Q120986976,producers,Jason Blum
http://www.wikidata.org/entity/Q131320483,producers,nan
http://www.wikidata.org/entity/Q116178692,producers,Basil Iwanyk
http://www.wikidata.org/entity/Q28719777,producers,nan
http://www.wikidata.org/entity/Q115367024,producers,Natalie Portman
http://www.wikidata.org/entity/Q115367024,producers,Will Ferrell
http://www.wikidata.org/entity/Q115367024,producers,Christine Vachon
http://www.wikidata.org/entity/Q115367024,producers,Pamela Koffler
http://www.wikidata.org/entity/Q125507012,producers,nan
http://www.wikidata.org/entity/Q123185886,producers,nan
http://www.wikidata.org/entity/Q127784078,producers,nan
http://www.wikidata.org/entity/Q114073140,producers,nan
