subject,predicate,object
http://www.wikidata.org/entity/Q117130193,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q124708001,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q127763750,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q123758925,productionCompanies_URIs,http://www.wikidata.org/entity/Q85774518
http://www.wikidata.org/entity/Q123783550,productionCompanies_URIs,http://www.wikidata.org/entity/Q127038527
http://www.wikidata.org/entity/Q111941144,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q122203155,productionCompanies_URIs,http://www.wikidata.org/entity/Q520445
http://www.wikidata.org/entity/Q122203155,productionCompanies_URIs,http://www.wikidata.org/entity/Q19366218
http://www.wikidata.org/entity/Q122203155,productionCompanies_URIs,http://www.wikidata.org/entity/Q56474046
http://www.wikidata.org/entity/Q122203155,productionCompanies_URIs,http://www.wikidata.org/entity/Q86672804
http://www.wikidata.org/entity/Q123259395,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q124370507,productionCompanies_URIs,http://www.wikidata.org/entity/Q104414180
http://www.wikidata.org/entity/Q117287129,productionCompanies_URIs,http://www.wikidata.org/entity/Q8563183
http://www.wikidata.org/entity/Q127628439,productionCompanies_URIs,http://www.wikidata.org/entity/Q127607066
http://www.wikidata.org/entity/Q124246343,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q122723743,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q112054623,productionCompanies_URIs,http://www.wikidata.org/entity/Q3703758
http://www.wikidata.org/entity/Q112054623,productionCompanies_URIs,http://www.wikidata.org/entity/Q95402668
http://www.wikidata.org/entity/Q130477367,productionCompanies_URIs,http://www.wikidata.org/entity/Q3547244
http://www.wikidata.org/entity/Q130477367,productionCompanies_URIs,http://www.wikidata.org/entity/Q121086116
http://www.wikidata.org/entity/Q125693182,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q122703295,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q117014906,productionCompanies_URIs,http://www.wikidata.org/entity/Q4972541
http://www.wikidata.org/entity/Q117014906,productionCompanies_URIs,http://www.wikidata.org/entity/Q10319190
http://www.wikidata.org/entity/Q117014906,productionCompanies_URIs,http://www.wikidata.org/entity/Q30644098
http://www.wikidata.org/entity/Q116361132,productionCompanies_URIs,http://www.wikidata.org/entity/Q649649
http://www.wikidata.org/entity/Q116361132,productionCompanies_URIs,http://www.wikidata.org/entity/Q28402134
http://www.wikidata.org/entity/Q116361132,productionCompanies_URIs,http://www.wikidata.org/entity/Q65085724
http://www.wikidata.org/entity/Q124285697,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q129652261,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q125858197,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q260528
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q971446
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q1032540
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q2595367
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q2864822
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q21511428
http://www.wikidata.org/entity/Q120188885,productionCompanies_URIs,http://www.wikidata.org/entity/Q111915684
http://www.wikidata.org/entity/Q124335954,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q121091587,productionCompanies_URIs,http://www.wikidata.org/entity/Q3275123
http://www.wikidata.org/entity/Q129255850,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q122964827,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q127869960,productionCompanies_URIs,nan
http://www.wikidata.org/entity/Q121076570,productionCompanies_URIs,http://www.wikidata.org/entity/Q2415769
http://www.wikidata.org/entity/Q121076570,productionCompanies_URIs,http://www.wikidata.org/entity/Q2450848
http://www.wikidata.org/entity/Q116692764,productionCompanies_URIs,http://www.wikidata.org/entity/Q122199349
http://www.wikidata.org/entity/Q113012523,productionCompanies_URIs,http://www.wikidata.org/entity/Q179200
