subject,predicate,object
http://www.wikidata.org/entity/Q117130193,releaseDate,2024-04-05T00:00:00Z
http://www.wikidata.org/entity/Q124708001,releaseDate,2024-03-10T00:00:00Z
http://www.wikidata.org/entity/Q127763750,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q123758925,releaseDate,2024-04-26T00:00:00Z
http://www.wikidata.org/entity/Q123783550,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q111941144,releaseDate,2024-02-23T00:00:00Z
http://www.wikidata.org/entity/Q122203155,releaseDate,2024-08-29T00:00:00Z
http://www.wikidata.org/entity/Q123259395,releaseDate,2024-02-09T00:00:00Z
http://www.wikidata.org/entity/Q124370507,releaseDate,2024-05-17T00:00:00Z
http://www.wikidata.org/entity/Q117287129,releaseDate,2024-08-31T00:00:00Z
http://www.wikidata.org/entity/Q127628439,releaseDate,2024-06-28T00:00:00Z
http://www.wikidata.org/entity/Q124246343,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q122723743,releaseDate,2024-04-11T00:00:00Z
http://www.wikidata.org/entity/Q112054623,releaseDate,2024-02-08T00:00:00Z
http://www.wikidata.org/entity/Q130477367,releaseDate,2024-10-06T00:00:00Z
http://www.wikidata.org/entity/Q125693182,releaseDate,2024-05-03T00:00:00Z
http://www.wikidata.org/entity/Q122703295,releaseDate,2024-02-01T00:00:00Z
http://www.wikidata.org/entity/Q117014906,releaseDate,2024-01-10T00:00:00Z
http://www.wikidata.org/entity/Q116361132,releaseDate,2024-12-02T00:00:00Z
http://www.wikidata.org/entity/Q124285697,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q129652261,releaseDate,2024-03-10T00:00:00Z
http://www.wikidata.org/entity/Q125858197,releaseDate,2024-05-25T00:00:00Z
http://www.wikidata.org/entity/Q120188885,releaseDate,2024-05-16T00:00:00Z
http://www.wikidata.org/entity/Q124335954,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q121091587,releaseDate,2024-09-13T00:00:00Z
http://www.wikidata.org/entity/Q129255850,releaseDate,2024-07-05T00:00:00Z
http://www.wikidata.org/entity/Q122964827,releaseDate,2024-05-02T00:00:00Z
http://www.wikidata.org/entity/Q127869960,releaseDate,2024-07-26T00:00:00Z
http://www.wikidata.org/entity/Q121076570,releaseDate,2024-11-08T00:00:00Z
http://www.wikidata.org/entity/Q116692764,releaseDate,2024-03-22T00:00:00Z
http://www.wikidata.org/entity/Q113012523,releaseDate,2024-08-21T00:00:00Z
http://www.wikidata.org/entity/Q125485552,releaseDate,2024-05-02T00:00:00Z
http://www.wikidata.org/entity/Q125295777,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q130616239,releaseDate,2024-10-11T00:00:00Z
http://www.wikidata.org/entity/Q116141854,releaseDate,2024-01-11T00:00:00Z
http://www.wikidata.org/entity/Q124547601,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q130641055,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q115993222,releaseDate,2024-01-18T00:00:00Z
http://www.wikidata.org/entity/Q125935870,releaseDate,2024-05-31T00:00:00Z
http://www.wikidata.org/entity/Q125504091,releaseDate,2024-05-17T00:00:00Z
http://www.wikidata.org/entity/Q128694739,releaseDate,2024-09-15T00:00:00Z
http://www.wikidata.org/entity/Q129757759,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q112865585,releaseDate,2024-09-27T00:00:00Z
http://www.wikidata.org/entity/Q130261793,releaseDate,2024-08-11T00:00:00Z
http://www.wikidata.org/entity/Q127402346,releaseDate,2024-07-11T00:00:00Z
http://www.wikidata.org/entity/Q116701124,releaseDate,2024-01-23T00:00:00Z
http://www.wikidata.org/entity/Q123784984,releaseDate,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q117774966,releaseDate,2024-04-26T00:00:00Z
http://www.wikidata.org/entity/Q118414983,releaseDate,2024-03-14T00:00:00Z
http://www.wikidata.org/entity/Q120986976,releaseDate,2024-03-06T00:00:00Z
http://www.wikidata.org/entity/Q131320483,releaseDate,2024-12-09T00:00:00Z
http://www.wikidata.org/entity/Q116178692,releaseDate,2024-04-26T00:00:00Z
