subject,predicate,object
http://www.wikidata.org/entity/Q117130193,series,nan
http://www.wikidata.org/entity/Q124708001,series,nan
http://www.wikidata.org/entity/Q127763750,series,nan
http://www.wikidata.org/entity/Q123758925,series,nan
http://www.wikidata.org/entity/Q123783550,series,nan
http://www.wikidata.org/entity/Q111941144,series,nan
http://www.wikidata.org/entity/Q122203155,series,nan
http://www.wikidata.org/entity/Q123259395,series,nan
http://www.wikidata.org/entity/Q124370507,series,nan
http://www.wikidata.org/entity/Q117287129,series,nan
http://www.wikidata.org/entity/Q127628439,series,nan
http://www.wikidata.org/entity/Q124246343,series,nan
http://www.wikidata.org/entity/Q122723743,series,nan
http://www.wikidata.org/entity/Q112054623,series,nan
http://www.wikidata.org/entity/Q130477367,series,nan
http://www.wikidata.org/entity/Q125693182,series,nan
http://www.wikidata.org/entity/Q122703295,series,nan
http://www.wikidata.org/entity/Q117014906,series,nan
http://www.wikidata.org/entity/Q116361132,series,nan
http://www.wikidata.org/entity/Q124285697,series,nan
http://www.wikidata.org/entity/Q129652261,series,nan
http://www.wikidata.org/entity/Q125858197,series,nan
http://www.wikidata.org/entity/Q120188885,series,nan
http://www.wikidata.org/entity/Q124335954,series,nan
http://www.wikidata.org/entity/Q121091587,series,nan
http://www.wikidata.org/entity/Q129255850,series,nan
http://www.wikidata.org/entity/Q122964827,series,nan
http://www.wikidata.org/entity/Q127869960,series,nan
http://www.wikidata.org/entity/Q121076570,series,Paddington
http://www.wikidata.org/entity/Q116692764,series,nan
http://www.wikidata.org/entity/Q113012523,series,nan
http://www.wikidata.org/entity/Q125485552,series,nan
http://www.wikidata.org/entity/Q125295777,series,nan
http://www.wikidata.org/entity/Q130616239,series,nan
http://www.wikidata.org/entity/Q116141854,series,nan
http://www.wikidata.org/entity/Q124547601,series,nan
http://www.wikidata.org/entity/Q130641055,series,nan
http://www.wikidata.org/entity/Q115993222,series,nan
http://www.wikidata.org/entity/Q125935870,series,nan
http://www.wikidata.org/entity/Q125504091,series,nan
http://www.wikidata.org/entity/Q128694739,series,nan
http://www.wikidata.org/entity/Q129757759,series,nan
http://www.wikidata.org/entity/Q112865585,series,nan
http://www.wikidata.org/entity/Q130261793,series,nan
http://www.wikidata.org/entity/Q127402346,series,nan
http://www.wikidata.org/entity/Q116701124,series,nan
http://www.wikidata.org/entity/Q123784984,series,nan
http://www.wikidata.org/entity/Q117774966,series,nan
http://www.wikidata.org/entity/Q118414983,series,nan
http://www.wikidata.org/entity/Q120986976,series,nan
http://www.wikidata.org/entity/Q131320483,series,nan
http://www.wikidata.org/entity/Q116178692,series,nan
http://www.wikidata.org/entity/Q28719777,series,nan
http://www.wikidata.org/entity/Q115367024,series,nan
http://www.wikidata.org/entity/Q125507012,series,nan
http://www.wikidata.org/entity/Q123185886,series,nan
http://www.wikidata.org/entity/Q127784078,series,nan
http://www.wikidata.org/entity/Q114073140,series,The Strangers
http://www.wikidata.org/entity/Q61989802,series,nan
http://www.wikidata.org/entity/Q104144784,series,nan
http://www.wikidata.org/entity/Q124844671,series,nan
http://www.wikidata.org/entity/Q123976167,series,nan
http://www.wikidata.org/entity/Q125256467,series,nan
http://www.wikidata.org/entity/Q124416533,series,nan
http://www.wikidata.org/entity/Q73537958,series,nan
http://www.wikidata.org/entity/Q113371337,series,Sony's Spider-Man Universe
http://www.wikidata.org/entity/Q113371337,series,Venom
http://www.wikidata.org/entity/Q128307093,series,nan
http://www.wikidata.org/entity/Q124460441,series,nan
http://www.wikidata.org/entity/Q125830099,series,nan
http://www.wikidata.org/entity/Q124847978,series,nan
http://www.wikidata.org/entity/Q109228976,series,nan
http://www.wikidata.org/entity/Q125716975,series,nan
http://www.wikidata.org/entity/Q124098360,series,nan
http://www.wikidata.org/entity/Q124250971,series,nan
http://www.wikidata.org/entity/Q126326956,series,nan
http://www.wikidata.org/entity/Q4177246,series,nan
http://www.wikidata.org/entity/Q124537941,series,nan
http://www.wikidata.org/entity/Q123169098,series,nan
http://www.wikidata.org/entity/Q121767976,series,nan
