predicate,num_subjects,num_objects
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,90515,19
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,34,32
http://www.w3.org/2000/01/rdf-schema#subClassOf,345,26
http://www.w3.org/2000/01/rdf-schema#domain,25,4
http://www.w3.org/2000/01/rdf-schema#range,25,17
http://proton.semanticweb.org/protonsys#transitiveOver,5,4
http://www.w3.org/2002/07/owl#inverseOf,4,4
http://www.w3.org/2000/01/rdf-schema#label,123036,123043
http://dbpedia.org/ontology/abstract,32050,34196
http://dbpedia.org/ontology/country,29816,248
http://dbpedia.org/ontology/director,25556,8806
http://dbpedia.org/ontology/genre,841,239
http://dbpedia.org/ontology/language,30338,662
http://dbpedia.org/ontology/mainSubject,32052,34618
http://dbpedia.org/ontology/releaseYear,10873,118
http://dbpedia.org/ontology/runtime,28039,1862
http://dbpedia.org/ontology/starring,25644,32296
http://purl.org/dc/terms/subject,32539,22343
http://www.w3.org/ns/prov#wasDerivedFrom,32552,32552
http://dbpedia.org/ontology/distributor,20146,1747
http://dbpedia.org/ontology/producer,16797,6690
http://dbpedia.org/ontology/productionCompany,19649,2580
http://dbpedia.org/ontology/cinematographer,13822,2081
http://dbpedia.org/ontology/composer,15134,4193
http://dbpedia.org/ontology/writer,19381,11132
http://dbpedia.org/ontology/boxOffice,6889,8574
http://dbpedia.org/ontology/budget,5766,3418
http://dbpedia.org/ontology/imdbID,5565,5564
http://dbpedia.org/ontology/rottenTomatoesID,182,182
http://dbpedia.org/ontology/series,15,15
http://dbpedia.org/ontology/plotEmbedding,32050,32050
